,9CL_Bc65_Bc01,9CL_Bc65_Bc03,9CL_Bc65_Bc04,9CL_Bc65_Bc05,9CL_Bc65_Bc06,9CL_Bc65_Bc07,9CL_Bc65_Bc08,9CL_Bc65_Bc09,9CL_Bc65_Bc10,9CL_Bc65_Bc11,9CL_Bc65_Bc12,9CL_Bc65_Bc15,9CL_Bc65_Bc16,9CL_Bc65_Bc17,9CL_Bc65_Bc18,9CL_Bc65_Bc19,9CL_Bc65_Bc20,9CL_Bc65_Bc22,9CL_Bc65_Bc23,9CL_Bc65_Bc24,9CL_Bc65_Bc25,9CL_Bc65_Bc26,9CL_Bc65_Bc27,9CL_Bc65_Bc28,9CL_Bc65_Bc29,9CL_Bc65_Bc30,9CL_Bc65_Bc31,9CL_Bc65_Bc32,9CL_Bc66_Bc01,9CL_Bc66_Bc04,9CL_Bc66_Bc05,9CL_Bc66_Bc06,9CL_Bc66_Bc07,9CL_Bc66_Bc08,9CL_Bc66_Bc09,9CL_Bc66_Bc10,9CL_Bc66_Bc11,9CL_Bc66_Bc12,9CL_Bc66_Bc13,9CL_Bc66_Bc14,9CL_Bc66_Bc15,9CL_Bc66_Bc16,9CL_Bc66_Bc17,9CL_Bc66_Bc18,9CL_Bc66_Bc20,9CL_Bc66_Bc22,9CL_Bc66_Bc23,9CL_Bc66_Bc25,9CL_Bc66_Bc26,9CL_Bc66_Bc27,9CL_Bc66_Bc28,9CL_Bc66_Bc29,9CL_Bc66_Bc30,9CL_Bc66_Bc31,9CL_Bc66_Bc32,9CL_Bc67_Bc01,9CL_Bc67_Bc02,9CL_Bc67_Bc03,9CL_Bc67_Bc04,9CL_Bc67_Bc05,9CL_Bc67_Bc06,9CL_Bc67_Bc07,9CL_Bc67_Bc08,9CL_Bc67_Bc09,9CL_Bc67_Bc10,9CL_Bc67_Bc12,9CL_Bc67_Bc13,9CL_Bc67_Bc14,9CL_Bc67_Bc17,9CL_Bc67_Bc18,9CL_Bc67_Bc19,9CL_Bc67_Bc24,9CL_Bc67_Bc25,9CL_Bc67_Bc26,9CL_Bc67_Bc27,9CL_Bc67_Bc28,9CL_Bc67_Bc29,9CL_Bc67_Bc30,9CL_Bc67_Bc31,9CL_Bc67_Bc32
DHFR,0.0,0.0,0.6747987,1.2149805,0.0,1.7335064,1.0375712,0.9747851,0.8552667,2.0488014,0.48459473,0.0,0.77519345,0.0,2.186312,0.79815704,0.8662954,0.0,1.2368643,1.3480788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63224626,0.0,0.0,0.0,2.2698226,0.79873866,0.0,0.91402054,0.66485244,0.0,0.6440487,0.0,0.9179424,0.0,0.6026031,0.99167126,2.212023,2.2119966,0.6933092,0.0,0.78192025,2.8452804,1.4716747,0.0,0.0,0.7628473,0.0,0.0,0.0,0.55589175,1.8736246,0.44375157,1.0903239,0.5405813,1.8924772,0.0,0.7255471,0.0,1.3952471,0.0,0.6282754,0.0,0.0,0.69298524,1.2441306,0.76084405,0.0,0.0,1.7662061,0.0,1.3697366,1.7018042
SMIM4,0.90038645,0.6368036,0.0,1.9906936,1.918811,1.3340217,0.6477192,0.0,1.8575481,0.0,1.8888336,0.5321646,1.50697,0.0,0.68702346,0.47668228,0.0,1.2553201,1.6242591,0.0,1.2508446,0.0,1.4188682,1.6383883,1.7040571,1.024417,1.3464215,1.3759581,1.016558,1.1370659,1.1533972,2.0186484,1.1535488,1.540775,2.1801353,0.91402054,0.66485244,0.970531,1.5296799,2.148036,1.3883586,1.0550818,1.2472059,0.0,1.1097316,0.0,1.3865373,1.0846213,0.0,0.66952884,0.0,1.5009978,0.89285314,0.0,0.8262338,1.0570387,0.74881166,3.2687638,0.4777414,1.6989762,0.0,1.5227951,0.41366088,1.5025924,0.0,1.5443529,0.5647415,0.0,0.0,0.98712933,1.6386927,0.0,0.0,0.76084405,0.9081409,0.0,2.5106924,0.78338474,0.0,1.3835961
IL18,0.90038645,2.2929676,0.0,0.0,0.0,0.0,0.37541023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68702346,0.0,0.0,0.0,0.0,0.0,0.0,1.4036096,0.0,0.0,0.0,2.5341382,0.0,0.0,0.63224626,0.0,0.0,0.0,0.0,0.0,0.0,1.8294019,0.0,1.2409848,0.0,0.0,0.0,0.0,0.9759685,0.99167126,0.0,0.0,0.6933092,0.0,0.0,1.0669955,0.9851683,0.0,1.6726496,0.0,0.0,0.0,0.0,0.0,0.0,1.5912337,0.0,0.0,0.0,0.0,0.0,0.80124485,0.0,0.0,0.0,1.4740855,0.0,0.69298524,0.80422264,0.0,0.0,1.56129,0.0,0.0,0.0,0.0
H2AC20,1.3663743,0.0,0.0,0.0,0.0,1.3340217,0.6869861,2.3890917,0.0,0.0,0.48459473,0.0,0.0,0.0,0.0,0.79815704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8680619,0.0,0.0,0.0,0.0,1.8391197,1.4325022,0.7345147,0.0,0.7346299,0.0,0.0,0.0,0.0,0.0,1.032597,0.0,1.1805605,0.0,0.0,0.99167126,0.0,0.7710295,1.0988283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2723963,0.0,0.0,0.9560837,0.4777414,0.44375157,0.50586087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69298524,0.80422264,0.0,0.0,0.0,0.0,0.0,0.68213916,0.0
AKR1C1,2.0593963,5.05235,3.8522413,4.2895017,4.0305796,3.7295809,4.151232,3.0352976,1.6205765,4.9265623,4.0408597,5.6664705,4.0144415,3.8584545,4.412278,1.2363101,4.4637604,2.8511832,2.0174932,2.256548,4.8373594,5.60439,2.664655,4.545576,3.5764875,5.8692594,3.960052,5.199601,4.9067683,3.00246,4.4606915,4.5483513,3.1310081,2.3778672,4.9336333,4.730742,5.019653,4.052783,4.8346257,5.7874985,3.2972727,3.985553,4.5620427,4.845408,3.9954824,4.9961753,4.3956575,1.592625,4.261868,4.3150606,0.9851683,2.2686768,3.5355015,2.906498,4.440563,3.8254828,5.314081,3.4284565,2.7535512,1.5274713,4.4715743,4.251842,3.1070507,3.821537,4.56465,4.0281367,3.869014,3.0961432,4.35773,3.49611,3.737522,3.9164143,2.9370415,3.4100971,4.896883,4.3078923,4.224343,3.779617,3.0676024,3.2586849
FIZ1,0.0,0.0,0.6747987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48459473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59604776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7345147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9759685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62676203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4704653,0.8401978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7950795,0.0,0.0,0.0,0.0
SRXN1,0.90038645,1.300542,0.6747987,0.58225816,2.1369634,1.5535814,0.6477192,0.9747851,0.0,2.3147523,0.48459473,2.1666224,0.77519345,0.0,0.0,1.0410414,0.0,0.0,0.0,1.3480788,0.0,0.8910942,2.2357159,0.0,2.817604,1.3857456,0.88452065,2.067372,1.9703003,0.0,1.8597842,0.0,2.016004,0.0,1.8296441,1.1760352,1.5637739,1.7780048,0.6440487,1.9536532,0.9855795,1.0550818,1.2472059,0.6140325,1.1097316,0.0,2.3028767,0.0,0.0,0.0,0.0,1.009082,1.3569106,0.7628473,0.8262338,1.3394004,1.4686707,0.9110732,1.7748553,0.44375157,1.7243525,1.3527423,1.2702438,1.0103861,1.141583,0.0,0.0,1.770215,0.6282754,1.6503495,2.5183573,0.69298524,0.0,0.0,1.3760966,0.0,0.0,0.78338474,1.0839078,0.0
ESRP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.809611,0.5321646,1.9249871,0.0,0.0,0.0,0.0,0.0,0.59604776,0.0,0.0,0.0,0.0,0.0,0.0,0.63802314,0.0,0.6862682,1.2934933,0.0,0.7345147,1.1556376,0.0,0.0,0.0,0.0,0.66485244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933092,0.0,0.0,0.0,0.0,0.0,1.1515623,0.0,0.0,0.0,1.697072,0.0,0.0,0.7500409,0.0,0.5405813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3835961
OSGIN1,0.0,1.0227593,0.0,0.0,0.9786325,0.0,0.6477192,0.0,1.6205765,1.6532868,0.0,1.65167,0.0,0.0,0.0,1.0410414,1.3233997,0.0,0.9669318,0.885836,0.80943847,1.5219305,1.8278879,0.8680619,0.0,1.024417,0.88452065,1.7802681,0.63224626,0.0,0.7345147,0.0,0.0,1.9620194,0.0,0.5579948,0.66485244,0.970531,0.0,2.450593,0.9179424,0.0,0.9759685,0.0,0.0,1.2011633,1.7920294,0.0,0.78192025,1.0669955,1.4716747,0.62676203,0.0,0.0,1.2723963,0.0,0.44291687,0.0,0.0,0.44375157,0.0,1.0325742,1.1149372,2.2755537,0.7255471,1.5443529,0.0,0.0,0.0,2.148949,0.0,0.69298524,0.0,0.0,2.6614738,0.0,0.0,0.0,0.0,0.0
DDX39B,0.0,1.7186157,0.0,0.0,0.0,2.4201403,2.2024899,0.0,0.0,2.673528,2.7426412,0.0,0.0,1.0713681,2.642952,2.1883461,0.0,0.0,0.0,2.2516117,2.391811,0.0,0.0,0.0,2.0469573,1.6925513,2.3802621,0.0,0.10456641,2.1291094,0.0,0.0,1.4478905,2.6680741,0.0,0.0,0.0,0.5855076,2.5764444,0.0,2.2510388,0.42882487,2.133197,2.4845731,0.29313117,0.7710295,0.0,0.0,1.776418,0.0,2.5453615,0.0,0.0,0.25160918,1.9987478,0.40701142,0.0,1.935018,0.08451548,0.0,0.0,0.0,0.0,2.4396904,1.141583,3.0260155,2.3270407,0.65613353,0.0,0.20411031,1.4137456,0.13449012,0.0,0.0,2.6798046,1.7919474,0.0,0.0,2.8823762,0.1712828
INIP,0.5482815,0.6368036,0.6747987,0.0,0.0,1.3340217,1.0375712,1.4588928,1.3094141,0.61238414,1.4152668,0.0,0.0,0.0,1.090439,1.3996073,0.0,2.280479,0.0,1.3480788,1.789521,0.0,0.0,0.8680619,0.0,0.63802314,0.0,0.6862682,1.9703003,0.72418845,1.8597842,0.0,2.1509447,0.79873866,2.6446965,0.5579948,0.66485244,1.2409848,0.0,1.3930728,0.0,0.0,0.9759685,0.6140325,1.9601839,1.2011633,0.6933092,0.0,1.5166636,1.3506544,0.0,0.62676203,0.5429309,0.0,0.8262338,0.6621301,0.98272574,0.9110732,0.0,0.7500409,0.50586087,0.5405813,0.41366088,2.077771,0.0,0.0,1.5675664,2.210491,1.2873372,0.61072165,0.0,0.69298524,0.80422264,0.0,1.6936182,0.0,0.0,0.0,0.0,0.91413265
CDC40,0.5482815,0.0,1.3586439,0.94784844,0.0,0.6586041,0.37541023,1.4588928,0.0,0.9894107,1.4152668,0.5321646,0.77519345,0.0,0.0,0.79815704,0.8662954,0.0,0.0,0.885836,1.2508446,0.6393587,0.0,0.0,0.0,0.0,0.0,0.0,1.5101328,0.0,1.6748286,0.0,1.4478905,1.9620194,0.0,0.5579948,0.0,0.5986567,0.6440487,0.0,0.0,0.0,1.4603512,0.0,1.1097316,0.7710295,0.0,0.0,0.0,1.0669955,0.0,0.62676203,0.89285314,0.7628473,0.8262338,1.0570387,0.0,0.0,0.4777414,1.1737733,0.8401978,0.8895398,0.7054158,0.0,0.0,0.0,0.0,0.96471465,0.0,0.0,0.71153146,0.0,0.0,0.76084405,1.3760966,0.81314474,0.0,0.0,0.68213916,2.136891
FXR1,1.3663743,1.300542,1.9142464,1.4255883,0.6045387,0.6586041,1.4324905,1.4588928,0.0,1.6532868,1.9789537,1.5069773,1.9249871,1.5108142,0.68702346,1.6629884,0.8662954,1.2553201,0.59604776,0.0,1.789521,0.6393587,1.1276188,0.0,0.7533247,1.024417,2.3935916,1.5984087,0.63224626,0.0,1.1533972,0.7362181,1.6750087,0.79873866,0.0,2.0332098,0.0,0.970531,1.5296799,1.3930728,1.3883586,1.0550818,0.6026031,1.010984,1.3987949,2.2119966,2.3028767,0.0,1.5166636,1.0669955,0.0,1.5009978,0.0,1.7187394,1.2723963,0.6621301,1.1721636,0.55589175,2.0459769,1.1737733,1.4567674,1.1477243,1.2702438,0.0,2.0008266,0.80124485,1.9561354,1.4464664,1.5035219,1.8001509,2.229566,1.7914896,1.2441306,0.76084405,2.5523834,0.81314474,0.0,0.0,0.0,1.7018042
