,9CL_Bc65_Bc01,9CL_Bc65_Bc03,9CL_Bc65_Bc04,9CL_Bc65_Bc05,9CL_Bc65_Bc06,9CL_Bc65_Bc07,9CL_Bc65_Bc08,9CL_Bc65_Bc09,9CL_Bc65_Bc10,9CL_Bc65_Bc11,9CL_Bc65_Bc12,9CL_Bc65_Bc15,9CL_Bc65_Bc16,9CL_Bc65_Bc17,9CL_Bc65_Bc18,9CL_Bc65_Bc19,9CL_Bc65_Bc20,9CL_Bc65_Bc22,9CL_Bc65_Bc23,9CL_Bc65_Bc24,9CL_Bc65_Bc25,9CL_Bc65_Bc26,9CL_Bc65_Bc27,9CL_Bc65_Bc28,9CL_Bc65_Bc29,9CL_Bc65_Bc30,9CL_Bc65_Bc31,9CL_Bc65_Bc32,9CL_Bc66_Bc01,9CL_Bc66_Bc04,9CL_Bc66_Bc05,9CL_Bc66_Bc06,9CL_Bc66_Bc07,9CL_Bc66_Bc08,9CL_Bc66_Bc09,9CL_Bc66_Bc10,9CL_Bc66_Bc11,9CL_Bc66_Bc12,9CL_Bc66_Bc13,9CL_Bc66_Bc14,9CL_Bc66_Bc15,9CL_Bc66_Bc16,9CL_Bc66_Bc17,9CL_Bc66_Bc18,9CL_Bc66_Bc20,9CL_Bc66_Bc22,9CL_Bc66_Bc23,9CL_Bc66_Bc25,9CL_Bc66_Bc26,9CL_Bc66_Bc27,9CL_Bc66_Bc28,9CL_Bc66_Bc29,9CL_Bc66_Bc30,9CL_Bc66_Bc31,9CL_Bc66_Bc32,9CL_Bc67_Bc01,9CL_Bc67_Bc02,9CL_Bc67_Bc03,9CL_Bc67_Bc04,9CL_Bc67_Bc05,9CL_Bc67_Bc06,9CL_Bc67_Bc07,9CL_Bc67_Bc08,9CL_Bc67_Bc09,9CL_Bc67_Bc10,9CL_Bc67_Bc12,9CL_Bc67_Bc13,9CL_Bc67_Bc14,9CL_Bc67_Bc17,9CL_Bc67_Bc18,9CL_Bc67_Bc19,9CL_Bc67_Bc24,9CL_Bc67_Bc25,9CL_Bc67_Bc26,9CL_Bc67_Bc27,9CL_Bc67_Bc28,9CL_Bc67_Bc29,9CL_Bc67_Bc30,9CL_Bc67_Bc31,9CL_Bc67_Bc32
ELF3,0.0,2.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.945,2.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0
TNS4,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
SPP1,6.0,32.0,3.002,182.0,90.0,46.0,26.0,0.0,18.0,309.0,126.982,481.694,36.0,72.0,25.0,35.0,129.0,13.0,8.0,42.0,130.0,474.999,44.0,48.0,169.0,23.0,78.0,453.0,2.0,16.0,208.0,35.0,225.0,134.0,7.0,2.0,197.0,7.0,135.0,18.0,139.0,193.0,88.999,7.0,145.0,3.0,5.0,4.0,4.0,220.001,11.0,193.0,4.0,93.0,25.0,253.0,11.0,103.0,91.0,114.0,82.562,134.0,16.0,163.828,37.0,93.0,24.0,32.0,139.0,461.0,80.0,65.0,23.0,121.0,31.0,35.0,85.0,4.0,371.0,4.0
GEMIN5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
CGRRF1,0.0,0.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
H1-2,3.0,9.0,8.0,6.0,7.0,3.0,5.057,1.0,1.0,1.0,2.0,1.0,0.0,12.0,1.0,0.0,2.0,1.0,1.0,2.0,9.0,2.0,4.0,1.0,2.0,55.0,11.0,1.0,20.0,1.0,6.0,10.0,3.0,6.0,0.0,5.0,5.0,0.0,1.0,5.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,6.0,7.0,1.0,4.0,4.0,0.0,8.0,4.0,0.0,3.0,2.0,6.0,7.0,1.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,3.0,21.0,2.0,4.0,0.0,6.0
EIF3H,22.0,15.0,9.0,16.0,13.0,9.0,17.0,4.0,9.0,18.0,22.0,17.0,6.0,9.0,12.0,20.0,15.0,12.0,17.0,2.0,8.0,15.0,12.0,9.0,10.0,18.0,9.0,18.0,11.0,10.0,3.0,15.0,17.0,4.0,1.0,11.0,12.0,14.0,7.0,3.0,13.0,4.0,23.0,7.0,10.0,11.0,11.0,1.0,7.0,9.0,4.0,12.0,20.0,14.0,6.0,7.0,20.018,4.0,16.0,23.0,16.0,11.0,12.0,6.0,12.0,7.0,19.0,5.0,14.0,12.0,10.0,11.0,22.0,5.0,11.0,10.0,7.0,5.0,7.0,9.0
H2BC5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.484,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.248,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHRS2,14.0,47.0,26.0,26.0,30.0,70.0,306.565,109.0,33.0,76.0,23.0,21.0,26.0,5.0,66.996,102.0,6.0,13.0,18.0,52.0,6.0,15.0,15.0,5.0,15.0,38.0,5.0,3.0,353.993,18.765,16.0,5.0,70.0,15.0,17.0,24.94,171.936,12.0,107.999,18.0,205.0,42.999,33.0,16.0,101.001,58.0,101.0,8.0,66.0,15.0,9.0,16.0,97.972,25.0,6.0,12.0,13.0,21.0,63.996,51.999,160.109,63.0,108.0,4.0,7.182,4.0,8.0,2.0,59.0,21.0,9.0,75.0,21.0,9.0,11.0,18.001,12.0,8.0,47.0,12.0
SAA4,0.0,30.0,3.0,16.0,23.0,0.0,25.0,0.0,0.0,9.0,0.0,41.0,5.0,63.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,13.0,2.0,2.0,16.0,0.0,2.0,0.0,28.0,19.0,8.0,0.0,9.555,0.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,34.0,0.0,4.0,8.0,5.0,31.0,1.0,14.0,20.0,41.0,25.0,2.0,41.0,5.0,0.0,1.0,41.0,16.0,38.0,2.0,200.0,11.0,1.0,1.0,51.0,2.0,2.0,9.0,1.0,0.0,2.0,0.0,8.0,1.0,17.0,0.0
