,live_1,live_2,live_3,live_4,live_5,live_6,live_7,live_8,live_9,live_10,live_11,live_12,live_13,live_14,live_15,live_16,live_17,live_18,live_19,live_20,live_21,live_22,live_23,live_24,live_25,live_26,live_27,live_28,live_29,live_30,live_31,live_32,live_33,live_34,live_35,live_36,live_37,live_38,live_39,live_40,live_41,live_42,live_43,live_44,live_45,live_46,live_47,live_48,live_49,live_50,live_51,live_52,live_53,live_54,live_55,live_56,live_57,live_58,live_59,live_60,live_61,live_62,live_63,live_64,live_65,live_67,live_68,live_69
HLA-DRB5,2.6588106,6.675452,9.7769785,102.60487,0.0,31.83227,0.9979945,0.0,7.1875234,4.3201556,14.683548,0.0,9.843729,22.917124,16.03953,15.171002,2.7992358,2.2209852,9.486617,1.3737768,1.1829102,4.5928364,6.6191006,0.0,9.818203,16.521687,3.1970942,36.687004,0.50324917,0.0,0.0,0.0,0.0,13.096608,8.354938,28.044268,18.642353,12.547993,39.355774,0.0,1.1008648,6.0008225,0.0,0.0,16.050608,29.675293,0.0,0.0,23.246513,44.837254,9.395939,0.0,0.0,0.55621046,0.0,0.0,27.27546,28.899164,105.71597,42.475086,40.298374,92.99574,23.5033,0.0,0.0,4.791764,22.877525,16.44845
H19,0.4071905,20.499739,3.3502111,0.0,0.83775675,0.0,0.0,2.3311076,162.35353,15.173544,0.0,0.0,0.0,29.924892,103.92058,4.0715637,16.261374,121.03042,0.0,11.341381,2.1702893,0.0,1.4212352,1.9635,253.6092,3.5363095,2.5191891,67.386986,1.5928756,0.0,36.528465,386.3827,0.0,1.2027234,0.0,430.94812,8.395055,0.0,2.2629764,0.0,79.62043,3.3769908,0.0,0.0,6.019431,1.9964267,2.1377952,7.0634933,0.0,0.0,17.65094,8.129598,0.0,40.23977,0.0,0.0,7.447282,8.308993,0.0,46.946632,82.73293,2.7774901,2.4180992,2.9580033,5.8860645,126.810555,4.04286,2.4878814
SEMA3B,2.0677912,0.5665957,4.648133,7.8501754,2.6823936,8.75738,2.8165002,28.619184,19.001968,3.7890077,7.525258,0.0,29.094315,87.806725,20.084555,1.3597473,32.891228,6.8680663,4.800031,6.3469357,2.968486,2.4905903,0.0,5.0543494,9.282508,0.27533552,9.183539,4.0013113,18.945309,0.0,1.9335655,16.990082,16.702126,9.378173,1.8770574,1.4225456,21.682919,0.0,0.0,0.0,4.463611,3.4489207,0.0,0.0,28.239767,0.0,1.4096209,0.5593327,15.210392,3.9153311,0.0,7.2403016,0.0,18.473917,1.2256428,2.8504627,10.995401,27.222542,7.4951134,9.899357,0.96834594,0.58456945,31.746725,0.26566073,0.5709603,0.0,2.9129753,0.0
CRABP1,5.3343973,0.0,0.0,2.7424903,2.3863811,0.0,3.4299343,0.0,3.9185238,0.0,1.9712125,0.0,11.259691,4.5385666,1.1618912,0.0,14.56063,0.0,5.9182944,0.0,3.0947416,0.0,5.2847867,0.0,4.590022,5.90258,7.0403523,17.040455,0.0,0.0,0.0,7.6355057,1.8230168,8.299605,0.0,0.0,37.108437,0.0,1.6800457,0.0,0.0,7.5591903,0.0,0.0,3.8380911,4.472843,0.0,5.4047046,2.2372832,0.0,0.0,37.787193,0.0,8.704817,0.0,0.0,21.926912,1.7043408,13.12057,0.0,13.797791,0.0,12.610066,2.7592902,33.741497,0.0,0.0,0.0
HBA1,0.0,0.0,5.585752e-06,2.1129106e-06,2.9480987e-06,0.0,0.0,0.0,3.7575323e-06,0.0,2.9457976e-06,5.9498057e-06,3.087885e-05,0.0,0.0,8.279516e-06,0.0,2.3502178e-06,3.5281925,2.3025623e-05,8.712622,0.0,79.37397,5.7974023e-07,0.0,0.0,4.059855e-06,0.0,3.589293e-06,0.0,0.0,0.0,7.703095,4.1519877e-07,3.2128148,7.252633e-06,0.0,3.2299427e-05,7.2451744e-06,1.46576685e-05,4.6456034e-07,0.0,6.7823244e-06,0.0,0.0,0.0,5.9762237e-06,8.574848,0.0,1.1046882e-05,0.0,9.619228,3.862834e-06,4.926281e-06,0.0,0.0,7.1649465e-06,4.2707206e-06,4.5234883e-06,1.5383186e-05,0.0,4.1761305e-05,11.095126,4.494908e-06,11.066557,0.00016790495,2.9781102e-06,8.611782e-06
GABRP,0.0,0.0,0.0,0.0,0.0,29.578909,0.16018963,0.0,0.0,0.0,0.3573494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11163,12.762109,7.03791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157675,0.0,0.0,0.0,0.1770347,0.0,0.0,0.0,2.6978936,0.0,0.0,0.0,0.9645349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.819614,0.0,0.0,0.0,0.0,0.0
ZNF197-AS1,0.0,0.0,0.0,0.0,0.0,0.0,1.2067337,1.1878738,0.0,0.0,0.0,0.0,2.2740073,0.0,0.0,0.0,0.0,1.3861616,0.0,0.0,0.0,0.0,0.0,3.2049663,0.9177838,0.0,0.0,0.0,0.0,0.0,3.5343204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89682275,0.0,0.0,0.0,0.0,0.0,0.0,1.082654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8629871,0.0,0.0,0.0,0.0,0.0,0.0,14.220603,1.3972862,0.0,0.0,0.0
PTGES,1.929308,23.815182,5.9368477,0.0,0.0,0.0,5.123824,0.2513221,45.26791,0.36926502,0.0,0.0,0.0,30.678034,1.1977817,0.0,2.5293658,0.6740359,5.353591,78.573326,0.70545393,0.0,3.1852295,1.5878955,30.48784,12.820222,1.3760605,8.814377,2.3567765,0.0,0.29385984,14.796823,0.0,0.0,0.0,26.861864,0.24646352,0.31882215,0.0,0.0,165.20042,0.2829546,0.63006246,0.0,0.0,2.0696757,7.9067583,0.3907136,3.7328763,0.0,17.234646,81.335075,0.0,93.34914,0.0,0.0,1.27572,0.0,82.74928,123.41847,0.0,14.856446,15.414946,0.0,0.36588335,0.0,0.2838758,0.27077985
MYL12A,566.2292,491.07193,477.00928,609.32086,1095.8972,499.71896,404.1533,402.84073,382.1945,386.5355,781.3846,695.904,607.9715,701.1107,1080.5743,337.4851,1310.7555,587.4776,546.2143,561.72327,581.8125,333.83417,1746.8599,733.239,180.43591,639.0394,606.5598,372.78134,367.38007,660.8586,811.37146,143.2978,578.9076,471.29266,609.54285,307.22668,755.4306,201.57632,495.3912,374.3887,1302.96,374.49832,934.1158,680.4298,316.23935,1713.9115,572.9428,316.9454,412.85855,2093.8481,2067.159,535.6168,823.83026,612.03107,262.56305,707.0284,790.7909,556.25214,211.63916,886.8295,731.0549,1730.5494,351.80893,851.70856,1173.5164,1539.0055,1092.8126,1119.3419
TUBB2A,27.994493,10.167283,12.21264,12.600865,32.829258,0.0,0.0,15.915507,11.462528,16.215773,49.862747,17.582253,9.8774185,0.0,69.042786,6.7333727,31.682076,31.225632,24.76211,0.0,27.583986,0.0,14.711917,68.886086,8.190496,11.8035345,34.19583,10.260017,1.949006,0.0,28.370628,0.0,19.332993,0.0,12.179584,13.756314,4.2409697,0.0,49.903587,2.9289138,20.731014,0.0,12.279591,22.050314,1.9958625,10.651252,26.104107,0.0,8.99509,0.0,44.34725,7.018061,16.301598,22.934788,0.0,34.49402,16.807493,3.702432,12.636523,5.2160225,24.521786,13.301715,0.0,0.0,17.169382,0.0,8.875708,0.97585034
FHL2,69.335014,33.06578,5.0903006,17.387728,3.351086,0.0,19.127552,0.36330158,7.4549904,49.269466,4.1434107,17.777563,0.5028868,21.982994,19.281147,0.0,25.915056,12.616613,4.741468,17.615185,9.534197,31.003912,201.51958,12.339998,1.7091384,0.0,24.260452,1.9696301,54.83356,0.57687604,4.1340604,29.787739,0.0,0.0,6.8789062,0.16873686,13.545558,0.06888266,0.1612547,15.320449,96.89123,43.425316,14.421362,0.0,34.948044,0.0,13.035924,5.012706,2.2388556,0.0,102.20003,22.310022,23.533224,35.56434,13.859003,94.34557,12.511159,14.752089,21.41742,0.0,6.6295996,81.16258,8.595174,91.437836,12.899454,21.233463,57.506645,1.6624492
PIM1,23.297844,7.076962,7.74752,6.2187066,11.690324,14.496147,74.85573,15.634012,4.2678947,21.766874,1.6509959,6.195096,11.908743,0.56068766,6.8583813,0.0,12.638023,2.0246432,32.45576,11.623723,0.0,8.1184225,6.1859508,26.393652,15.975014,11.501689,9.332407,4.755529,2.1342032,0.0,4.34564,0.0,6.892673,37.167915,6.616267,0.0,1.8393071,4.9151373,0.7261944,55.207294,22.71644,0.0,8.3639965,4.53382,6.1017065,1.9085455,9.30998,26.580154,22.463863,15.300122,12.227106,58.15421,7.890235,14.671682,9.481799,33.585514,3.4995165,16.94266,10.061945,11.420882,5.3933277,1.9145064,14.66349,20.302317,10.2626,0.0,0.0,0.16649519
NONO,102.436615,157.87578,74.52254,144.97896,140.24985,113.370285,91.98708,94.925186,111.30165,104.218956,161.17244,108.04568,55.002377,64.70711,116.756615,117.26139,95.212715,130.23343,97.94305,51.588444,93.58205,95.883385,141.65594,119.297615,23.153614,77.38561,157.65797,75.88007,105.09799,79.70953,138.55025,69.18564,131.45984,92.596985,120.529884,69.960434,46.186493,158.86667,72.48602,93.40148,87.46923,98.4443,112.960106,78.043945,144.23357,90.404434,119.47101,91.72421,151.58615,95.79454,90.13763,117.79978,129.76398,144.07176,96.27632,147.42107,128.35767,145.04433,105.98247,155.59438,134.2985,125.99157,150.9841,94.91481,101.74517,92.52374,131.95238,39.50936
HM13-AS1,0.0,0.0,0.0,7.0838504,14.111737,0.0,0.0,0.0,0.0,0.0,10.206818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4310665,7.6076474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.54297,5.5832763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0874357,0.0,0.0,0.0,0.0,1.4255776,40.075493,0.0,0.0,6.218412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.087975,0.0
C6orf141,13.020859,0.15008973,5.0911555,2.706317,27.523485,15.555686,20.081362,44.054768,2.9844618,6.4709873,2.3785038,8.039774,21.704103,12.005117,0.38687497,8.729986,0.32414222,20.154865,15.839061,4.7543316,2.4358711,20.413387,1.7355344,5.2778854,6.7985353,19.982384,23.904068,64.81481,2.1033483,1.367536,5.3275137,0.0,6.706507,30.49697,0.31587315,0.806627,0.0,6.00944,0.27670002,39.36383,0.18448372,54.983566,0.0,0.0,6.7382584,9.459211,1.9413742,17.02504,0.0,55.05977,6.529263,63.8245,5.343846,7.2522755,4.2803745,9.130774,17.73962,31.836666,0.20547165,14.77695,55.683838,7.8190136,25.267574,7.778214,1.5817096,37.607098,2.751408,0.48160622
HPGD,0.32515782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5696708,0.0,0.0,0.0,0.0,0.0,0.0,3.8115692,0.0,0.5550736,0.0,0.0,0.0,0.0,6.7310967,0.0,0.0,2.0270665,0.35247308,0.0,0.0,1.180003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.313187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2106451,0.0,0.0,0.0,11.379398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6983423,0.0,0.0
CD44,6.354046,2.124238,29.08498,4.2222004,7.2421885,62.059895,98.74005,5.292918,16.175423,0.0,9.886187,6.777965,16.698046,12.993776,7.9773297,74.58474,3.3271475,0.0,4.7055964,1.5520484,11.159721,118.63174,0.0,3.4116955,11.722627,4.845419,0.0,5.7612305,32.775124,42.466057,17.65355,0.0,16.622381,29.118143,1.7572867,6.4703503,0.0,0.0,8.379167,46.857098,0.0,7.8483677,6.0706897,11.55141,4.223245,4.536169,8.030463,34.43487,0.0,35.023205,22.861055,0.5308379,6.942595,2.463528,17.337929,0.0,4.2129636,11.73151,3.9393294,4.848751,0.0,0.0,12.5001,14.605772,0.12575154,32.69403,0.0,0.33418265
SLC31A2,16.040491,10.5359335,9.201255,4.274589,47.276928,26.687077,11.674189,17.600597,17.22276,5.5245657,61.669277,5.665726,43.076096,0.058492802,52.9632,0.08448048,5.4897,12.860997,19.875957,16.326971,9.850537,14.377319,55.439568,8.446892,0.13226956,10.348533,26.626858,0.0,17.84785,5.8893504,2.9310226,0.0,36.155468,12.008527,33.318707,0.087959446,9.381103,4.7700286,4.1145263,8.163517,90.029884,15.623661,3.0727658,16.01996,4.7715263,4.1286163,12.608769,0.27194354,11.766845,0.0,8.280469,17.96904,3.06473,12.922136,0.0882169,21.89236,17.676874,12.230619,11.498629,20.111464,9.369353,17.230312,9.171243,12.563325,12.892786,12.470061,25.859947,1.6204675
PDLIM5,9.794423,11.90879,16.816639,6.83226,7.783681,6.145381,12.0678425,1.6665154,6.160809,2.224239,8.805069,9.724739,5.0873933,6.0535684,18.523174,2.0702415,12.861661,6.8104734,4.308328,8.636382,16.221195,17.897923,76.948494,5.2323685,1.1436929,4.8935018,4.1976123,14.79422,6.567733,11.438155,3.1392627,11.889553,4.2332683,6.177902,7.6057115,3.0391536,9.214492,0.5559958,3.8690557,4.636213,11.99519,6.376808,6.171679,9.010157,9.442468,4.760612,9.2484665,7.903679,6.79219,94.764854,52.86934,14.901819,6.4910517,10.777233,9.649577,14.806318,8.422159,20.681885,16.519386,5.044461,9.262325,32.100292,1.4190484,5.243634,4.34341,2.07072,6.5946684,0.35497433
ZNF17,9.29424,5.0504003,0.0,0.0,0.0,0.0,0.0,0.0,4.058592,11.911815,0.0,0.0,0.0,6.207836,0.0,0.0,0.0,6.049037,0.0,2.3944516,0.0,0.0,3.6687071,0.0,0.0,5.5573106,7.5144477,5.7433553,0.18317361,13.813913,0.0,0.0,9.664854,3.8119092,11.968866,2.1587722,14.571386,19.041737,9.16221,3.5537539,0.0,0.0,0.0,11.037353,0.0,6.552984,0.0,0.3465067,0.0,15.757154,0.0,0.0,0.0,11.125702,0.0,0.0,0.0,7.9662485,0.0,0.0,11.124081,6.792072,0.111948825,0.0,0.0,56.157494,0.0,0.19029334
PCDH9,2.6291015,0.0,0.07859339,2.9722908,0.0,1.6589224,2.750508,0.0,0.0,7.123098,0.042749487,0.0661322,0.0,0.029235063,0.0,10.67437,0.0,0.04189836,0.0,1.7735279,0.0,0.0,0.038963158,1.3983881,0.09306126,0.89447683,2.0553238,0.03404564,0.0,0.03999871,7.982732,0.0497832,0.039819293,0.06702864,0.22417222,0.08749449,0.0,0.08209617,0.0,10.789472,0.46375293,0.061802804,0.0,39.52693,0.45344058,1.1819597,0.07057977,15.1751,0.0,0.2827062,10.375018,0.0,4.5182204,15.136414,6.4867625,2.8152256,0.0,2.8072157,0.03873946,0.0,0.0,6.3300433,13.775979,5.1463604,0.0,8.1449175,0.0361367,0.0
