,Method,Reg_Type,EPR
0,PIDC,TF,0.8723532421236774
1,PIDC,RBP,1.0435374762249627
2,GRNBOOST2,TF,1.0708953585167054
3,GRNBOOST2,RBP,1.2100101153971967
4,SINCERITIES,TF,1.0799607538203284
5,SINCERITIES,RBP,1.0862489630497278
6,TENET,TF,1.11795986220157
7,TENET,RBP,1.5314329642996163
8,TENET_A,TF,0.0
9,TENET_A,RBP,0.0
10,TENET_B,TF,1.0765807509394378
11,TENET_B,RBP,1.4190580619635091
12,DeePSEM_CT,TF,1.169455243528593
13,DeePSEM_CT,RBP,1.2809861259138475
14,ARACNe_FDR,TF,1.2103119903704276
15,ARACNe_FDR,RBP,1.4110078259700973
