,Method,Reg_Type,EPR
0,PIDC,TF,1.0081734064043673
1,PIDC,RBP,1.1492156129802193
2,GRNBOOST2,TF,1.0637350119033067
3,GRNBOOST2,RBP,1.140680894691454
4,SINCERITIES,TF,0.9856551102267544
5,SINCERITIES,RBP,1.1856881223361986
6,TENET,TF,1.1468111135556827
7,TENET,RBP,1.3204044542620257
8,TENET_A,TF,0.9829879673622083
9,TENET_A,RBP,1.5385526712595774
10,TENET_B,TF,1.0146858124684304
11,TENET_B,RBP,1.3825618580688241
12,DeePSEM_CT,TF,1.09967867287368
13,DeePSEM_CT,RBP,1.5654285572298459
14,ARACNe_FDR,TF,1.1716742548360088
15,ARACNe_FDR,RBP,1.5162981501645585
