,Method,Reg_Type,EPR
0,PIDC,TF,1.0192948168986822
1,PIDC,RBP,1.038290613732061
2,GRNBOOST2,TF,1.1094171290391843
3,GRNBOOST2,RBP,1.0911698328760204
4,SINCERITIES,TF,0.7452159453129835
5,SINCERITIES,RBP,1.3384159115761531
6,TENET,TF,1.1671908896078562
7,TENET,RBP,1.104032345640767
8,TENET_A,TF,1.2601466865032753
9,TENET_A,RBP,0.647905859715099
10,TENET_B,TF,0.9941379794954298
11,TENET_B,RBP,0.9221271346303844
12,DeePSEM_CT,TF,1.0836259998214146
13,DeePSEM_CT,RBP,1.571921956369401
14,ARACNe_FDR,TF,1.4993113549455532
15,ARACNe_FDR,RBP,1.1886828901124662
