,Method,Reg_Type,EPR
0,PIDC,TF,0.9272286182386531
1,PIDC,RBP,1.1602088625383218
2,GRNBOOST2,TF,1.0282126553690283
3,GRNBOOST2,RBP,1.0881155175293222
4,SINCERITIES,TF,1.034779272183696
5,SINCERITIES,RBP,1.1189744559045578
6,TENET,TF,1.112039311063395
7,TENET,RBP,1.2206812299308534
8,TENET_A,TF,0.8660692344238927
9,TENET_A,RBP,1.1956603994248718
10,TENET_B,TF,1.1709299012746348
11,TENET_B,RBP,1.0437998963946296
12,DeePSEM_CT,TF,1.0862474080473385
13,DeePSEM_CT,RBP,1.3105173173536815
14,ARACNe_FDR,TF,0.9234525879610787
15,ARACNe_FDR,RBP,1.587219134359542
