,Method,Reg_Type,EPR
0,PIDC,TF,1.0224815158210867
1,PIDC,RBP,1.0720707510661729
2,GRNBOOST2,TF,1.0476691710552208
3,GRNBOOST2,RBP,1.0773879029623472
4,SINCERITIES,TF,0.9971779551581381
5,SINCERITIES,RBP,1.129230133950048
6,TENET,TF,1.0083332883536318
7,TENET,RBP,1.2787750310299542
8,TENET_A,TF,0.9471793399772157
9,TENET_A,RBP,1.8349806617963043
10,TENET_B,TF,1.0500802365009358
11,TENET_B,RBP,1.3747791624886596
12,DeePSEM_CT,TF,1.1126181241155655
13,DeePSEM_CT,RBP,1.3527791522630324
14,ARACNe_FDR,TF,1.2793551177221938
15,ARACNe_FDR,RBP,1.224277022595164
