,Method,Reg_Type,EPR
0,PIDC,TF,0.5218458300065326
1,PIDC,RBP,0.6155827664399091
2,GRNBOOST2,TF,1.0739244030178408
3,GRNBOOST2,RBP,1.1929587899974805
4,SINCERITIES,TF,1.0300410138692695
5,SINCERITIES,RBP,0.8509683641975302
6,TENET,TF,1.0682788420322127
7,TENET,RBP,1.2984948979591833
8,TENET_A,TF,0.7560601001669449
9,TENET_A,RBP,0.0
10,TENET_B,TF,1.1685928929167662
11,TENET_B,RBP,1.2855962248724235
12,DeePSEM_CT,TF,1.1083376869597874
13,DeePSEM_CT,RBP,1.254031034363841
14,ARACNe_FDR,TF,1.3106455593356858
15,ARACNe_FDR,RBP,1.0828639724930522
