,Method,Reg_Type,EPR
0,PIDC,TF,1.0781113531504518
1,PIDC,RBP,1.1050071041887732
2,GRNBOOST2,TF,1.1181758304719822
3,GRNBOOST2,RBP,1.1077858311900866
4,SINCERITIES,TF,1.14073219955632
5,SINCERITIES,RBP,1.3870001793078712
6,TENET,TF,1.217010847697221
7,TENET,RBP,0.9892268124674016
8,TENET_A,TF,1.6156872964169382
9,TENET_A,RBP,0.8367605991368366
10,TENET_B,TF,1.3139942228504702
11,TENET_B,RBP,1.0334448160535112
12,DeePSEM_CT,TF,1.1167515626463782
13,DeePSEM_CT,RBP,1.6496375964461063
14,ARACNe_FDR,TF,1.381888226899522
15,ARACNe_FDR,RBP,0.98135984838651
