,Method,Reg_Type,EPR
0,PIDC,TF,0.7582082557971953
1,PIDC,RBP,0.7240702968301767
2,GRNBOOST2,TF,1.0494736051398796
3,GRNBOOST2,RBP,1.0172180513460691
4,SINCERITIES,TF,1.0314046694257495
5,SINCERITIES,RBP,1.2504244697040658
6,TENET,TF,1.1354694483403067
7,TENET,RBP,1.1905123235513206
8,TENET_A,TF,1.1293758671457046
9,TENET_A,RBP,1.5338862920739722
10,TENET_B,TF,1.133244696836184
11,TENET_B,RBP,1.3579740537450429
12,DeePSEM_CT,TF,1.172955374813005
13,DeePSEM_CT,RBP,1.4088424817999565
14,ARACNe_FDR,TF,1.190851961370308
15,ARACNe_FDR,RBP,1.2255668110285596
