,UMI_200_Bc67_Bc01,UMI_200_Bc67_Bc02,UMI_200_Bc67_Bc03,UMI_200_Bc67_Bc04,UMI_200_Bc67_Bc05,UMI_200_Bc67_Bc06,UMI_200_Bc67_Bc07,UMI_200_Bc67_Bc08,UMI_200_Bc67_Bc09,UMI_200_Bc67_Bc10,UMI_200_Bc67_Bc11,UMI_200_Bc67_Bc12,UMI_200_Bc67_Bc13,UMI_200_Bc67_Bc14,UMI_200_Bc67_Bc15,UMI_200_Bc67_Bc16,UMI_200_Bc68_Bc01,UMI_200_Bc68_Bc02,UMI_200_Bc68_Bc03,UMI_200_Bc68_Bc04,UMI_200_Bc68_Bc05,UMI_200_Bc68_Bc06,UMI_200_Bc68_Bc07,UMI_200_Bc68_Bc08,UMI_200_Bc68_Bc09,UMI_200_Bc68_Bc10,UMI_200_Bc68_Bc11,UMI_200_Bc68_Bc12,UMI_200_Bc68_Bc13,UMI_200_Bc68_Bc14,UMI_200_Bc68_Bc15,UMI_200_Bc68_Bc16,UMI_200_Bc69_Bc01,UMI_200_Bc69_Bc02,UMI_200_Bc69_Bc03,UMI_200_Bc69_Bc04,UMI_200_Bc69_Bc05,UMI_200_Bc69_Bc06,UMI_200_Bc69_Bc07,UMI_200_Bc69_Bc08,UMI_200_Bc69_Bc09,UMI_200_Bc69_Bc10,UMI_200_Bc69_Bc11,UMI_200_Bc69_Bc12,UMI_200_Bc69_Bc13,UMI_200_Bc69_Bc14,UMI_200_Bc69_Bc15,UMI_200_Bc69_Bc16,UMI_200_Bc70_Bc01,UMI_200_Bc70_Bc02,UMI_200_Bc70_Bc03,UMI_200_Bc70_Bc04,UMI_200_Bc70_Bc05,UMI_200_Bc70_Bc06,UMI_200_Bc70_Bc07,UMI_200_Bc70_Bc08,UMI_200_Bc70_Bc09,UMI_200_Bc70_Bc10,UMI_200_Bc70_Bc11,UMI_200_Bc70_Bc12,UMI_200_Bc70_Bc13,UMI_200_Bc70_Bc14,UMI_200_Bc70_Bc15,UMI_200_Bc70_Bc16,UMI_200_Bc71_Bc01,UMI_200_Bc71_Bc02,UMI_200_Bc71_Bc03,UMI_200_Bc71_Bc04,UMI_200_Bc71_Bc05,UMI_200_Bc71_Bc06,UMI_200_Bc71_Bc07,UMI_200_Bc71_Bc08,UMI_200_Bc71_Bc09,UMI_200_Bc71_Bc10,UMI_200_Bc71_Bc11,UMI_200_Bc71_Bc12,UMI_200_Bc71_Bc13,UMI_200_Bc71_Bc14,UMI_200_Bc71_Bc15,UMI_200_Bc71_Bc16,UMI_200_Bc72_Bc01,UMI_200_Bc72_Bc02,UMI_200_Bc72_Bc03,UMI_200_Bc72_Bc04,UMI_200_Bc72_Bc05,UMI_200_Bc72_Bc06,UMI_200_Bc72_Bc07,UMI_200_Bc72_Bc08,UMI_200_Bc72_Bc09,UMI_200_Bc72_Bc10,UMI_200_Bc72_Bc11,UMI_200_Bc72_Bc12,UMI_200_Bc72_Bc13,UMI_200_Bc72_Bc14,UMI_200_Bc72_Bc15,UMI_200_Bc72_Bc16
TTC38,3.005,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,6.28,1.0,0.0,1.0,17.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,1.298,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.002,4.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.001,1.0,0.0,1.068,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,4.0,0.0,1.379,3.179,4.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0
LRRC37A3,0.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.03,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.636,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.582,0.0,0.0,0.0,2.0,1.0,2.587,7.033,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BEX2,0.0,5.0,2.006,25.0,10.397,2.0,4.769,13.242,3.808,4.61,5.417,2.026,4.052,2.563,0.0,20.008,3.0,0.0,0.0,1.0,13.869,3.0,7.0,2.114,1.0,0.0,2.0,0.0,6.0,1.008,0.0,1.606,2.762,1.0,21.0,6.883,5.183,1.0,12.588,5.015,25.0,6.028,29.008,7.0,7.124,5.078,5.0,1.083,6.033,0.0,0.0,4.646,4.708,3.92,6.99,5.0,3.093,3.0,4.0,4.0,6.0,10.0,0.0,10.926,5.662,2.011,10.634,9.0,5.004,1.003,4.0,4.0,3.016,1.0,0.0,1.909,0.0,1.0,2.0,6.519,5.0,7.16,2.168,1.0,19.254,16.824,16.585,5.106,4.155,11.818,4.121,7.522,3.752,1.721,0.0,1.056
SLC4A1,0.0,0.0,0.0,0.0,5.0,2.519,0.0,0.0,8.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.587,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.002,35.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.518,3.171,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225,2.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.569,2.323,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3D,25.725,7.105,8.131,25.856,23.025,20.647,13.753,52.782,6.486,15.074,25.159,11.029,29.007,7.26,16.073,15.615,10.781,1.008,1.0,13.778,3.0,11.937,11.0,1.162,3.911,7.0,6.423,7.952,5.0,5.0,1.217,3.126,30.634,7.037,20.259,31.581,38.296,12.63,21.949,28.259,11.58,26.108,39.74,33.667,35.393,11.912,11.0,2.011,21.718,17.622,9.292,15.091,33.888,19.019,22.531,16.962,13.75,23.777,19.878,13.052,12.993,36.981,17.647,8.1,14.291,22.54,18.898,33.919,26.457,10.697,23.886,22.191,2.975,15.761,20.557,11.687,24.086,10.0,17.962,2.656,25.758,41.735,13.877,29.751,29.385,18.373,35.283,34.622,6.0,25.783,24.049,21.763,9.088,4.517,12.391,3.92
SEMA4D,0.0,0.0,1.017,0.0,0.0,0.0,0.0,2.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.156,1.343,0.0,3.131,0.0,0.0,0.0,3.657,2.213,2.033,0.0,0.0,0.0,0.0,0.0,2.392,0.0,0.0,0.0,1.119,0.0,0.0,0.0,2.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.061,1.019,2.419,1.07,0.0,0.0,0.0,0.0,0.0,3.334,0.0,0.0,0.0,1.274,0.0,0.0,0.0,0.0,0.0,1.118,0.0,0.0,0.0,0.0,3.874,0.0,0.0,0.0,1.159,0.0,0.0,0.0,0.0
BUD13,0.0,0.0,0.0,0.0,0.0,4.013,1.0,0.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.206,1.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.516,2.0,0.0,1.0,0.0,0.0,0.0,2.028,3.0,2.014,0.0,1.001,0.0,2.0,0.0,0.0,2.098,0.0,0.0,4.0,2.0,0.0,4.001,3.0,3.033,1.003,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
BLNK,0.0,2.019,5.021,0.0,2.867,0.0,0.0,3.235,7.463,3.341,0.0,0.0,0.0,0.0,0.0,2.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,2.366,3.427,0.0,0.0,5.611,0.0,0.0,12.236,0.0,0.0,0.0,0.0,0.0,1.396,0.0,0.0,0.0,0.0,0.0,0.0,7.428,1.461,3.393,0.0,1.436,0.0,6.896,0.0,0.0,0.0,0.0,0.0,0.0,4.735,0.0,0.0,0.0,0.0,0.0,11.842,1.847,0.0,2.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TIA1,7.324,4.001,3.0,2.071,1.002,1.427,1.0,4.07,3.0,3.0,5.0,3.046,7.0,1.033,3.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,1.054,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,8.983,5.0,8.005,11.267,5.0,9.082,3.012,3.0,8.179,3.0,7.0,1.0,1.0,3.002,3.0,3.0,3.001,5.016,4.0,8.004,3.001,10.059,5.0,2.0,5.003,4.024,3.003,3.023,3.0,6.001,3.064,6.0,11.155,3.894,3.141,10.0,2.0,2.0,2.001,1.023,2.004,2.0,5.0,3.006,0.0,11.004,7.087,2.0,5.055,1.075,1.0,4.0,1.0,2.064,4.001,4.207,7.0,0.0,0.0,1.041,0.0
SF3B1,12.0,12.914,5.069,3.069,14.07,9.577,6.65,5.004,5.237,5.068,8.032,12.034,18.924,7.0,13.65,4.944,3.0,4.0,1.0,1.0,2.019,11.0,4.0,4.0,0.0,2.001,1.0,2.0,2.03,2.0,0.0,5.0,7.516,1.027,17.298,5.24,27.014,11.116,20.011,12.047,3.348,16.126,12.138,17.0,14.209,4.05,9.017,2.009,5.365,7.0,7.364,7.652,26.042,11.257,13.002,5.257,8.056,13.111,4.12,16.005,11.0,14.0,10.0,7.003,6.003,15.874,7.0,4.147,12.062,1.071,23.058,8.0,0.0,11.0,13.01,9.21,15.0,13.587,4.0,2.035,27.929,15.668,7.024,8.756,13.346,16.403,15.924,14.17,7.0,4.221,6.897,30.548,4.041,3.082,1.0,1.0
