"","X","Method","Reg_Type","EPR","Dataset"
"86",5,"SINCERITIES","RBP",1.12923013395005,"K562_Smartseq3"
"87",6,"TENET","TF",1.00833328835363,"K562_Smartseq3"
"88",7,"TENET","RBP",1.27877503102995,"K562_Smartseq3"
"89",8,"TENET_A","TF",0.947179339977216,"K562_Smartseq3"
"90",9,"TENET_A","RBP",1.8349806617963,"K562_Smartseq3"
"91",10,"TENET_B","TF",1.05008023650094,"K562_Smartseq3"
"92",11,"TENET_B","RBP",1.37477916248866,"K562_Smartseq3"
"93",12,"DeePSEM_CT","TF",1.11261812411557,"K562_Smartseq3"
"94",13,"DeePSEM_CT","RBP",1.35277915226303,"K562_Smartseq3"
"95",14,"ARACNe_FDR","TF",1.27935511772219,"K562_Smartseq3"
"96",15,"ARACNe_FDR","RBP",1.22427702259516,"K562_Smartseq3"
"97",0,"PIDC","TF",1.01929481689868,"K562_SCANseq2_9CL"
"98",1,"PIDC","RBP",1.03829061373206,"K562_SCANseq2_9CL"
"99",2,"GRNBOOST2","TF",1.10941712903918,"K562_SCANseq2_9CL"
"100",3,"GRNBOOST2","RBP",1.09116983287602,"K562_SCANseq2_9CL"
"101",4,"SINCERITIES","TF",0.745215945312984,"K562_SCANseq2_9CL"
"102",5,"SINCERITIES","RBP",1.33841591157615,"K562_SCANseq2_9CL"
"103",6,"TENET","TF",1.16719088960786,"K562_SCANseq2_9CL"
"104",7,"TENET","RBP",1.10403234564077,"K562_SCANseq2_9CL"
"105",8,"TENET_A","TF",1.26014668650328,"K562_SCANseq2_9CL"
"106",9,"TENET_A","RBP",0.647905859715099,"K562_SCANseq2_9CL"
"107",10,"TENET_B","TF",0.99413797949543,"K562_SCANseq2_9CL"
"108",11,"TENET_B","RBP",0.922127134630384,"K562_SCANseq2_9CL"
"109",12,"DeePSEM_CT","TF",1.08362599982141,"K562_SCANseq2_9CL"
"110",13,"DeePSEM_CT","RBP",1.5719219563694,"K562_SCANseq2_9CL"
"111",14,"ARACNe_FDR","TF",1.49931135494555,"K562_SCANseq2_9CL"
"112",15,"ARACNe_FDR","RBP",1.18868289011247,"K562_SCANseq2_9CL"
"113",0,"PIDC","TF",0.722097636708642,"K562_SCANseq2_UMI200"
"114",1,"PIDC","RBP",0.776069641823066,"K562_SCANseq2_UMI200"
"115",2,"GRNBOOST2","TF",1.02066520428479,"K562_SCANseq2_UMI200"
"116",3,"GRNBOOST2","RBP",0.937702929405647,"K562_SCANseq2_UMI200"
"117",4,"SINCERITIES","TF",1.01818764152145,"K562_SCANseq2_UMI200"
"118",5,"SINCERITIES","RBP",1.18905400508865,"K562_SCANseq2_UMI200"
"119",6,"TENET","TF",1.12935519512087,"K562_SCANseq2_UMI200"
"120",7,"TENET","RBP",1.16337417382692,"K562_SCANseq2_UMI200"
"121",8,"TENET_A","TF",1.32014260249554,"K562_SCANseq2_UMI200"
"122",9,"TENET_A","RBP",1.75154606661456,"K562_SCANseq2_UMI200"
"123",10,"TENET_B","TF",1.19620786357392,"K562_SCANseq2_UMI200"
"124",11,"TENET_B","RBP",1.28453282724372,"K562_SCANseq2_UMI200"
"125",12,"DeePSEM_CT","TF",1.09973038652909,"K562_SCANseq2_UMI200"
"126",13,"DeePSEM_CT","RBP",1.34836973838928,"K562_SCANseq2_UMI200"
"127",14,"ARACNe_FDR","TF",1.21380713068976,"K562_SCANseq2_UMI200"
"128",15,"ARACNe_FDR","RBP",1.17103365596516,"K562_SCANseq2_UMI200"
