"","X","Method","Reg_Type","EPR","Dataset"
"1",0,"PIDC","TF",0.553665387416151,"HepG2_Smartseq2"
"2",1,"PIDC","RBP",0.647817319098458,"HepG2_Smartseq2"
"3",2,"GRNBOOST2","TF",1.09355572807701,"HepG2_Smartseq2"
"4",3,"GRNBOOST2","RBP",1.16470714621423,"HepG2_Smartseq2"
"5",4,"SINCERITIES","TF",1.02730613483716,"HepG2_Smartseq2"
"6",5,"SINCERITIES","RBP",0.914955510737368,"HepG2_Smartseq2"
"7",6,"TENET","TF",1.0671300675823,"HepG2_Smartseq2"
"8",7,"TENET","RBP",1.41205732365767,"HepG2_Smartseq2"
"9",8,"TENET_A","TF",1.17419857524488,"HepG2_Smartseq2"
"10",9,"TENET_A","RBP",2.06574400222723,"HepG2_Smartseq2"
"11",10,"TENET_B","TF",1.15745847335748,"HepG2_Smartseq2"
"12",11,"TENET_B","RBP",1.31599900232041,"HepG2_Smartseq2"
"13",12,"DeePSEM_CT","TF",1.05019149508099,"HepG2_Smartseq2"
"14",13,"DeePSEM_CT","RBP",1.20050565835596,"HepG2_Smartseq2"
"15",14,"ARACNe_FDR","TF",1.37772632828733,"HepG2_Smartseq2"
"16",15,"ARACNe_FDR","RBP",1.08131808844794,"HepG2_Smartseq2"
"17",0,"PIDC","TF",1.07811135315045,"HepG2_10x"
"18",1,"PIDC","RBP",1.10500710418877,"HepG2_10x"
"19",2,"GRNBOOST2","TF",1.11817583047198,"HepG2_10x"
"20",3,"GRNBOOST2","RBP",1.10778583119009,"HepG2_10x"
"21",4,"SINCERITIES","TF",1.14073219955632,"HepG2_10x"
"22",5,"SINCERITIES","RBP",1.38700017930787,"HepG2_10x"
"23",6,"TENET","TF",1.21701084769722,"HepG2_10x"
"24",7,"TENET","RBP",0.989226812467402,"HepG2_10x"
"25",8,"TENET_A","TF",1.61568729641694,"HepG2_10x"
"26",9,"TENET_A","RBP",0.836760599136837,"HepG2_10x"
"27",10,"TENET_B","TF",1.31399422285047,"HepG2_10x"
"28",11,"TENET_B","RBP",1.03344481605351,"HepG2_10x"
"29",12,"DeePSEM_CT","TF",1.11675156264638,"HepG2_10x"
"30",13,"DeePSEM_CT","RBP",1.64963759644611,"HepG2_10x"
"31",14,"ARACNe_FDR","TF",1.38188822689952,"HepG2_10x"
"32",15,"ARACNe_FDR","RBP",0.98135984838651,"HepG2_10x"
"33",0,"PIDC","TF",0.927228618238653,"HepG2_SCANseq2_9CL"
"34",1,"PIDC","RBP",1.16020886253832,"HepG2_SCANseq2_9CL"
