"","X","Method","Reg_Type","EPR","Dataset"
"35",2,"GRNBOOST2","TF",1.02821265536903,"HepG2_SCANseq2_9CL"
"36",3,"GRNBOOST2","RBP",1.08811551752932,"HepG2_SCANseq2_9CL"
"37",4,"SINCERITIES","TF",1.0347792721837,"HepG2_SCANseq2_9CL"
"38",5,"SINCERITIES","RBP",1.11897445590456,"HepG2_SCANseq2_9CL"
"39",6,"TENET","TF",1.1120393110634,"HepG2_SCANseq2_9CL"
"40",7,"TENET","RBP",1.22068122993085,"HepG2_SCANseq2_9CL"
"41",8,"TENET_A","TF",0.866069234423893,"HepG2_SCANseq2_9CL"
"42",9,"TENET_A","RBP",1.19566039942487,"HepG2_SCANseq2_9CL"
"43",10,"TENET_B","TF",1.17092990127463,"HepG2_SCANseq2_9CL"
"44",11,"TENET_B","RBP",1.04379989639463,"HepG2_SCANseq2_9CL"
"45",12,"DeePSEM_CT","TF",1.08624740804734,"HepG2_SCANseq2_9CL"
"46",13,"DeePSEM_CT","RBP",1.31051731735368,"HepG2_SCANseq2_9CL"
"47",14,"ARACNe_FDR","TF",0.923452587961079,"HepG2_SCANseq2_9CL"
"48",15,"ARACNe_FDR","RBP",1.58721913435954,"HepG2_SCANseq2_9CL"
"49",0,"PIDC","TF",1.00817340640437,"K562_CELseq"
"50",1,"PIDC","RBP",1.14921561298022,"K562_CELseq"
"51",2,"GRNBOOST2","TF",1.06373501190331,"K562_CELseq"
"52",3,"GRNBOOST2","RBP",1.14068089469145,"K562_CELseq"
"53",4,"SINCERITIES","TF",0.985655110226754,"K562_CELseq"
"54",5,"SINCERITIES","RBP",1.1856881223362,"K562_CELseq"
"55",6,"TENET","TF",1.14681111355568,"K562_CELseq"
"56",7,"TENET","RBP",1.32040445426203,"K562_CELseq"
"57",8,"TENET_A","TF",0.982987967362208,"K562_CELseq"
"58",9,"TENET_A","RBP",1.53855267125958,"K562_CELseq"
"59",10,"TENET_B","TF",1.01468581246843,"K562_CELseq"
"60",11,"TENET_B","RBP",1.38256185806882,"K562_CELseq"
"61",12,"DeePSEM_CT","TF",1.09967867287368,"K562_CELseq"
"62",13,"DeePSEM_CT","RBP",1.56542855722985,"K562_CELseq"
"63",14,"ARACNe_FDR","TF",1.17167425483601,"K562_CELseq"
"64",15,"ARACNe_FDR","RBP",1.51629815016456,"K562_CELseq"
"65",0,"PIDC","TF",0.938020899276226,"K562_STORMseq"
"66",1,"PIDC","RBP",1.09814630305786,"K562_STORMseq"
"67",2,"GRNBOOST2","TF",1.08048801152249,"K562_STORMseq"
"68",3,"GRNBOOST2","RBP",1.26625316035643,"K562_STORMseq"
"69",4,"SINCERITIES","TF",1.0893239835973,"K562_STORMseq"
"70",5,"SINCERITIES","RBP",1.14634860898372,"K562_STORMseq"
"71",6,"TENET","TF",1.13943703553304,"K562_STORMseq"
"72",7,"TENET","RBP",1.68706467504666,"K562_STORMseq"
"73",8,"TENET_A","TF",0.569927742341535,"K562_STORMseq"
"74",9,"TENET_A","RBP",1.7871986485528,"K562_STORMseq"
"75",10,"TENET_B","TF",1.13174041277678,"K562_STORMseq"
"76",11,"TENET_B","RBP",1.45171848989473,"K562_STORMseq"
"77",12,"DeePSEM_CT","TF",1.18349708011005,"K562_STORMseq"
"78",13,"DeePSEM_CT","RBP",1.40017277701277,"K562_STORMseq"
"79",14,"ARACNe_FDR","TF",1.19978479512908,"K562_STORMseq"
"80",15,"ARACNe_FDR","RBP",1.50168825660002,"K562_STORMseq"
"81",0,"PIDC","TF",1.00621252903422,"K562_Smartseq3"
"82",1,"PIDC","RBP",1.05921515017108,"K562_Smartseq3"
"83",2,"GRNBOOST2","TF",1.04695608951861,"K562_Smartseq3"
"84",3,"GRNBOOST2","RBP",1.06852465832688,"K562_Smartseq3"
"85",4,"SINCERITIES","TF",0.966374856370407,"K562_Smartseq3"
"86",5,"SINCERITIES","RBP",1.09533952970014,"K562_Smartseq3"
"87",6,"TENET","TF",1.02873609890148,"K562_Smartseq3"
"88",7,"TENET","RBP",1.19256513479156,"K562_Smartseq3"
"89",8,"TENET_A","TF",1.04061529791398,"K562_Smartseq3"
"90",9,"TENET_A","RBP",1.45365077067805,"K562_Smartseq3"
"91",10,"TENET_B","TF",1.05831493915549,"K562_Smartseq3"
"92",11,"TENET_B","RBP",1.23171844983443,"K562_Smartseq3"
"93",12,"DeePSEM_CT","TF",1.09390584091158,"K562_Smartseq3"
"94",13,"DeePSEM_CT","RBP",1.29745421963101,"K562_Smartseq3"
"95",14,"ARACNe_FDR","TF",1.19899182710414,"K562_Smartseq3"
"96",15,"ARACNe_FDR","RBP",1.22357635840211,"K562_Smartseq3"
"97",0,"PIDC","TF",1.0034219728223,"K562_SCANseq2_9CL"
"98",1,"PIDC","RBP",1.0238765732009,"K562_SCANseq2_9CL"
"99",2,"GRNBOOST2","TF",1.13650389224624,"K562_SCANseq2_9CL"
"100",3,"GRNBOOST2","RBP",1.06293453512137,"K562_SCANseq2_9CL"
"101",4,"SINCERITIES","TF",0.747337645946981,"K562_SCANseq2_9CL"
"102",5,"SINCERITIES","RBP",1.33056137388447,"K562_SCANseq2_9CL"
"103",6,"TENET","TF",1.16291914126704,"K562_SCANseq2_9CL"
"104",7,"TENET","RBP",1.02666642762379,"K562_SCANseq2_9CL"
"105",8,"TENET_A","TF",1.10368582630567,"K562_SCANseq2_9CL"
"106",9,"TENET_A","RBP",0.624737173380511,"K562_SCANseq2_9CL"
"107",10,"TENET_B","TF",0.994044593377571,"K562_SCANseq2_9CL"
"108",11,"TENET_B","RBP",0.941619918058619,"K562_SCANseq2_9CL"
"109",12,"DeePSEM_CT","TF",1.11826008860293,"K562_SCANseq2_9CL"
"110",13,"DeePSEM_CT","RBP",1.06532548125406,"K562_SCANseq2_9CL"
"111",14,"ARACNe_FDR","TF",1.45133639018942,"K562_SCANseq2_9CL"
"112",15,"ARACNe_FDR","RBP",1.28621484460142,"K562_SCANseq2_9CL"
"113",0,"PIDC","TF",0.758208255797195,"K562_SCANseq2_UMI200"
"114",1,"PIDC","RBP",0.724070296830177,"K562_SCANseq2_UMI200"
"115",2,"GRNBOOST2","TF",1.04947360513988,"K562_SCANseq2_UMI200"
"116",3,"GRNBOOST2","RBP",1.01721805134607,"K562_SCANseq2_UMI200"
"117",4,"SINCERITIES","TF",1.03140466942575,"K562_SCANseq2_UMI200"
"118",5,"SINCERITIES","RBP",1.25042446970407,"K562_SCANseq2_UMI200"
"119",6,"TENET","TF",1.13546944834031,"K562_SCANseq2_UMI200"
"120",7,"TENET","RBP",1.19051232355132,"K562_SCANseq2_UMI200"
"121",8,"TENET_A","TF",1.1293758671457,"K562_SCANseq2_UMI200"
"122",9,"TENET_A","RBP",1.53388629207397,"K562_SCANseq2_UMI200"
"123",10,"TENET_B","TF",1.13324469683618,"K562_SCANseq2_UMI200"
"124",11,"TENET_B","RBP",1.35797405374504,"K562_SCANseq2_UMI200"
"125",12,"DeePSEM_CT","TF",1.17295537481301,"K562_SCANseq2_UMI200"
"126",13,"DeePSEM_CT","RBP",1.40884248179996,"K562_SCANseq2_UMI200"
"127",14,"ARACNe_FDR","TF",1.19085196137031,"K562_SCANseq2_UMI200"
"128",15,"ARACNe_FDR","RBP",1.22556681102856,"K562_SCANseq2_UMI200"
