""	A10	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8
PRPF4	3.33350706100464	2.07452511787415	6.14390182495117	3.32732605934143	3.53147196769714	5.78423404693604	2.07810592651367	3.37652897834778	5.46344184875488	5.50041389465332	1.54993498325348	6.07334995269775	4.54544305801392	8.78375720977783	6.48791599273682	7.60720920562744	3.48540806770325	5.25425720214844	2.75488090515137	7.21905422210693	3.69729590415955	5.3108229637146	3.12490200996399	4.74378108978272	4.88974809646606	3.66329598426819	6.23597383499146	7.84092521667481	4.36618423461914	2.92609190940857	6.36704921722412	7.21462917327881	2.77555394172668	3.84489703178406	5.16986417770386	3.69633793830872	5.44833898544312	4.15074014663696	4.57527923583984	4.73748588562012	5.43442821502686	4.24589586257935	5.06384706497192	3.33921194076538	4.18199586868286	4.73768615722656	6.72058486938477	5.14925622940064	8.24744033813477	6.35951614379883	4.80853700637817	3.35781407356262	5.21099376678467	3.59197807312012	6.07417297363281	6.14945602416992	4.49168682098389	3.83306288719177	5.49035978317261	5.81453895568848	3.16636991500855	3.41066408157349	6.00539922714233	6.33197021484375	1.52234899997711	2.93833994865418	2.75705695152283	1.41628694534302	3.43125104904175
DDX11-AS1	0.808479011058807	0	0	0	1.87901604175568	0.692816019058228	0	0	0	0	0	0	1.98305094242096	0	0	0	0	0.874298989772797	0	0	0	0.358152985572815	0	0	0	0	0	0	0	0.101126998662949	0	0	0	0	0.79644101858139	0	0.790795028209686	0	0	0	0.120088003575802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40916800498962	0	0	0	10.7316188812256	0	0.629772007465363	2.46130299568176	0	0	0	0	0
TARDBP	50.4297485351563	70.8514709472656	65.1833114624024	32.8327255249023	42.0262336730957	56.6951713562012	51.1494026184082	61.8784027099609	40.731575012207	65.0433502197266	38.1366958618164	74.1093215942383	43.2566795349121	52.6238021850586	64.7849655151367	39.3490028381348	42.5712242126465	107.148910522461	27.4585819244385	64.2131042480469	18.9392910003662	56.7495803833008	78.9425811767578	32.9079475402832	56.8401145935059	51.2375717163086	47.3388481140137	56.6199569702149	57.6747550964356	38.7661628723145	38.4822425842285	79.0854721069336	66.2965393066406	43.1939315795898	44.296630859375	28.6237812042236	68.3142547607422	30.4285297393799	42.5928039550781	29.2648162841797	85.3308486938477	37.9687004089356	57.4526481628418	72.5792465209961	47.8923606872559	37.374267578125	61.5351219177246	40.8352165222168	172.955444335938	45.3890914916992	46.7900772094727	87.7805786132813	68.3606414794922	29.3569736480713	27.6088886260986	36.25048828125	61.4134750366211	47.4745635986328	63.9304809570313	93.9050598144531	70.5698318481445	33.6629447937012	43.9546241760254	35.2766304016113	31.2073917388916	87.0582046508789	61.095272064209	75.3243103027344	84.8920593261719
TAF1C	4.96349620819092	0.695523977279663	1.33892595767975	2.24070906639099	1.07165205478668	2.31406402587891	3.17922806739807	0.619690001010895	1.89626395702362	3.60201001167297	0.945418000221252	1.17215704917908	3.46486806869507	3.63876891136169	0.8559650182724	3.76093888282776	2.07989001274109	6.35571384429932	0.440871000289917	0.490734994411469	1.23156797885895	0.698202013969421	3.86628890037537	7.39479112625122	33.3873863220215	3.86510705947876	6.29717302322388	4.46769285202026	4.47040319442749	0.226276993751526	1.01306700706482	8.33442497253418	3.04541110992432	0	0.221153005957603	0.711207985877991	6.38177919387817	2.10986709594727	6.91202020645142	0.376634001731873	1.4181489944458	2.63591003417969	2.01227998733521	2.39271306991577	2.41174697875977	8.93799877166748	2.91531109809876	0.648688971996307	3.93151688575745	2.13314199447632	0.887687027454376	5.00112009048462	2.84139490127564	0.163996994495392	0.548228025436401	0.642782986164093	1.2094099521637	3.90531706809998	0.9825159907341	1.82843399047852	11.1724481582642	2.99039888381958	3.92411088943481	3.32791590690613	3.12813711166382	0.315762996673584	1.79292404651642	0.166204005479813	2.23015999794006
ZSCAN2	0	0	0.364028990268707	0.670653998851776	9.57560253143311	0	0	0	0.234953001141548	0	0.361535996198654	1.31441295146942	0	0	0.292481005191803	1.69863295555115	0.307491004467011	0.673209011554718	0.0797780007123947	2.86611008644104	0.340739995241165	0	0.304978996515274	0.273440986871719	0.444873988628387	0.427751004695892	0	1.27584600448608	0.227792993187904	1.43749904632568	1.4157919883728	0	2.6200590133667	0.519003987312317	0.860179007053375	0.298323005437851	0	1.01986002922058	0.382104992866516	0	0	16.9856224060059	0	0.234768003225327	18.9253082275391	1.95462501049042	2.01896405220032	0	0.340101987123489	0.73478901386261	1.39723801612854	0.338503003120422	0	0.178883999586105	0.808399975299835	0	0.356682986021042	0.457531988620758	0.0670360028743744	0.29093199968338	0.19590699672699	1.08953094482422	0	1.81778597831726	0.599550008773804	0	0.458005011081696	1.53975403308868	0.744765996932983
EMC10	1.51683497428894	0.689194023609161	0.489104002714157	0.527467012405396	1.16489994525909	1.42614305019379	0.122969999909401	0.10096500068903	1.69078600406647	0.849309980869293	0.226343005895615	0.214131996035576	1.24295294284821	0.936056971549988	1.27148103713989	1.38104903697968	0.0773919969797134	0.814562976360321	8.0870943069458	0.100088998675346	0.0816769972443581	1.32161104679108	3.96725797653198	0.832206010818481	0.0374399982392788	0.123567998409271	13.6030254364014	1.4076030254364	1.74999499320984	1.72885096073151	0.53118497133255	0.645879983901978	1.22980201244354	0	3.63988399505615	0	0.574862003326416	1.54119300842285	1.29512298107147	1.13567805290222	0.552389979362488	0.491023987531662	18.7694644927979	0.966361999511719	0.182435005903244	0.707629978656769	0.784403026103973	5.6268367767334	0.581444978713989	0.188537999987602	1.44376397132874	0.470744997262955	1.04368197917938	0.694890022277832	0.301241993904114	0.859036028385162	0.0419460013508797	0.412299007177353	0.859318017959595	1.61849403381348	0.467411011457443	4.34181594848633	1.08949899673462	0.100157998502254	0.723967015743256	0.225997000932694	0.230985999107361	0.128014996647835	0.938998997211456
IFITM3	37.1387939453125	25.5049266815186	77.6579132080078	26.7298412322998	16.4189491271973	59.3556022644043	6.98215389251709	37.8786888122559	45.0779342651367	29.0833587646484	7.32186794281006	8.92378902435303	11.8775672912598	20.5522594451904	19.9225025177002	31.6698665618897	14.9528970718384	1.87312197685242	74.7187576293945	34.1227149963379	3.80926108360291	12.2958927154541	51.9213027954102	25.3180637359619	13.17702293396	15.4936952590942	11.8839921951294	9.2310266494751	31.8918724060059	10.1014175415039	64.1286926269531	9.18143844604492	15.6194610595703	8.82835197448731	18.9690475463867	12.1121006011963	20.4309902191162	33.2805595397949	47.6576766967774	3.21413207054138	10.6436452865601	3.87789106369019	21.5622596740723	0.964120984077454	7.29862499237061	14.7190370559692	43.1734428405762	13.3080568313599	48.2712821960449	39.7137794494629	30.730770111084	18.2118320465088	11.6662187576294	42.0971183776855	13.7333993911743	13.6660976409912	25.8914985656738	10.1836843490601	32.7315368652344	3.64748811721802	18.1265506744385	15.2227411270142	27.2054634094238	5.29289102554321	8.03811931610107	20.0782051086426	21.1576671600342	0	27.0338706970215
IL7R	0	0.983838021755219	0	0	0	0	0	0	0	0	0	0	0	1.64938998222351	0	11.913535118103	0	0	0	1.13514399528503	0	0	0	0	0.137556999921799	0	0	1.23962700366974	0	0	0	0	0	0	0	0	0	0	3.04281210899353	0	0	0	0	0	0	1.48136305809021	0	1.28114795684814	0	1.17310094833374	0	0.495528995990753	0	0	0	3.02235102653503	0	0	0	0	0	0	0	0	0	0	0	0	1.03245401382446
IMPA2	0	0	0	1.55971896648407	0	0	0	0	0	0	0	0	0	0	0	0	0.222258999943733	1.00432896614075	4.49950313568115	0.231086999177933	0.56487101316452	0	0.845975995063782	0.853313982486725	0	0	0	0.876489996910095	0	5.03131484985352	1.29721200466156	2.59296202659607	0.552731990814209	0.840337991714478	2.39771389961243	0	2.46389007568359	0	0	0	3.70949006080627	0	0	0.485074996948242	2.1227068901062	0	0.87849098443985	0	0	1.75767695903778	19.3262825012207	1.34141898155212	1.73954904079437	1.20135700702667	1.02168798446655	0	0.451925009489059	0	1.63386297225952	0	5.93101692199707	0	0.19226199388504	0.750967979431152	0.430586993694305	0	0	0	0.219031006097794
MS4A3	0.684291005134583	4.78735494613648	11.7067861557007	13.5707521438599	0.769972026348114	113.226257324219	1.11877298355103	3.60432100296021	0	0	0	0	6.67217683792114	0.678928971290588	6.08577299118042	25.0116558074951	11.516487121582	0	6.17126703262329	19.2077674865723	4.3221549987793	12.0454320907593	4.72581005096436	33.5824546813965	5.70380020141602	1.32540500164032	0	15.3695764541626	7.77744102478027	0.571260988712311	1.23428499698639	0	14.4557914733887	0	37.3549270629883	8.82730388641357	0	4.10595417022705	27.4456157684326	38.0908584594727	37.969612121582	3.22618699073792	36.0557327270508	35.6144790649414	60.1551818847656	18.9734725952148	42.0673942565918	1.67163598537445	0	6.19265079498291	187.501174926758	0	39.7226104736328	1.75847101211548	2.8276059627533	37.1426277160645	2.37673091888428	0	62.3361930847168	0	31.7043895721436	2.5546190738678	0	0.403970003128052	15.3803081512451	0	23.6061325073242	14.3001184463501	96.8609771728516
