,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
DENND4A,2.368396,1.829687,10.845591,1.352673,14.448882,3.725252,10.973322,4.820461,1.587319,4.107485,2.088474,5.270741,2.925402,0.922223,5.080801,0.825664,1.430963,6.60141,1.131109,1.035251,8.545182,3.49942,0.305463,3.493796,1.835901,3.67358,4.444662,0.841417,3.625271,1.417274,3.230795,2.010912,2.784846,1.711395,0.207573,2.005513,2.011305,1.489738,2.084614,16.168636,9.666129,3.131022,33.32808,2.342304,5.453019,1.990442,4.418211,0.991582,2.288178,1.367402,0.609302,1.634505,11.587944,2.647109,1.450641,1.161944,8.488355,1.777534,1.247195,2.409622,5.310952,2.987302,1.023564,1.814847,0.868011,4.783504,4.757495,0.997994,1.007774
HBG1,79.03135,207.23387,312.72623,21.224783,63.977566,13.368649,37.694496,245.35883,65.610085,50.14241,45.957314,168.59802,66.49475,213.74672,85.38232,129.56712,0.0,347.57547,9.348466,10.708566,135.56961,252.60608,16.060652,63.047375,49.332924,202.73466,329.94125,106.26301,166.38797,250.32576,103.38556,42.146114,447.676,119.562065,0.0,38.93217,215.50327,64.53522,167.55585,25.671211,170.66553,199.55013,303.55084,161.0297,35.017048,107.468575,10.28951,245.72723,49.05244,117.73617,206.32295,33.808693,92.483734,35.73313,71.63082,252.56718,185.11153,306.34427,39.754265,295.96127,32.901688,17.873945,42.934597,197.92883,69.31426,31.54637,18.11319,184.88332,30.542841
PABPC4,51.992138,70.91345,64.90336,24.01374,55.045677,51.469395,78.70727,92.88242,26.55553,64.88079,51.912766,81.97298,61.9725,82.159775,47.145363,65.54393,70.09074,97.22549,46.003647,90.134285,50.47987,34.79369,54.834347,70.63153,32.55208,56.554634,86.56404,42.129658,77.965515,51.340557,79.67,69.552086,74.194374,97.534615,51.60045,78.0009,61.39553,41.041977,56.22667,58.81109,50.612503,53.42775,79.45374,59.41734,69.68404,66.74374,21.632557,55.09397,43.186577,101.202,71.18877,96.78555,70.48315,29.761042,44.938396,70.27293,77.04137,60.955025,83.010864,97.00546,87.61376,45.092545,52.078205,113.24149,52.920605,22.325548,29.003502,76.30773,54.458286
NUP160,11.723587,4.653198,16.648146,6.524078,8.634202,6.408216,6.607114,27.322964,3.849295,9.035916,6.389777,12.204564,27.532532,20.65266,12.940791,10.925321,42.288685,46.50073,5.639364,16.307444,29.174902,6.598481,13.618063,30.551006,38.232937,13.473216,28.991066,6.112241,10.042675,10.305619,8.459542,7.431398,8.591129,9.405512,7.644989,8.266555,7.601093,5.363381,8.393483,29.085546,14.504772,34.00472,14.820085,11.219655,14.908957,14.040553,7.46729,6.158907,13.902425,19.944614,3.636919,57.136627,8.930253,8.534858,7.211968,4.961135,29.540642,7.590914,14.901935,21.718298,13.527462,3.394968,6.119157,6.277548,6.668203,6.675347,6.143819,6.064817,6.158423
LINC00352,1.674731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.626914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.651996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.306963,0.0,0.0,7.769531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.718725,0.0,0.0,0.0,0.0,0.0,7.292124,0.0,0.0,0.0
HBE1,15.07952,485.92136,469.56927,40.244965,5.927237,10.777947,3.461353,98.99293,3.794701,68.55921,14.628345,219.4007,4.82867,29.572025,109.17116,6.953823,6.124605,739.72095,4.381173,4.549017,107.870224,183.92657,5.788246,6.026541,2.823111,179.01501,14.209486,2.71454,23.762543,10.193491,7.443619,5.685043,297.06274,13.674031,11.663037,60.86193,319.12354,11.932164,94.97347,1.163024,203.64308,149.97534,9.361274,18.062414,8.366977,40.231735,7.262772,260.72302,6.020918,4.990947,301.15686,10.316303,0.0,6.822253,5.915852,218.69225,1.204467,235.23607,3.619146,4.620445,4.334434,5.948983,1.090031,325.2815,8.154567,1.700998,6.641723,880.18445,3.854125
H4C1,0.0,1.137407,1.259946,0.0,31.913418,4.443422,7.45281,4.467284,18.191738,9.992742,7.214878,0.0,12.619739,1.080059,15.90509,10.837509,0.0,20.928537,6.646963,4.646536,4.744251,5.188276,11.236736,4.363806,0.0,5.527109,18.276531,0.0,0.0,5.874122,3.115356,0.0,16.746075,4.170285,8.581269,11.379946,8.78324,9.816878,3.202309,0.0,2.347597,1.056417,6.063855,1.297627,1.332209,6.761254,0.920691,9.713043,3.517942,16.815845,26.30633,6.448789,8.8223,5.155177,1.234349,0.987922,17.842482,2.338018,10.608482,6.088524,45.07588,3.868957,0.0,2.928873,6.689947,4.349268,8.373814,0.0,2.230944
PRG2,4.573893,0.0,2.639705,3.525448,0.811155,5.096626,7.155318,4.448617,1.601081,1.053411,0.0,10.717514,0.0,0.0,0.8884,0.0,0.754623,9.173006,20.522263,14.191109,0.0,16.120306,0.735514,13.920855,0.0,0.0,0.0,5.259766,2.472529,16.60573,1.337059,1.877696,1.766166,1.093257,0.0,0.0,1.517637,1.48095,17.647127,0.0,3.29337,11.486753,82.59078,13.826898,9.438811,1.612622,7.940253,3.020397,4.486061,0.0,1.975102,0.0,6.088449,0.26724,0.253945,0.0,28.590294,9.263576,34.067062,1.632984,0.0,2.324382,3.462262,3.328204,0.174062,0.0,15.556412,0.0,43.532856
TPRN,0.508849,0.385923,1.284037,1.533151,0.748099,0.180912,0.363353,0.867852,0.357727,0.850038,0.306726,2.635284,0.613956,1.307637,1.102025,0.7946,0.543729,0.651083,1.203089,0.980717,0.899057,0.684401,0.185312,1.075935,0.102824,0.392668,0.400223,0.335963,0.353766,1.098758,0.681667,0.68464,0.634631,0.737781,0.07994,0.211308,0.914269,0.257441,1.155694,0.323431,0.55316,0.357162,1.489455,0.375,1.002378,1.160519,35.146313,0.302363,0.954262,0.479273,1.450978,0.261825,0.299748,0.384195,0.36324,0.399459,0.690346,1.211656,0.729781,0.441984,0.0,0.675006,0.528849,1.075264,29.44354,0.075321,1.382734,16.451054,0.928837
ALDH1A1,4.378344,0.170994,1.87414,0.0,0.0,45.57221,0.0,0.0,7.258108,0.0,5.789142,0.0,0.0,0.0,1.085679,0.0,0.847582,0.0,0.0,11.256977,0.690966,0.527104,6.46881,0.163347,0.155903,0.0,0.0,0.0,0.0,0.289879,0.32292,1.014397,0.0,0.0,4.144843,3.660169,1.028634,0.0,1.710277,2.021486,0.344742,0.0,0.0,0.0,0.596991,1.999675,5.792614,0.0,3.809796,1.883622,0.0,0.1927,2.52153,0.542137,0.0,0.0,3.952244,0.0,0.0,0.0,0.0,0.908936,0.0,0.0,0.131198,2.696278,0.0,0.630345,0.335937
