,UMI_200_Bc67_Bc01,UMI_200_Bc67_Bc02,UMI_200_Bc67_Bc03,UMI_200_Bc67_Bc04,UMI_200_Bc67_Bc05,UMI_200_Bc67_Bc06,UMI_200_Bc67_Bc07,UMI_200_Bc67_Bc08,UMI_200_Bc67_Bc09,UMI_200_Bc67_Bc10,UMI_200_Bc67_Bc11,UMI_200_Bc67_Bc12,UMI_200_Bc67_Bc13,UMI_200_Bc67_Bc14,UMI_200_Bc67_Bc15,UMI_200_Bc67_Bc16,UMI_200_Bc68_Bc01,UMI_200_Bc68_Bc02,UMI_200_Bc68_Bc03,UMI_200_Bc68_Bc04,UMI_200_Bc68_Bc05,UMI_200_Bc68_Bc06,UMI_200_Bc68_Bc07,UMI_200_Bc68_Bc08,UMI_200_Bc68_Bc09,UMI_200_Bc68_Bc10,UMI_200_Bc68_Bc11,UMI_200_Bc68_Bc12,UMI_200_Bc68_Bc13,UMI_200_Bc68_Bc14,UMI_200_Bc68_Bc15,UMI_200_Bc68_Bc16,UMI_200_Bc69_Bc01,UMI_200_Bc69_Bc02,UMI_200_Bc69_Bc03,UMI_200_Bc69_Bc04,UMI_200_Bc69_Bc05,UMI_200_Bc69_Bc06,UMI_200_Bc69_Bc07,UMI_200_Bc69_Bc08,UMI_200_Bc69_Bc09,UMI_200_Bc69_Bc10,UMI_200_Bc69_Bc11,UMI_200_Bc69_Bc12,UMI_200_Bc69_Bc13,UMI_200_Bc69_Bc14,UMI_200_Bc69_Bc15,UMI_200_Bc69_Bc16,UMI_200_Bc70_Bc01,UMI_200_Bc70_Bc02,UMI_200_Bc70_Bc03,UMI_200_Bc70_Bc04,UMI_200_Bc70_Bc05,UMI_200_Bc70_Bc06,UMI_200_Bc70_Bc07,UMI_200_Bc70_Bc08,UMI_200_Bc70_Bc09,UMI_200_Bc70_Bc10,UMI_200_Bc70_Bc11,UMI_200_Bc70_Bc12,UMI_200_Bc70_Bc13,UMI_200_Bc70_Bc14,UMI_200_Bc70_Bc15,UMI_200_Bc70_Bc16,UMI_200_Bc71_Bc01,UMI_200_Bc71_Bc02,UMI_200_Bc71_Bc03,UMI_200_Bc71_Bc04,UMI_200_Bc71_Bc05,UMI_200_Bc71_Bc06,UMI_200_Bc71_Bc07,UMI_200_Bc71_Bc08,UMI_200_Bc71_Bc09,UMI_200_Bc71_Bc10,UMI_200_Bc71_Bc11,UMI_200_Bc71_Bc12,UMI_200_Bc71_Bc13,UMI_200_Bc71_Bc14,UMI_200_Bc71_Bc15,UMI_200_Bc71_Bc16,UMI_200_Bc72_Bc01,UMI_200_Bc72_Bc02,UMI_200_Bc72_Bc03,UMI_200_Bc72_Bc04,UMI_200_Bc72_Bc05,UMI_200_Bc72_Bc06,UMI_200_Bc72_Bc07,UMI_200_Bc72_Bc08,UMI_200_Bc72_Bc09,UMI_200_Bc72_Bc10,UMI_200_Bc72_Bc11,UMI_200_Bc72_Bc12,UMI_200_Bc72_Bc13,UMI_200_Bc72_Bc14,UMI_200_Bc72_Bc15,UMI_200_Bc72_Bc16
LRP2BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95608896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4181063,0.0,0.0,0.8151953,0.0,0.0,0.0,0.0,0.0,0.0,0.62856627,0.0,0.0,0.0,0.0,0.0,1.2620405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49381313,0.0,0.0,0.0,0.58271873,0.0,0.0,1.1368614,0.0,0.0,0.86425114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5536704,0.0,0.0,0.6926759,0.0,0.0,0.0,0.0,1.0031023,0.0,0.0,0.0,0.0,0.0,1.293497,0.0,0.0
PCED1B,1.9598359,1.5965856,1.6731687,0.0,1.2666311,0.0,2.3084278,0.93209296,0.86218214,1.8038247,0.9174883,2.213188,1.8632972,3.0828052,0.0,2.004619,1.4383757,1.5956022,1.8790275,1.2317775,0.0,0.0,1.0194995,0.0,2.7343168,0.0,1.5549829,1.5867921,1.2972801,0.0,0.0,0.0,2.3812892,2.1076198,0.0,0.0,1.1376963,0.7596951,2.2542987,1.8325051,0.7432827,0.0,0.8411425,1.9460647,1.0273097,1.3085105,0.8465666,2.111098,0.96848387,0.746342,2.0632627,0.9423339,1.0000806,0.0,1.0870972,0.0,3.1170897,0.488418,1.1068815,2.6706429,1.5554596,1.8538657,0.0,2.025001,0.88017166,1.9249198,1.9681425,1.6347009,0.0,0.0,0.0,1.0909466,0.0,0.0,0.0,1.1553712,0.0,0.93385506,0.0,0.0,0.4374776,0.0,1.2744042,0.8876411,1.3553736,0.99768174,0.46172914,0.0,1.3078858,1.9619267,2.010725,0.0,1.1188377,2.124069,0.0,1.4880227
PTPRR,1.9717408,0.0,0.57496285,0.55228347,1.2975485,1.1648817,1.1029434,0.0,0.86218214,1.6577803,0.56047136,0.8151187,2.3327312,0.0,1.4839653,1.9566368,2.3653688,0.0,0.0,1.2095723,0.0,1.9755609,0.0,1.2720882,0.0,0.0,0.0,2.1667318,0.0,0.0,0.0,2.3020473,1.3364166,2.1076198,0.50732356,0.9560252,0.53487283,1.7138876,0.77000624,1.011543,1.4605855,0.0,1.4580421,0.61912245,1.3057104,2.3427627,0.0,2.4826577,0.6170934,1.1703056,1.1917467,1.4179862,1.1903657,0.0,0.0,0.6827367,2.2323556,0.8151311,0.0,0.0,1.2882203,1.4263809,0.80856466,3.42786,0.53684205,2.3756187,1.7280335,0.9630684,0.5307861,1.5605264,1.6961612,0.71386576,0.0,0.74656093,0.0,0.0,0.0,1.8825573,1.9248977,2.708407,0.4374776,1.776006,0.0,1.9047263,0.6941805,1.4870386,1.0122145,0.62238336,1.5776991,0.6276954,0.60769033,0.5273303,1.025797,1.3368123,2.2669222,2.364865
H2AC6,2.5399725,2.5889823,2.6475341,1.6455185,1.8445175,2.4008925,3.8317893,1.45355,2.5904245,2.8158886,2.782351,1.6467663,2.0803971,2.0035882,2.440422,3.2497785,3.286089,2.9704497,2.585978,2.7155092,2.6928763,1.9755609,2.4536605,1.8142695,2.1040866,2.3511503,2.3257675,1.5820367,1.8435072,0.0,3.5980585,1.7042592,2.2509553,1.8906807,3.221426,3.494478,2.4299538,3.1666808,2.690099,2.279785,2.657486,2.3277347,1.726305,1.665154,2.7882874,2.0439954,2.1140049,3.1255279,2.146162,2.8749459,3.0178196,2.7027037,2.2361658,2.5691845,2.3483756,1.3871623,3.4434838,2.8203332,1.4286337,3.3181632,2.0710948,1.2493783,1.8499669,1.7568212,2.4477472,2.3756187,2.297701,2.229401,2.3717027,2.3426669,2.5207582,1.7677422,2.5375876,2.7601185,1.932301,2.2870102,1.9421937,2.8881187,2.7315106,2.5003192,3.4025137,3.1667273,1.6239635,3.292573,3.5740557,2.181517,2.1975443,1.2793795,3.840313,3.212873,1.7418205,1.8092488,2.8088198,2.0092463,2.6013148,3.0543885
AGPAT1,0.1048197,1.369925,0.0,2.445305,0.0,0.0,2.2207386,2.164104,2.5888844,2.504823,0.0,2.4380653,0.0,2.5292127,3.1918726,2.3456795,0.0,2.1818395,2.2242434,1.7411854,2.5776308,2.5332012,2.7252026,1.8743681,2.7343168,0.0,2.587487,3.185903,2.4714355,2.4861796,1.9345903,2.6735923,0.0,0.5242134,0.17311287,0.0,0.0,0.0,2.822902,2.8371491,0.0,2.5188906,2.6606023,0.22477858,2.1509423,1.6165183,2.526682,2.1150453,2.1464238,3.0622256,3.088994,2.2775555,0.0,0.10394889,2.6346607,0.0,2.7819955,2.4144924,0.0,0.12902524,2.8720267,0.0,2.1363065,1.9386258,2.6055086,0.0,2.9794424,0.0,2.684962,2.27018,0.14820486,0.0,2.5000787,1.7872149,2.6118553,2.184254,2.554131,2.4850388,2.6810637,2.1477687,2.44393,2.611751,2.7071702,0.0,0.36290744,2.3334258,0.08019389,2.9535453,0.0,2.4945343,2.828801,2.536562,2.5976534,1.3263336,3.2986414,2.5928402
CCNT1,0.0,0.8381345,0.57496285,1.690703,1.5124091,1.1648817,0.0,0.0,0.0,1.2631135,0.0,1.2581449,0.0,0.0,1.1858902,0.0,0.0,1.7740138,0.0,0.0,0.9972649,0.0,0.0,0.0,3.3944561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2265786,1.0927688,1.2240118,1.1376963,2.1931462,0.0,0.62856627,0.0,2.050872,0.0,0.0,1.0273097,0.0,1.8554263,0.0,1.3823817,1.1775074,1.1952188,0.0,0.0,0.0,0.50393254,0.6827367,0.9783426,0.8187478,0.0,0.0,0.6288445,0.94848746,0.80856466,0.0,0.0,0.0,1.5786396,1.1183634,0.86589205,0.0,0.0,0.7057978,0.0,0.6592451,0.0,0.0,1.329017,0.0,0.8059813,0.0,0.9731952,2.0204377,1.9451021,1.3601205,0.65796393,0.99768174,1.2751025,0.62238336,2.002335,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PFKFB2,0.0,0.8381345,0.57496285,0.0,0.0,0.0,0.6963973,0.0,0.0,0.61273485,0.56047136,0.0,0.0,0.0,0.0,0.65107924,0.95817053,0.0,0.0,0.0,0.0,0.0,0.0,1.2720882,0.0,0.0,0.0,0.0,0.0,0.0,1.9345903,2.3020473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61912245,0.0,0.0,0.0,0.0,0.9131618,0.0,0.0,0.0,0.0,0.0,0.50393254,0.0,0.0,0.0,0.6936192,0.0,0.0,0.0,0.80856466,0.7400401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9829661,0.89781976,0.0,0.0,0.0,0.0
ATF6B,2.9968934,0.97080255,0.6787088,1.0409762,0.19975463,0.0,0.6257381,0.176033,0.0,0.0,1.5326619,0.2737309,0.92080504,0.0,0.25013593,1.2594337,0.0,0.0,0.0,0.0,0.825553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8457245,0.0,0.0,0.75345546,0.42265603,0.62714356,0.2924247,0.6933147,2.754692,0.61692375,0.4569884,0.38276446,0.0,0.0,0.8414268,0.0,0.0,0.0,0.6925074,0.6456168,0.44441095,0.44124085,0.4527521,0.0,0.0,0.17522146,1.5051345,0.0,0.0,0.14620547,0.5600204,0.44006068,0.5121275,0.18372034,0.27092057,0.2421654,0.42477256,0.21828508,0.455685,0.0,0.0,1.2148046,0.55374163,0.22822301,0.0,0.0,2.5259118,0.24051203,0.40664485,0.0,0.80487615,0.0,0.24247375,0.88829476,0.55921185,0.639113,0.20921844,0.0,0.67588097,0.35884994,0.2778715,0.0,0.0,0.87625736,0.6390388,0.50764745,0.0,0.0
ZNF800,1.8819773,0.0,1.7339828,0.55228347,1.2956136,1.4633586,1.1052791,0.93209296,1.6302145,0.9958437,0.56047136,0.8151187,1.2590507,0.0,0.7593093,1.5412526,0.0,1.5956022,1.3214433,0.0,0.9972649,0.93713826,1.0194995,1.2720882,0.0,0.0,0.0,0.0,1.2972801,0.0,1.9345903,0.0,2.3923776,1.2265786,1.0927688,0.0,1.3446115,0.7596951,1.0072027,0.62856627,1.8739744,1.3889492,0.0,0.61912245,0.0,2.2044954,1.2983522,0.0,1.5570178,2.0354402,1.1931369,0.9441611,1.4010439,0.5687399,1.0870972,1.0847074,0.9783426,1.0609823,1.388002,0.0,1.0119225,0.0,1.2497205,0.0,2.0864875,1.3679521,0.5720977,1.4890925,1.1202722,1.8934116,1.3342178,2.3252423,1.5529382,1.3350002,0.6002592,1.8622186,1.7279106,0.93385506,0.80487615,0.0,0.0,0.9690374,2.1963866,0.0,1.052721,1.746053,1.4966253,0.62238336,0.0,1.2864368,0.0,0.0,1.521401,1.293497,0.0,0.0
KIF14,0.5725601,0.0,2.0874462,1.429512,1.8890927,0.7432564,1.1029434,0.93239605,0.0,0.61958337,0.0,1.5640913,1.952353,0.0,0.0,1.7481627,0.95817053,2.1818395,1.3214433,1.2095723,2.9819906,1.823778,0.0,0.0,0.0,0.0,0.0,1.5820367,1.4861168,0.0,0.0,0.0,2.0000277,1.7611436,1.4497167,1.6097058,1.6561587,0.7596951,2.7017095,0.0,1.4605855,1.1815678,0.50652087,2.0554523,1.3403398,0.0,0.0,0.0,1.3823817,1.1723685,1.1910508,1.4371257,2.6504962,0.0,2.0282354,0.0,0.0,0.488418,0.0,0.6745089,1.6823328,0.0,0.0,1.4765766,0.0,1.3679521,1.7259805,2.424733,1.6355082,0.0,1.881938,1.2035428,1.5529382,0.0,1.2435126,0.0,1.0478635,0.0,0.0,2.1381457,1.1860763,1.0189655,1.3855873,0.8876411,2.380887,0.0,1.7377602,1.0031023,0.0,1.2864368,0.0,2.274749,0.0,0.0,0.0,2.0492392
