reg,target
RBFOX2,ATN1
RBFOX2,PPFIBP1
RBFOX2,CAPRIN2
RBFOX2,ACVR1B
RBFOX2,TNS2
RBFOX2,ZNF740
RBFOX2,HNRNPA1
RBFOX2,SMARCC2
RBFOX2,ANKRD52
RBFOX2,NAB2
RBFOX2,MBD6
RBFOX2,ARHGEF25
RBFOX2,CTDSP2
RBFOX2,LYZ
RBFOX2,CORO1C
RBFOX2,ATP2A2
RBFOX2,PPTC7
RBFOX2,PEBP1
RBFOX2,RAB35
RBFOX2,PUS1
RBFOX2,INTS6
RBFOX2,MBNL2
RBFOX2,CUL4A
RBFOX2,CDC16
RBFOX2,NDRG2
RBFOX2,OXA1L
RBFOX2,BCL2L2
RBFOX2,BCL2L2-PABPN1
RBFOX2,PABPN1
RBFOX2,AP1G2
RBFOX2,PCK2
RBFOX2,PSME2
RBFOX2,RNF31
RBFOX2,LTB4R2
RBFOX2,KHNYN
RBFOX2,SDR39U1
RBFOX2,TRAPPC6B
RBFOX2,DCAF5
RBFOX2,SRSF5
RBFOX2,ANGEL1
RBFOX2,AHSA1
RBFOX2,NDUFB1
RBFOX2,SYNE3
RBFOX2,DLK1
RBFOX2,TECPR2
RBFOX2,EXOC3L4
RBFOX2,ENSG00000256500
RBFOX2,NPTN
RBFOX2,CSK
RBFOX2,MAN2C1
RBFOX2,FBXO22
RBFOX2,RAB11FIP3
RBFOX2,CAPN15
RBFOX2,WDR90
RBFOX2,NME3
RBFOX2,EME2
RBFOX2,ZNF598
RBFOX2,PKD1
RBFOX2,TBC1D24
RBFOX2,AMDHD2
RBFOX2,PDPK1
RBFOX2,KCTD5
RBFOX2,SRRM2
RBFOX2,TRAP1
RBFOX2,MGRN1
RBFOX2,C16orf72
RBFOX2,UBFD1
RBFOX2,DCTN5
RBFOX2,XPO6
RBFOX2,ATXN2L
RBFOX2,SH2B1
RBFOX2,MAZ
RBFOX2,ASPHD1
RBFOX2,INO80E
RBFOX2,YPEL3
RBFOX2,MAPK3
RBFOX2,ZNF768
RBFOX2,SRCAP
RBFOX2,FBXL19
RBFOX2,BCKDK
RBFOX2,FUS
RBFOX2,GPT2
RBFOX2,TENT4B
RBFOX2,HERPUD1
RBFOX2,LCAT
RBFOX2,SLC12A4
RBFOX2,ESRP2
RBFOX2,ST3GAL2
RBFOX2,ATXN1L
RBFOX2,DHX38
RBFOX2,ZFHX3
RBFOX2,BCAR1
RBFOX2,MVD
RBFOX2,GALNS
RBFOX2,SLC22A31
RBFOX2,VPS9D1
RBFOX2,ZNF276
RBFOX2,DEF8
RBFOX2,CLUH
RBFOX2,MINK1
RBFOX2,CAMTA2
RBFOX2,ENSG00000282936
RBFOX2,SLC13A5
RBFOX2,DLG4
RBFOX2,NEURL4
RBFOX2,NLGN2
RBFOX2,EPN2
RBFOX2,MYO18A
RBFOX2,SUZ12
RBFOX2,SOCS7
RBFOX2,MLLT6
RBFOX2,PIP4K2B
RBFOX2,THRA
RBFOX2,MSL1
RBFOX2,FKBP10
RBFOX2,TMEM106A
RBFOX2,DUSP3
RBFOX2,TMUB2
RBFOX2,ATXN7L3
RBFOX2,LRRC59
RBFOX2,SPATA20
RBFOX2,ABCC3
RBFOX2,MSI2
RBFOX2,SRSF1
RBFOX2,SMARCD2
RBFOX2,RPL38
RBFOX2,UNC13D
RBFOX2,WBP2
RBFOX2,TEN1
RBFOX2,SEC14L1
RBFOX2,TMC6
RBFOX2,ENGASE
RBFOX2,GAA
RBFOX2,FAAP100
RBFOX2,HGS
RBFOX2,SLC25A10
RBFOX2,ARHGDIA
RBFOX2,MAFG
RBFOX2,PYCR1
RBFOX2,NOTUM
RBFOX2,ASPSCR1
RBFOX2,CENPX
RBFOX2,LRRC45
RBFOX2,RAC3
RBFOX2,FASN
RBFOX2,FN3KRP
RBFOX2,CTIF
RBFOX2,NEDD4L
RBFOX2,SHC2
RBFOX2,KISS1R
RBFOX2,ARID3A
RBFOX2,WDR18
RBFOX2,TMEM259
RBFOX2,CIRBP
RBFOX2,IZUMO4
RBFOX2,AP3D1
RBFOX2,DOT1L
RBFOX2,TLE5
RBFOX2,HMG20B
RBFOX2,PTPRS
RBFOX2,C3
RBFOX2,TRIP10
RBFOX2,MAP2K7
RBFOX2,RAB11B
RBFOX2,EIF3G
RBFOX2,TYK2
RBFOX2,QTRT1
RBFOX2,DNM2
RBFOX2,STX10
RBFOX2,CC2D1A
RBFOX2,SAMD1
RBFOX2,BRD4
RBFOX2,AKAP8L
RBFOX2,ANO8
RBFOX2,BST2
RBFOX2,PGPEP1
RBFOX2,ISYNA1
RBFOX2,TMEM59L
RBFOX2,ATP13A1
RBFOX2,SCN1B
RBFOX2,PRODH2
RBFOX2,AKT2
RBFOX2,ENSG00000268643
RBFOX2,ERF
RBFOX2,PPP1R37
RBFOX2,ERCC2
RBFOX2,SIX5
RBFOX2,DMPK
RBFOX2,CALM3
RBFOX2,CYTH2
RBFOX2,ALDH16A1
RBFOX2,PTOV1
RBFOX2,KCNC3
RBFOX2,MYADM
RBFOX2,CNOT3
RBFOX2,LENG1
RBFOX2,LENG8
RBFOX2,CCDC106
RBFOX2,EPN1
RBFOX2,SOX12
RBFOX2,TBC1D20
RBFOX2,TMEM74B
RBFOX2,PCED1A
RBFOX2,LZTS3
RBFOX2,C20orf27
RBFOX2,SMOX
RBFOX2,PRNP
RBFOX2,CDS2
RBFOX2,SNX5
RBFOX2,NAPB
RBFOX2,NINL
RBFOX2,BCL2L1
RBFOX2,NECAB3
RBFOX2,ITCH
RBFOX2,GGT7
RBFOX2,TRPC4AP
RBFOX2,EIF6
RBFOX2,CPNE1
RBFOX2,BLCAP
RBFOX2,B4GALT5
RBFOX2,NPEPL1
RBFOX2,LSM14B
RBFOX2,LAMA5
RBFOX2,STMN3
RBFOX2,ARFRP1
RBFOX2,ZNF512B
RBFOX2,PRPF6
RBFOX2,C20orf204
RBFOX2,NRIP1
RBFOX2,APP
RBFOX2,URB1
RBFOX2,SON
RBFOX2,TTC3
RBFOX2,AGPAT3
RBFOX2,ADARB1
RBFOX2,FTCD
RBFOX2,LSS
RBFOX2,HIRA
RBFOX2,ARVCF
RBFOX2,DGCR8
RBFOX2,LZTR1
RBFOX2,EWSR1
RBFOX2,TOM1
RBFOX2,CDC42EP1
RBFOX2,H1-0
RBFOX2,DDX17
RBFOX2,CBX6
RBFOX2,TNRC6B
RBFOX2,SGSM3
RBFOX2,SREBF2
RBFOX2,RRP7A
RBFOX2,PRR5
RBFOX2,PRR5-ARHGAP8
RBFOX2,HDAC10
RBFOX2,MAPK12
RBFOX2,PPP6R2
RBFOX2,CHKB
RBFOX2,RPS6KA3
RBFOX2,OTUD5
RBFOX2,GRIPAP1
RBFOX2,TSPYL2
RBFOX2,SNX12
RBFOX2,SEPTIN6
RBFOX2,MBNL3
RBFOX2,PABIR2
RBFOX2,ABCD1
RBFOX2,NAA10
RBFOX2,GDI1
RBFOX2,PLXNA3
RBFOX2,MIR34AHG
RBFOX2,ENSG00000258634
RBFOX2,ENSG00000269982
RBFOX2,LINC00852
RBFOX2,ENSG00000290076
RBFOX2,ENSG00000289500
RBFOX2,ENSG00000290021
RBFOX2,FLJ42393
RBFOX2,ENSG00000248103
RBFOX2,ENSG00000225092
RBFOX2,ENSG00000288473
RBFOX2,ENSG00000235381
RBFOX2,SYNJ2-IT1
RBFOX2,AFDN-DT
RBFOX2,LINC02604
RBFOX2,STAG3L5P-PVRIG2P-PILRB
RBFOX2,ENSG00000274272
RBFOX2,ENSG00000272661
RBFOX2,SLC25A25-AS1
RBFOX2,ENSG00000273066
RBFOX2,ARRDC1-AS1
RBFOX2,ENSG00000279088
RBFOX2,ENSG00000279814
RBFOX2,ENSG00000279672
RBFOX2,ENSG00000250397
RBFOX2,KCNQ1OT1
RBFOX2,NEAT1
RBFOX2,MALAT1
RBFOX2,SCARNA9
RBFOX2,ENSG00000256028
RBFOX2,ENSG00000273618
RBFOX2,PWAR5
RBFOX2,ENSG00000285952
RBFOX2,ZKSCAN2-DT
RBFOX2,ENSG00000261067
RBFOX2,FBXL19-AS1
RBFOX2,ENSG00000280152
RBFOX2,CTNS-AS1
RBFOX2,ENSG00000279281
RBFOX2,ENSG00000277476
RBFOX2,ENSG00000279474
RBFOX2,ENSG00000248015
RBFOX2,ENSG00000266897
RBFOX2,ENSG00000276570
RBFOX2,ENSG00000267096
RBFOX2,DSCR9
RBFOX2,ENSG00000289546
RBFOX2,ENSG00000285314
RBFOX2,ENSG00000232545
RBFOX2,ASMTL-AS1
RPS3,NOC2L
RPS3,AGRN
RPS3,SDF4
RPS3,MXRA8
RPS3,AURKAIP1
RPS3,VWA1
RPS3,GNB1
RPS3,SKI
RPS3,RER1
RPS3,LRRC47
RPS3,ICMT
RPS3,ESPN
RPS3,KLHL21
RPS3,PARK7
RPS3,ENO1
RPS3,CLSTN1
RPS3,PGD
RPS3,UBIAD1
RPS3,FBXO2
RPS3,AGTRAP
RPS3,KIAA2013
RPS3,PLOD1
RPS3,DHRS3
RPS3,AGMAT
RPS3,EPHA2
RPS3,ATP13A2
RPS3,ENSG00000288636
RPS3,RCC2
RPS3,ALDH4A1
RPS3,EMC1
RPS3,MRTO4
RPS3,AKR7A2
RPS3,CAPZB
RPS3,CAMK2N1
RPS3,DDOST
RPS3,ECE1
RPS3,HSPG2
RPS3,ENSG00000289694
RPS3,CDC42
RPS3,KDM1A
RPS3,ID3
RPS3,RPL11
RPS3,GALE
RPS3,FUCA1
RPS3,NUDC
RPS3,NR0B2
RPS3,TRNP1
RPS3,ATP5IF1
RPS3,PUM1
RPS3,TINAGL1
RPS3,KHDRBS1
RPS3,TXLNA
RPS3,EIF3I
RPS3,HDAC1
RPS3,MARCKSL1
RPS3,AK2
RPS3,SFPQ
RPS3,PSMB2
RPS3,THRAP3
RPS3,MANEAL
RPS3,AKIRIN1
RPS3,NDUFS5
RPS3,PABPC4
RPS3,CAP1
RPS3,PPT1
RPS3,COL9A2
RPS3,P3H1
RPS3,SLC2A1
RPS3,EBNA1BP2
RPS3,ELOVL1
RPS3,PTPRF
RPS3,ATP6V0B
RPS3,RPS8
RPS3,PRDX1
RPS3,NASP
RPS3,SLC5A9
RPS3,TXNDC12
RPS3,TMEM59
RPS3,MRPL37
RPS3,DHCR24
RPS3,PCSK9
RPS3,PLPP3
RPS3,PGM1
RPS3,LEPROT
RPS3,SLC35D1
RPS3,SERBP1
RPS3,GADD45A
RPS3,FUBP1
RPS3,GNG5
RPS3,SELENOF
RPS3,HS2ST1
RPS3,LRRC8D
RPS3,TGFBR3
RPS3,TMED5
RPS3,DR1
RPS3,GCLM
RPS3,MFSD14A
RPS3,SARS1
RPS3,SORT1
RPS3,PSMA5
RPS3,AHCYL1
RPS3,WDR77
RPS3,ATP5PB
RPS3,MOV10
RPS3,RHOC
RPS3,SLC16A1
RPS3,TRIM33
RPS3,ATP1A1
RPS3,PHGDH
RPS3,TXNIP
RPS3,FMO5
RPS3,H2BC21
RPS3,H2AC20
RPS3,H2AC21
RPS3,APH1A
RPS3,MRPS21
RPS3,MCL1
RPS3,CERS2
RPS3,PSMD4
RPS3,PSMB4
RPS3,S100A6
RPS3,S100A1
RPS3,CHTOP
RPS3,ILF2
RPS3,SLC39A1
RPS3,JTB
RPS3,C1orf43
RPS3,PBXIP1
RPS3,SHC1
RPS3,EFNA1
RPS3,DPM3
RPS3,SCAMP3
RPS3,FDPS
RPS3,SSR2
RPS3,LMNA
RPS3,PMF1
RPS3,GLMP
RPS3,CCT3
RPS3,HDGF
RPS3,IGSF8
RPS3,COPA
RPS3,NCSTN
RPS3,F11R
RPS3,NDUFS2
RPS3,APOA2
RPS3,MGST3
RPS3,TMCO1
RPS3,CREG1
RPS3,MPZL1
RPS3,MPC2
RPS3,ATP1B1
RPS3,SLC19A2
RPS3,F5
RPS3,PRDX6
RPS3,SERPINC1
RPS3,TOR3A
RPS3,SOAT1
RPS3,TOR1AIP1
RPS3,QSOX1
RPS3,GLUL
RPS3,DHX9
RPS3,LAMC1
RPS3,ARPC5
RPS3,ZNF281
RPS3,TMEM9
RPS3,PHLDA3
RPS3,PPP1R15B
RPS3,NUCKS1
RPS3,C4BPB
RPS3,CD46
RPS3,SLC30A1
RPS3,SLC30A10
RPS3,EPRS1
RPS3,IARS2
RPS3,C1orf115
RPS3,MTARC1
RPS3,LBR
RPS3,EPHX1
RPS3,ENSG00000255835
RPS3,PYCR2
RPS3,ACBD3
RPS3,PARP1
RPS3,COQ8A
RPS3,ARF1
RPS3,RNF187
RPS3,ABCB10
RPS3,GALNT2
RPS3,AGT
RPS3,EGLN1
RPS3,COA6
RPS3,IRF2BP2
RPS3,TOMM20
RPS3,NID1
RPS3,MTR
RPS3,HNRNPU
RPS3,SCCPDH
RPS3,AHCTF1
RPS3,ACP1
RPS3,ADI1
RPS3,RPS7
RPS3,ID2
RPS3,YWHAQ
RPS3,RRM2
RPS3,PDIA6
RPS3,ROCK2
RPS3,GREB1
RPS3,DDX1
RPS3,VSNL1
RPS3,MATN3
RPS3,LAPTM4A
RPS3,SDC1
RPS3,RHOB
RPS3,APOB
RPS3,DNMT3A
RPS3,RAB10
RPS3,HADHA
RPS3,HADHB
RPS3,SELENOI
RPS3,SLC35F6
RPS3,TMEM214
RPS3,OST4
RPS3,EMILIN1
RPS3,KHK
RPS3,SLC5A6
RPS3,ATRAID
RPS3,GTF3C2
RPS3,EIF2B4
RPS3,SNX17
RPS3,PPM1G
RPS3,NRBP1
RPS3,SUPT7L
RPS3,PPP1CB
RPS3,YIPF4
RPS3,BIRC6
RPS3,CRIM1
RPS3,ATL2
RPS3,HNRNPLL
RPS3,COX7A2L
RPS3,ZFP36L2
RPS3,LRPPRC
RPS3,EPAS1
RPS3,MCFD2
RPS3,CALM2
RPS3,EPCAM
RPS3,MSH6
RPS3,ERLEC1
RPS3,PSME4
RPS3,SPTBN1
RPS3,RTN4
RPS3,RPS27A
RPS3,XPO1
RPS3,CCT4
RPS3,B3GNT2
RPS3,EHBP1
RPS3,MDH1
RPS3,VPS54
RPS3,SLC1A4
RPS3,RAB1A
RPS3,ACTR2
RPS3,PNO1
RPS3,PPP3R1
RPS3,ANTXR1
RPS3,ANXA4
RPS3,PCBP1
RPS3,PCYOX1
RPS3,SPR
RPS3,CCT7
RPS3,MOB1A
RPS3,DCTN1
RPS3,MOGS
RPS3,AUP1
RPS3,HK2
RPS3,EVA1A
RPS3,MRPL19
RPS3,TMSB10
RPS3,TGOLN2
RPS3,RETSAT
RPS3,GGCX
RPS3,VAMP8
RPS3,RNF181
RPS3,POLR1A
RPS3,KDM3A
RPS3,RNF103
RPS3,FABP1
RPS3,EIF2AK3
RPS3,MRPS5
RPS3,STARD7
RPS3,TMEM127
RPS3,CIAO1
RPS3,SNRNP200
RPS3,LMAN2L
RPS3,CNNM3
RPS3,SEMA4C
RPS3,COX5B
RPS3,TMEM131
RPS3,UNC50
RPS3,RPL31
RPS3,CNOT11
RPS3,RNF149
RPS3,MAP4K4
RPS3,UXS1
RPS3,TMEM87B
RPS3,SLC20A1
RPS3,SLC35F5
RPS3,ACTR3
RPS3,STEAP3
RPS3,DBI
RPS3,TMEM37
RPS3,TMEM185B
RPS3,TSN
RPS3,PROC
RPS3,IWS1
RPS3,WDR33
RPS3,UGGT1
RPS3,HS6ST1
RPS3,MZT2B
RPS3,FAM168B
RPS3,MZT2A
RPS3,MGAT5
RPS3,UBXN4
RPS3,DARS1
RPS3,FMNL2
RPS3,ARL6IP6
RPS3,RBMS1
RPS3,PSMD14
RPS3,DPP4
RPS3,CERS6
RPS3,SP5
RPS3,GORASP2
RPS3,ITGA6
RPS3,CDCA7
RPS3,ATP5MC3
RPS3,LNPK
RPS3,AGPS
RPS3,NCKAP1
RPS3,ITGAV
RPS3,TFPI
RPS3,GLS
RPS3,HSPD1
RPS3,HSPE1
RPS3,HSPE1-MOB4
RPS3,MAIP1
RPS3,BZW1
RPS3,NDUFS1
RPS3,FZD5
RPS3,IDH1
RPS3,ATIC
RPS3,FN1
RPS3,PECR
RPS3,XRCC5
RPS3,RPL37A
RPS3,ARPC2
RPS3,PNKD
RPS3,TMBIM1
RPS3,VIL1
RPS3,TTLL4
RPS3,CYP27A1
RPS3,ABCB6
RPS3,ATG9A
RPS3,CHPF
RPS3,OBSL1
RPS3,ACSL3
RPS3,AGFG1
RPS3,CCL20
RPS3,ITM2C
RPS3,C2orf72
RPS3,NCL
RPS3,PTMA
RPS3,SNORC
RPS3,NDUFA10
RPS3,COPS9
RPS3,GPC1
RPS3,HDLBP
RPS3,SEPTIN2
RPS3,DTYMK
RPS3,NEU4
RPS3,SUMF1
RPS3,EDEM1
RPS3,ARPC4
RPS3,ARPC4-TTLL3
RPS3,JAGN1
RPS3,SEC13
RPS3,SLC6A11
RPS3,RPL32
RPS3,NUP210
RPS3,TMEM43
RPS3,SLC6A6
RPS3,RPL15
RPS3,TOP2B
RPS3,TGFBR2
RPS3,STT3B
RPS3,GLB1
RPS3,TMPPE
RPS3,CRTAP
RPS3,PDCD6IP
RPS3,ACAA1
RPS3,EIF1B
RPS3,CTNNB1
RPS3,SCAP
RPS3,DHX30
RPS3,PLXNB1
RPS3,UQCRC1
RPS3,SLC26A6
RPS3,PRKAR2A
RPS3,WDR6
RPS3,IMPDH2
RPS3,QARS1
RPS3,LAMB2
RPS3,GPX1
RPS3,RHOA
RPS3,DAG1
RPS3,APEH
RPS3,SLC38A3
RPS3,GNAI2
RPS3,SEMA3B
RPS3,HYAL1
RPS3,HYAL2
RPS3,TMEM115
RPS3,MANF
RPS3,TEX264
RPS3,ABHD14A-ACY1
RPS3,ACY1
RPS3,RPL29
RPS3,ENSG00000173366
RPS3,TWF2
RPS3,GLT8D1
RPS3,SPCS1
RPS3,ITIH3
RPS3,TKT
RPS3,IL17RB
RPS3,ARF4
RPS3,FLNB
RPS3,PDHB
RPS3,PTPRG
RPS3,ARL6IP5
RPS3,PROS1
RPS3,CPOX
RPS3,DCBLD2
RPS3,TOMM70
RPS3,RPL24
RPS3,ALCAM
RPS3,NECTIN3
RPS3,ABHD10
RPS3,ATP6V1A
RPS3,LRRC58
RPS3,NDUFB4
RPS3,FAM162A
RPS3,PDIA5
RPS3,HACD2
RPS3,ITGB5
RPS3,SLC41A3
RPS3,CHST13
RPS3,TPRA1
RPS3,MCM2
RPS3,PODXL2
RPS3,SEC61A1
RPS3,RPN1
RPS3,RAB7A
RPS3,CNBP
RPS3,COPG1
RPS3,H1-10
RPS3,ATP2C1
RPS3,MRPL3
RPS3,CDV3
RPS3,TF
RPS3,SRPRB
RPS3,PCCB
RPS3,COPB2
RPS3,ATP1B3
RPS3,PLOD2
RPS3,CP
RPS3,TM4SF1
RPS3,WWTR1
RPS3,PFN2
RPS3,SERP1
RPS3,SIAH2
RPS3,SSR3
RPS3,GOLIM4
RPS3,FNDC3B
RPS3,NDUFB5
RPS3,ALG3
RPS3,PSMD2
RPS3,EIF4G1
RPS3,TRA2B
RPS3,DNAJB11
RPS3,ENSG00000283149
RPS3,AHSG
RPS3,ST6GAL1
RPS3,LPP
RPS3,CLDN1
RPS3,CPN2
RPS3,ATP13A3
RPS3,TFRC
RPS3,RPL35A
RPS3,ATP5ME
RPS3,SLC26A1
RPS3,SPON2
RPS3,TACC3
RPS3,FGFR3
RPS3,LETM1
RPS3,LRPAP1
RPS3,WFS1
RPS3,MRFAP1
RPS3,S100P
RPS3,SLC2A9
RPS3,WDR1
RPS3,NKX3-2
RPS3,QDPR
RPS3,LAP3
RPS3,DHX15
RPS3,KLB
RPS3,UGDH
RPS3,UBE2K
RPS3,TMEM33
RPS3,TMEM165
RPS3,PAICS
RPS3,UGT2B10
RPS3,GRSF1
RPS3,ALB
RPS3,AFP
RPS3,G3BP2
RPS3,NAAA
RPS3,SCARB2
RPS3,CCNI
RPS3,FRAS1
RPS3,HNRNPD
RPS3,HNRNPDL
RPS3,HSD17B11
RPS3,SPP1
RPS3,ADH5
RPS3,MTTP
RPS3,H2AZ1
RPS3,UBE2D3
RPS3,OSTC
RPS3,ENSG00000285330
RPS3,CFI
RPS3,C4orf3
RPS3,ANXA5
RPS3,CCNA2
RPS3,PGRMC2
RPS3,NDUFC1
RPS3,MGST2
RPS3,SMARCA5
RPS3,SH3D19
RPS3,FGB
RPS3,FGA
RPS3,FGG
RPS3,GASK1B
RPS3,MSMO1
RPS3,CPE
RPS3,AGA
RPS3,FAT1
RPS3,SDHA
RPS3,LPCAT1
RPS3,MRPL36
RPS3,NDUFS6
RPS3,CCT5
RPS3,MARCHF6
RPS3,GOLPH3
RPS3,SUB1
RPS3,SKP2
RPS3,SELENOP
RPS3,HMGCS1
RPS3,MRPS30
RPS3,ITGA2
RPS3,FST
