Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000097503	si:ch73-288o11.5	ZDB-GENE-131121-416	si:ch73-288o11.5	793902	protein_coding
ENSDARG00000104512	BX936284.1				lncRNA
ENSDARG00000089622	fgd5b	ZDB-GENE-130925-3			protein_coding
ENSDARG00000093926	CR855277.3		LOC108179599	108179599	lncRNA
ENSDARG00000093957	si:dkey-251i10.2	ZDB-GENE-050506-102	si:dkey-251i10.2	562682	protein_coding
ENSDARG00000096908	si:ch73-185c24.2	ZDB-GENE-131121-189	si:ch73-185c24.2	794764	protein_coding
ENSDARG00000042370	ptafr	ZDB-GENE-131127-236	ptafr	100002627	protein_coding
ENSDARG00000097746	si:rp71-77l1.1	ZDB-GENE-131121-141	si:rp71-77l1.1	569583	protein_coding
ENSDARG00000078991	si:ch211-195e19.1	ZDB-GENE-141216-110	si:ch211-195e19.1	100002956	protein_coding
ENSDARG00000101567	guca1e	ZDB-GENE-040426-1577	guca1e	393629	protein_coding
ENSDARG00000093686	si:rp71-36a1.2	ZDB-GENE-050208-646	si:rp71-36a1.2	100034566	protein_coding
ENSDARG00000063341	czib	ZDB-GENE-061207-34	czib	555997	protein_coding
ENSDARG00000102845	dclk2b	ZDB-GENE-110411-1	dclk2b	100332814	protein_coding
ENSDARG00000090836	si:ch211-191d2.2	ZDB-GENE-110407-3	si:ch211-191d2.2	101882796	protein_coding
ENSDARG00000036510	ccnt2b	ZDB-GENE-030131-183	ccnt2b	321464	protein_coding
ENSDARG00000063150	nrxn2b	ZDB-GENE-070206-7			protein_coding
ENSDARG00000027088	ptgdsb.1	ZDB-GENE-030131-8436	ptgdsb.1	336492	protein_coding
ENSDARG00000039365	cuedc2	ZDB-GENE-030131-6283	cuedc2	334351	protein_coding
ENSDARG00000100083	sugt1	ZDB-GENE-041114-56	sugt1	492489	protein_coding
ENSDARG00000092020	CR855277.1				lncRNA
ENSDARG00000087979	CT573433.1		LOC101882239	101882239	lncRNA
ENSDARG00000058593	sri	ZDB-GENE-040426-1356	sri	393344	protein_coding
ENSDARG00000101917	pmfbp1	ZDB-GENE-131127-619			protein_coding
ENSDARG00000095756	si:ch211-190k17.19	ZDB-GENE-070912-167			protein_coding
ENSDARG00000012016	hpgd	ZDB-GENE-080728-2	hpgd	565975	protein_coding
ENSDARG00000020201	cdc73	ZDB-GENE-040426-1309	cdc73	393319	protein_coding
ENSDARG00000012892	ammecr1	ZDB-GENE-040426-1533	ammecr1	393553	protein_coding
ENSDARG00000068100	tafa5l	ZDB-GENE-050419-194	tafa5l	100004683	protein_coding
ENSDARG00000101700	si:ch1073-181h11.1	ZDB-GENE-081104-73			protein_coding
ENSDARG00000089794	si:dkeyp-101e12.1	ZDB-GENE-091113-32			protein_coding
ENSDARG00000057536	crygm2a	ZDB-GENE-050516-9	crygm2a	553177	protein_coding
ENSDARG00000088699	pdzd8	ZDB-GENE-110310-2	pdzd8	561279	protein_coding
ENSDARG00000086623	vav3a	ZDB-GENE-091204-266			protein_coding
ENSDARG00000054162	nfatc4	ZDB-GENE-070912-659	nfatc4	561682	protein_coding
ENSDARG00000093469	znf653	ZDB-GENE-071116-3	znf653	100329742	protein_coding
ENSDARG00000008788	camk1gb	ZDB-GENE-040426-1694	camk1gb	393802	protein_coding
ENSDARG00000007671	ghrb	ZDB-GENE-071119-4	ghrb	560202	protein_coding
ENSDARG00000105628	BX927082.2				pseudogene
ENSDARG00000079187	tbx19	ZDB-GENE-110411-5	tbx19	100538180	protein_coding
ENSDARG00000093671	BX001030.1				pseudogene
ENSDARG00000013174	nkd3	ZDB-GENE-060503-63	LOC100500933	100500933	protein_coding
ENSDARG00000014806	hacd2	ZDB-GENE-030131-6053	hacd2	334121	protein_coding
ENSDARG00000105510	CU466278.2				lncRNA
ENSDARG00000097931	BX323557.1		si:dkeyp-86b9.5	100536168	lncRNA
ENSDARG00000078271	si:ch211-57m13.8	ZDB-GENE-110411-238			protein_coding
ENSDARG00000030945	si:ch211-259g3.4	ZDB-GENE-030131-8118			protein_coding
ENSDARG00000028259	aldh3a2a	ZDB-GENE-040718-74	aldh3a2a	323653	protein_coding
ENSDARG00000013203	si:ch211-1f22.1	ZDB-GENE-121214-79			protein_coding
ENSDARG00000011196	dnajc11a	ZDB-GENE-030131-1673	dnajc11a	322953	protein_coding
ENSDARG00000097033	CU466278.1				lncRNA
ENSDARG00000011743	pigo	ZDB-GENE-091204-80	pigo	563993	protein_coding
ENSDARG00000077717	rpl29	ZDB-GENE-040801-167	rpl29	445040	protein_coding
ENSDARG00000043673	si:dkey-174m14.3	ZDB-GENE-030131-8158	si:dkey-174m14.3	563117	protein_coding
ENSDARG00000024116	vamp8	ZDB-GENE-030131-5215	vamp8	327007	protein_coding
ENSDARG00000058597	nt5c3a	ZDB-GENE-030131-439	nt5c3a	321720	protein_coding
ENSDARG00000021899	b4galt7	ZDB-GENE-040727-3	b4galt7	445022	protein_coding
ENSDARG00000103202	CR383668.1				lncRNA
ENSDARG00000077368	slc30a6	ZDB-GENE-040426-1838	slc30a6	402949	protein_coding
ENSDARG00000008380	brd7	ZDB-GENE-040426-2687	brd7	406675	protein_coding
ENSDARG00000044956	zgc:114123	ZDB-GENE-050913-53	zgc:114123	569174	protein_coding
ENSDARG00000079632	si:dkey-28b4.7	ZDB-GENE-050506-118	si:dkey-28b4.7	571834	protein_coding
ENSDARG00000092802	BX957328.1		LOC101883797	101883797	lncRNA
ENSDARG00000022045	map1ab	ZDB-GENE-100426-3	map1ab	797545	protein_coding
ENSDARG00000058231	nt5c2b	ZDB-GENE-061013-522	nt5c2b	557972	protein_coding
ENSDARG00000004953	mxb	ZDB-GENE-030721-6	mxb	360143	protein_coding
ENSDARG00000074552	ndufs7	ZDB-GENE-041111-261	ndufs7	796997	protein_coding
ENSDARG00000038009	CT573429.1		LOC798736	798736	lncRNA
ENSDARG00000037429	tll1	ZDB-GENE-041020-1	tll1	474335	protein_coding
ENSDARG00000044875	crygm2e	ZDB-GENE-081105-116	crygm2e	569604	protein_coding
ENSDARG00000013251	hsf4	ZDB-GENE-050306-18	hsf4	503739	protein_coding
ENSDARG00000009885	sult3st1	ZDB-GENE-061207-52	sult3st1	558790	protein_coding
ENSDARG00000078954	rxrba	ZDB-GENE-980526-436	rxrba	30530	protein_coding
ENSDARG00000027602	lrfn1	ZDB-GENE-040426-1227	lrfn1	393587	protein_coding
ENSDARG00000100594	sez6l	ZDB-GENE-091204-162	LOC100331987	100331987	protein_coding
ENSDARG00000096666	si:ch211-1f22.2	ZDB-GENE-121214-149			protein_coding
ENSDARG00000041203	drap1	ZDB-GENE-030131-400	drap1	321681	protein_coding
ENSDARG00000103484	pkdc	ZDB-GENE-041111-115	pkdc	797003	protein_coding
ENSDARG00000076213	DOCK4	ZDB-GENE-120703-34	si:dkey-81e3.1	566115	protein_coding
ENSDARG00000056498	crp2	ZDB-GENE-030131-5826			protein_coding
ENSDARG00000005775	scn8aa	ZDB-GENE-000828-1	scn8aa	58152	protein_coding
ENSDARG00000102705	otud6b	ZDB-GENE-040426-974	otud6b	393194	protein_coding
ENSDARG00000015015	tspan18b	ZDB-GENE-040718-137	tspan18b	436712	protein_coding
ENSDARG00000057460	crygm2d13	ZDB-GENE-040718-105	crygm2d13	436681	protein_coding
ENSDARG00000007601	zmynd8	ZDB-GENE-041119-1	zmynd8	564460	protein_coding
ENSDARG00000101083	olfcg2	ZDB-GENE-060503-253	olfcg2	100004628	protein_coding
ENSDARG00000098237	fbn2b	ZDB-GENE-090112-3	fbn2b	571786	protein_coding
ENSDARG00000044808	slc4a4b	ZDB-GENE-091030-1	slc4a4b	561618	protein_coding
ENSDARG00000036994	tbc1d16	ZDB-GENE-041010-179	tbc1d16	450056	protein_coding
ENSDARG00000073707	cnksr2b	ZDB-GENE-030131-8048	cnksr2b	558834	protein_coding
ENSDARG00000098937	si:ch73-315f9.2	ZDB-GENE-131121-517			protein_coding
ENSDARG00000097332	CU571161.1				lncRNA
ENSDARG00000041429	ints14	ZDB-GENE-030131-5804	ints14	327593	protein_coding
ENSDARG00000063347	hrc	ZDB-GENE-041008-189	trpm4b3	102659286	protein_coding
ENSDARG00000021220	hmgcl	ZDB-GENE-040426-958	hmgcl	394190	protein_coding
ENSDARG00000059855	wdr66	ZDB-GENE-060526-328	wdr66	569257	protein_coding
ENSDARG00000055610	exoc2	ZDB-GENE-040426-1160	exoc2	100004870	protein_coding
ENSDARG00000040180	slc35a1	ZDB-GENE-080716-17	slc35a1	100004536	protein_coding
ENSDARG00000096619	si:ch211-1f22.10	ZDB-GENE-121214-82	LOC100006104	100006104	protein_coding
ENSDARG00000097973	si:ch1073-190k2.1	ZDB-GENE-131127-449			protein_coding
ENSDARG00000095730	si:ch211-234p6.9	ZDB-GENE-060503-33			protein_coding
ENSDARG00000057013	cadm3	ZDB-GENE-060512-196	cadm3	692273	protein_coding
ENSDARG00000103130	BX571960.2				lncRNA
ENSDARG00000053344	adgrd1	ZDB-GENE-041212-24			protein_coding
ENSDARG00000093448	mpc1	ZDB-GENE-040718-94	mpc1	436671	protein_coding
ENSDARG00000092444	BX088710.1				lncRNA
ENSDARG00000045299	vmo1b	ZDB-GENE-120215-131	vmo1b	793799	protein_coding
ENSDARG00000018066	ptchd1	ZDB-GENE-061220-1	ptchd1	562268	protein_coding
ENSDARG00000088316	si:ch73-302o18.2	ZDB-GENE-120215-213	si:ch73-302o18.2	101882887	protein_coding
ENSDARG00000099770	CU104782.1				lncRNA
ENSDARG00000099499	ndufa4l	ZDB-GENE-040426-2756	ndufa4l	406726	protein_coding
ENSDARG00000090624	ADGRL3				protein_coding
ENSDARG00000028088	galk1	ZDB-GENE-041010-79	galk1	449829	protein_coding
ENSDARG00000009657	fgfr1op2	ZDB-GENE-030131-7451	fgfr1op2	335511	protein_coding
ENSDARG00000030335	zc3h10	ZDB-GENE-040426-2359	zc3h10	404630	protein_coding
ENSDARG00000096465	FP103106.1				lncRNA
ENSDARG00000019406	C7H11orf68	ZDB-GENE-040426-1126	zgc:63470	393420	protein_coding
ENSDARG00000096472	AL845295.2				lncRNA
ENSDARG00000096156	si:dkey-21h14.12	ZDB-GENE-110913-1			protein_coding
ENSDARG00000031283	vamp1	ZDB-GENE-040426-2725	vamp1	406707	protein_coding
ENSDARG00000077996	cdh24b	ZDB-GENE-081104-50	LOC100007192	100007192	protein_coding
ENSDARG00000040465	irf2	ZDB-GENE-041212-38	irf2	494071	protein_coding
ENSDARG00000043912	mei4	ZDB-GENE-040724-211	mei4	568897	protein_coding
ENSDARG00000069827	crygm2d11	ZDB-GENE-071004-42	crygm2d11	100126132	protein_coding
ENSDARG00000017905	casp3a	ZDB-GENE-011210-1	casp3a	140621	protein_coding
ENSDARG00000076160	si:dkey-285e18.2	ZDB-GENE-120703-43			protein_coding
ENSDARG00000089645	si:ch1073-406l10.2	ZDB-GENE-141212-315	si:ch1073-406l10.2	100536977	protein_coding
ENSDARG00000071457	crp6	ZDB-GENE-060503-881	crp6	797437	protein_coding
ENSDARG00000088571	si:ch211-151o1.4	ZDB-GENE-100921-84	soga3a	558933	protein_coding
ENSDARG00000061194	hectd2	ZDB-GENE-100405-3	hectd2	562999	protein_coding
ENSDARG00000042807	slc16a4	ZDB-GENE-070112-602	slc16a4	567144	protein_coding
ENSDARG00000061864	hdlbpb	ZDB-GENE-030131-6822	hdlbpb	555414	protein_coding
ENSDARG00000094524	si:ch211-1f22.11	ZDB-GENE-121214-66			protein_coding
ENSDARG00000076499	usp53b	ZDB-GENE-090312-168			protein_coding
ENSDARG00000023053	niban1b	ZDB-GENE-070912-688	niban1b	561414	protein_coding
ENSDARG00000095946	si:ch73-341k19.1	ZDB-GENE-110411-201	si:ch73-341k19.1	100538003	protein_coding
ENSDARG00000105068	SMIM22	ZDB-GENE-120215-185	si:ch1073-443f11.2	100334410	protein_coding
ENSDARG00000068515	chs1	ZDB-GENE-030131-1188	chs1	322468	protein_coding
ENSDARG00000102297	CU929307.1				lncRNA
ENSDARG00000056065	mov10b.2	ZDB-GENE-060526-371	mov10b.2	555950	protein_coding
ENSDARG00000090889	LECT2	ZDB-GENE-130530-1010	si:ch211-132p1.3	793246	protein_coding
ENSDARG00000031420	wt1a	ZDB-GENE-980526-558	wt1a	30245	protein_coding
ENSDARG00000071037	pex13	ZDB-GENE-040426-1544	pex13	393618	protein_coding
ENSDARG00000095879	wdr46	ZDB-GENE-040426-1264	wdr46	393596	protein_coding
ENSDARG00000070127	nfxl1	ZDB-GENE-110411-178	nfxl1	100333008	protein_coding
ENSDARG00000074056	kctd1	ZDB-GENE-040724-194	kctd1	555637	protein_coding
ENSDARG00000063311	soga3a	ZDB-GENE-100921-84	soga3	100332515	protein_coding
ENSDARG00000033466	tagln2	ZDB-GENE-020802-2	tagln2	259183	protein_coding
ENSDARG00000030156	naglu	ZDB-GENE-100726-2	naglu	560126	protein_coding
ENSDARG00000038359	enosf1	ZDB-GENE-060929-780	enosf1	558186	protein_coding
ENSDARG00000061187	cbx5	ZDB-GENE-030131-5553	cbx5	563396	protein_coding
ENSDARG00000039501	ugt2a6	ZDB-GENE-060929-796	ugt2a6	797211	protein_coding
ENSDARG00000075456	pik3ca	ZDB-GENE-130409-1	pik3ca	561737	protein_coding
ENSDARG00000035427	surf6	ZDB-GENE-040426-1333	surf6	394040	protein_coding
ENSDARG00000097245	soga3a	ZDB-GENE-100921-84			protein_coding
ENSDARG00000117163	znf1114	ZDB-GENE-110914-54			protein_coding
ENSDARG00000005616	bfb	ZDB-GENE-990415-34	bfb	30489	protein_coding
ENSDARG00000062146	larp4b	ZDB-GENE-061027-39	larp4b	563742	protein_coding
ENSDARG00000087835	si:ch211-113p18.3	ZDB-GENE-030131-4983	si:ch211-113p18.3	559644	protein_coding
ENSDARG00000056680	stc2a	ZDB-GENE-041008-14	stc2a	544665	protein_coding
ENSDARG00000012341	capn9	ZDB-GENE-010724-2	capn9	445107	protein_coding
ENSDARG00000053194	pdzd11	ZDB-GENE-040426-2544	pdzd11	405893	protein_coding
ENSDARG00000103883	si:ch1073-181h11.2	ZDB-GENE-081031-58			protein_coding
ENSDARG00000095704	si:dkey-4c15.13	ZDB-GENE-030131-2023			protein_coding
ENSDARG00000008457	faah2a	ZDB-GENE-040718-453	faah2a	436973	protein_coding
ENSDARG00000097406	si:dkey-81e3.2	ZDB-GENE-131119-24	si:dkey-81e3.2	793178	protein_coding
ENSDARG00000036215	lcp2b	ZDB-GENE-081107-21	lcp2b	100004351	protein_coding
ENSDARG00000002508	ankrd33ab	ZDB-GENE-100729-1	ankrd33ab	569518	protein_coding
ENSDARG00000102585	fam160a1b	ZDB-GENE-110411-10	LOC100332943	100332943	protein_coding
ENSDARG00000096187	si:dkey-21h14.10	ZDB-GENE-110913-2			protein_coding
ENSDARG00000105171	AL935303.1				lncRNA
ENSDARG00000025346	znf277	ZDB-GENE-040426-1633	znf277	393402	protein_coding
ENSDARG00000059354	glmp	ZDB-GENE-040912-142	glmp	447841	protein_coding
ENSDARG00000070959	si:ch211-288g17.3	ZDB-GENE-030131-461	si:ch211-288g17.3	567638	protein_coding
ENSDARG00000086425	prpf3	ZDB-GENE-040823-3	prpf3	403072	protein_coding
ENSDARG00000090194	lamtor5	ZDB-GENE-110411-193	lamtor5	100333504	protein_coding
ENSDARG00000094410	si:dkey-4c15.14	ZDB-GENE-050420-79	si:dkey-4c15.14	100038795	lncRNA
ENSDARG00000062562	egln2	ZDB-GENE-060503-757	egln2	559569	protein_coding
ENSDARG00000075556	luzp1	ZDB-GENE-060810-90	luzp1	558606	protein_coding
ENSDARG00000033227	lect2l	ZDB-GENE-070127-4	lect2l	567278	protein_coding
ENSDARG00000076014	ERC1	ZDB-GENE-110411-39	erc1b	560003	protein_coding
ENSDARG00000026871	uchl1	ZDB-GENE-030131-3844	uchl1	325119	protein_coding
ENSDARG00000099304	si:ch211-51f19.1	ZDB-GENE-141216-485			protein_coding
ENSDARG00000088885	si:ch1073-340i21.3	ZDB-GENE-030131-199	si:ch1073-340i21.3	570991	protein_coding
ENSDARG00000023645	kyat1	ZDB-GENE-040426-2676	kyat1	791592	protein_coding
ENSDARG00000094425	si:ch211-222m18.4	ZDB-GENE-050419-64			protein_coding
ENSDARG00000094886	si:dkey-266f7.5	ZDB-GENE-070705-437	si:dkey-266f7.5	100006143	protein_coding
ENSDARG00000101009	cited4b	ZDB-GENE-030425-5	cited4b	100006037	protein_coding
ENSDARG00000086327	srrm4	ZDB-GENE-050208-34	srrm4	796574	protein_coding
ENSDARG00000103738	FP085399.2		LOC100149761	100149761	lncRNA
ENSDARG00000016038	hacd3	ZDB-GENE-040426-1200	hacd3	393441	protein_coding
ENSDARG00000098876	si:dkey-199m13.5	ZDB-GENE-110913-174			protein_coding
ENSDARG00000061120	slc43a2b	ZDB-GENE-041212-6	slc43a2b	494042	protein_coding
ENSDARG00000002582	tbx15	ZDB-GENE-020529-1	tbx15	246222	protein_coding
ENSDARG00000031930	erc1b	ZDB-GENE-041210-51			protein_coding
ENSDARG00000105500	BX000524.2				pseudogene
ENSDARG00000103941	FP085399.3				lncRNA
ENSDARG00000060008	hhipl2	ZDB-GENE-131120-145	hhipl2	560376	protein_coding
ENSDARG00000044924	gdf11	ZDB-GENE-040427-2	gdf11	406247	protein_coding
ENSDARG00000021163	thrb	ZDB-GENE-990415-268	thrb	30607	protein_coding
ENSDARG00000071487	zgc:152948	ZDB-GENE-060929-364	zgc:152948	767666	protein_coding
ENSDARG00000104882	FP085399.5				lncRNA
ENSDARG00000028066	diras1a	ZDB-GENE-030131-5788	diras1a	327577	protein_coding
ENSDARG00000005544	btbd3a	ZDB-GENE-090312-7	btbd3a	563691	protein_coding
ENSDARG00000093833	si:ch73-382f3.1	ZDB-GENE-030131-9513	si:ch73-382f3.1	100151273	protein_coding
ENSDARG00000102061	b3galt2	ZDB-GENE-040426-2078	b3galt2	404633	protein_coding
ENSDARG00000030804	fam120b	ZDB-GENE-040801-119	fam120b	445206	protein_coding
ENSDARG00000013252	tmc5	ZDB-GENE-120411-6	tmc5	561497	protein_coding
ENSDARG00000062326	hmgn7	ZDB-GENE-061215-23	hmgn7	567263	protein_coding
ENSDARG00000070868	cfap126	ZDB-GENE-060825-357	cfap126	751706	protein_coding
ENSDARG00000092813	fndc7rs4	ZDB-GENE-070912-648			protein_coding
ENSDARG00000053884	med13a	ZDB-GENE-070627-13	med13a	100004024	protein_coding
ENSDARG00000112474	CU927887.1				lncRNA
ENSDARG00000069504	si:dkey-88e18.2	ZDB-GENE-110411-159	si:dkey-88e18.2	100001799	protein_coding
ENSDARG00000025554	wdr83os	ZDB-GENE-040426-1674	wdr83os	393689	protein_coding
ENSDARG00000068792	BX324132.1				lncRNA
ENSDARG00000013492	zbtb34	ZDB-GENE-050624-2	zbtb34	100004439	protein_coding
ENSDARG00000103118	cib1	ZDB-GENE-050417-170	cib1	550376	protein_coding
ENSDARG00000092267	CR788230.1				pseudogene
ENSDARG00000079727	selenop2	ZDB-GENE-030311-2	selenop2	791479	protein_coding
ENSDARG00000070487	marc1	ZDB-GENE-050327-95	marc1	378742	protein_coding
ENSDARG00000105631	CABP4	ZDB-GENE-160728-151	si:cabz01076231.1	101886622	protein_coding
ENSDARG00000069826	crygm2d15	ZDB-GENE-040718-322	crygm2d15	436855	protein_coding
ENSDARG00000073948	prok1	ZDB-GENE-070928-34	prok1	100126018	protein_coding
ENSDARG00000062965	dennd10	ZDB-GENE-030131-3548	dennd10	556203	protein_coding
ENSDARG00000040321	rx2	ZDB-GENE-990415-237	rx2	30473	protein_coding
ENSDARG00000005462	kif4	ZDB-GENE-040426-1545	kif4	393796	protein_coding
ENSDARG00000096528	si:ch73-236c18.9	ZDB-GENE-121214-125	zgc:174928	792701	protein_coding
ENSDARG00000070467	lactbl1b	ZDB-GENE-061207-53	lactbl1b	567200	protein_coding
ENSDARG00000035821	si:ch211-173p18.3	ZDB-GENE-060503-672	si:ch211-173p18.3	553317	protein_coding
ENSDARG00000039959	gdnfa	ZDB-GENE-010226-1	gdnfa	79379	protein_coding
ENSDARG00000096256	BX548060.1				lncRNA
ENSDARG00000039123	trim9	ZDB-GENE-030131-8043	trim9	336099	protein_coding
ENSDARG00000075156	tbc1d4	ZDB-GENE-030131-9881	tbc1d4	321065	protein_coding
ENSDARG00000022160	ttc23	ZDB-GENE-050419-126	ttc23	558875	protein_coding
ENSDARG00000037473	cd79a	ZDB-GENE-100922-201	cd79a	798792	protein_coding
ENSDARG00000088867	si:ch211-135n15.1	ZDB-GENE-131127-408			protein_coding
ENSDARG00000007169	itgb1bp1	ZDB-GENE-051113-264	itgb1bp1	641420	protein_coding
ENSDARG00000041431	slc24a1	ZDB-GENE-060503-191	slc24a1	558299	protein_coding
ENSDARG00000074617	wfs1b	ZDB-GENE-050809-19	wfs1b	556580	protein_coding
ENSDARG00000037537	ccnq	ZDB-GENE-050522-495	ccnq	553650	protein_coding
ENSDARG00000061644	ensab	ZDB-GENE-060526-294	ensab	100317933	protein_coding
ENSDARG00000035648	irx4a	ZDB-GENE-040426-1825	irx4a	402999	protein_coding
ENSDARG00000096435	AL845295.1				lncRNA
ENSDARG00000078592	nomo	ZDB-GENE-040826-3	nomo	446115	protein_coding
ENSDARG00000045567	phpt1	ZDB-GENE-040801-85	phpt1	445172	protein_coding
ENSDARG00000055837	arhgef1b	ZDB-GENE-060616-136	arhgef1b	557983	protein_coding
ENSDARG00000104854	olfcg3	ZDB-GENE-060503-159	olfcg3	100004682	protein_coding
ENSDARG00000044298	phax	ZDB-GENE-040822-42	phax	445490	protein_coding
ENSDARG00000040254	hormad1	ZDB-GENE-040718-49	hormad1	436630	protein_coding
ENSDARG00000093755	FP101875.1				lncRNA
ENSDARG00000008678	snx3	ZDB-GENE-030131-921	snx3	563511	protein_coding
ENSDARG00000103471	si:dkey-199m13.4	ZDB-GENE-110913-41	zgc:173716	799713	protein_coding
ENSDARG00000035507	ddx31	ZDB-GENE-030131-3973	ddx31	325248	protein_coding
ENSDARG00000068716	cuedc1a	ZDB-GENE-061027-344	cuedc1a	768297	protein_coding
ENSDARG00000042520	UTP14C	ZDB-GENE-060526-271	si:dkey-251i10.3	553498	protein_coding
ENSDARG00000101300	ssna1	ZDB-GENE-081104-255	ssna1	561124	protein_coding
ENSDARG00000073870	gdpd2	ZDB-GENE-081107-62	gdpd2	563198	protein_coding
ENSDARG00000105582	CT027807.1				pseudogene
ENSDARG00000105269	si:ch73-338d8.5	ZDB-GENE-141212-126			protein_coding
ENSDARG00000087032	rbbp8l	ZDB-GENE-030131-3078	rbbp8l	324358	protein_coding
ENSDARG00000091799	si:ch211-266k22.6	ZDB-GENE-120215-250	si:ch211-266k22.6	101884201	protein_coding
ENSDARG00000058022	ormdl2	ZDB-GENE-060331-113	ormdl2	677753	protein_coding
ENSDARG00000038863	babam2	ZDB-GENE-050417-299	babam2	550474	protein_coding
ENSDARG00000095199	AL732515.1				lncRNA
ENSDARG00000070013	dmrt2b	ZDB-GENE-080813-1	dmrt2b	558970	protein_coding
ENSDARG00000035540	brwd3	ZDB-GENE-100921-43	brwd3	553209	protein_coding
ENSDARG00000091954	si:dkeyp-122a9.1	ZDB-GENE-060503-651	si:dkeyp-122a9.1	100034634	protein_coding
ENSDARG00000012987	gpia	ZDB-GENE-020513-2	gpia	246094	protein_coding
ENSDARG00000097536	CR848844.1				lncRNA
ENSDARG00000056757	slc39a8	ZDB-GENE-050419-124			protein_coding
ENSDARG00000062111	rxfp3.3a2	ZDB-GENE-121030-2	rxfp3.3a2	100149732	protein_coding
ENSDARG00000023479	lrp13	ZDB-GENE-130729-1	lrp13	562438	protein_coding
ENSDARG00000071074	rccd1	ZDB-GENE-030131-3552	LOC100536575	100536575	protein_coding
ENSDARG00000019207	abo	ZDB-GENE-081104-23	abo	563897	protein_coding
ENSDARG00000093116	si:dkeyp-122a9.2	ZDB-GENE-060503-745	si:dkeyp-122a9.2	100034504	protein_coding
ENSDARG00000101345	CU468723.2				lncRNA
ENSDARG00000099773	olfcg4	ZDB-GENE-060503-66	olfcg4	100148438	protein_coding
ENSDARG00000097155	GDPGP1	ZDB-GENE-060929-280	zgc:153343	560896	protein_coding
ENSDARG00000103713	cd248a	ZDB-GENE-030131-2084	cd248a	323364	protein_coding
ENSDARG00000032577	clcn6	ZDB-GENE-030131-2056	clcn6	568122	protein_coding
ENSDARG00000103057	zfhx3	ZDB-GENE-030131-7577	zfhx3	100333211	protein_coding
ENSDARG00000102239	CR559945.1				lncRNA
ENSDARG00000093665	si:dkey-285e18.5	ZDB-GENE-120703-44			protein_coding
ENSDARG00000075795	nol7	ZDB-GENE-030131-9100	nol7	558911	protein_coding
ENSDARG00000077686	aak1b	ZDB-GENE-091118-25	aak1b	100534954	protein_coding
ENSDARG00000060062	lrrc74a	ZDB-GENE-131127-263			protein_coding
ENSDARG00000092640	BX571701.2				lncRNA
ENSDARG00000089202	nkl.3	ZDB-GENE-131127-147	nkl.3	103909013	protein_coding
ENSDARG00000038543	wdr48b	ZDB-GENE-030131-6622	wdr48b	334682	protein_coding
ENSDARG00000062801	erfl3	ZDB-GENE-090529-4	erfl3	565909	protein_coding
ENSDARG00000088741	BX322530.1				lncRNA
ENSDARG00000045832	cart2	ZDB-GENE-050417-23	cart2	550232	protein_coding
ENSDARG00000101845	FP016142.5				lncRNA
ENSDARG00000096757	si:ch73-205h11.1	ZDB-GENE-130603-92			protein_coding
ENSDARG00000098144	si:dkey-285e18.6	ZDB-GENE-120709-86			protein_coding
ENSDARG00000052088	cxcr1	ZDB-GENE-070302-4			protein_coding
ENSDARG00000020618	gatd3a	ZDB-GENE-050417-147	gatd3a	550355	protein_coding
ENSDARG00000045308	pola1	ZDB-GENE-030114-9	pola1	317740	protein_coding
ENSDARG00000093658	tm7sf3	ZDB-GENE-030131-1770	tm7sf3	565343	protein_coding
ENSDARG00000063451	ccdc13	ZDB-GENE-061207-11	ccdc13	555345	protein_coding
ENSDARG00000097266	AL954322.3				lncRNA
ENSDARG00000104807	si:ch73-221f6.3	ZDB-GENE-121214-21	LOC108190743	108190743	protein_coding
ENSDARG00000054975	cxcr2	ZDB-GENE-100414-1	cxcr2	796724	protein_coding
ENSDARG00000077728	supv3l1	ZDB-GENE-030131-2838	supv3l1	570852	protein_coding
ENSDARG00000094125	or103-2	ZDB-GENE-010308-8	or103-2	554779	protein_coding
ENSDARG00000102454	FP016142.6				lncRNA
ENSDARG00000095324	galnt8b.2	ZDB-GENE-041210-84	galnt8b.2	100535692	protein_coding
ENSDARG00000098510	zgc:174650	ZDB-GENE-080219-10	zgc:174650	100141363	protein_coding
ENSDARG00000030656	sept3	ZDB-GENE-050522-375	sept3	554123	protein_coding
ENSDARG00000011897	tsg101b	ZDB-GENE-130530-542	tsg101b	100333057	protein_coding
ENSDARG00000055781	ptger3	ZDB-GENE-120508-5	ptger3	100000544	protein_coding
ENSDARG00000092249	irgf2	ZDB-GENE-060503-460			protein_coding
ENSDARG00000014954	snx33	ZDB-GENE-041111-209	snx33	100001421	protein_coding
ENSDARG00000090697	eif3ea	ZDB-GENE-030131-3827	eif3ea	325102	protein_coding
ENSDARG00000074387	alkal1	ZDB-GENE-110411-243	alkal1	100535009	protein_coding
ENSDARG00000043492	irf1a	ZDB-GENE-060421-4031	irf1a	678604	protein_coding
ENSDARG00000101102	tprn	ZDB-GENE-081104-254	tprn	101882537	protein_coding
ENSDARG00000028976	pus3	ZDB-GENE-030131-9433	pus3	337487	protein_coding
ENSDARG00000070074	lrp8	ZDB-GENE-050506-134	lrp8	557734	protein_coding
ENSDARG00000005318	stam2	ZDB-GENE-041114-64	stam2	492497	protein_coding
