Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000058371	krt5	ZDB-GENE-991110-23	krt5	797351	protein_coding
ENSDARG00000102013	FP009765.1				lncRNA
ENSDARG00000019096	myl7	ZDB-GENE-991019-3	myl7	30592	protein_coding
ENSDARG00000099382	si:ch211-209n20.1	ZDB-GENE-070705-98	si:ch211-209n20.1	100149641	protein_coding
ENSDARG00000017126	ilvbl	ZDB-GENE-040426-1623	ilvbl	393639	protein_coding
ENSDARG00000030095	ccdc78	ZDB-GENE-060301-1	ccdc78	100150366	protein_coding
ENSDARG00000031540	tmem200a	ZDB-GENE-040724-81	tmem200a	556369	protein_coding
ENSDARG00000090396	si:cabz01074946.1	ZDB-GENE-160113-134	si:cabz01074946.1	100331505	protein_coding
ENSDARG00000036415	glb1	ZDB-GENE-050410-9	glb1	548343	protein_coding
ENSDARG00000094922	ungb	ZDB-GENE-070705-360	ungb	571301	protein_coding
ENSDARG00000029768	waplb	ZDB-GENE-080220-45	waplb	100141368	protein_coding
ENSDARG00000060526	bmp3	ZDB-GENE-030131-7192	bmp3	777717	protein_coding
ENSDARG00000097207	CR759882.1				lncRNA
ENSDARG00000045927	slc25a44a	ZDB-GENE-041114-38	slc25a44a	492478	protein_coding
ENSDARG00000057265	pimr52	ZDB-GENE-070912-460	pimr52	100006411	protein_coding
ENSDARG00000076508	grm8b	ZDB-GENE-110421-3	grm8b	569768	protein_coding
ENSDARG00000062506	zc3h18	ZDB-GENE-050419-13	zc3h18	555770	protein_coding
ENSDARG00000039213	prpf38a	ZDB-GENE-040801-225	prpf38a	445089	protein_coding
ENSDARG00000063019	panx2	ZDB-GENE-050419-55	panx2	557828	protein_coding
ENSDARG00000096862	CR936975.1				lncRNA
ENSDARG00000060620	lig4	ZDB-GENE-070820-10	lig4	569525	protein_coding
ENSDARG00000088753	cfap299	ZDB-GENE-060526-173	cfap299	558475	protein_coding
ENSDARG00000012078	meis1b	ZDB-GENE-020122-1	meis1b	170446	protein_coding
ENSDARG00000069323	si:ch73-122g19.1	ZDB-GENE-110411-239	si:ch73-122g19.1	101884707	protein_coding
ENSDARG00000097455	CR931782.1				lncRNA
ENSDARG00000014939	kcnn2	ZDB-GENE-091116-41	kcnn2	564698	protein_coding
