Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00000001	aap-1	172141	protein_coding
WBGene00000002	aat-1	177793	protein_coding
WBGene00000003	aat-2	184126	protein_coding
WBGene00000004	aat-3	180557	protein_coding
WBGene00000005	aat-4	177388	protein_coding
WBGene00000006	aat-5	171814	protein_coding
WBGene00000007	aat-6	188421	protein_coding
WBGene00000008	aat-7	186240	protein_coding
WBGene00000009	aat-8	185079	protein_coding
WBGene00000010	aat-9	190250	protein_coding
WBGene00000012	abf-1	266827	protein_coding
WBGene00000013	abf-2	266826	protein_coding
WBGene00000014	abf-3	186202	protein_coding
WBGene00000015	abf-4	189702	protein_coding
WBGene00000016	abf-5	188770	protein_coding
WBGene00000017	abf-6	181418	protein_coding
WBGene00000018	abl-1	181261	protein_coding
WBGene00000019	abt-1	182849	protein_coding
WBGene00000020	abt-2	171782	protein_coding
WBGene00000021	WBGene00000021		pseudogene
WBGene00000022	abt-4	178559	protein_coding
WBGene00000023	abt-5	173081	protein_coding
WBGene00000024	abu-1	181800	protein_coding
WBGene00000025	abu-2	184695	protein_coding
WBGene00000026	WBGene00000026		pseudogene
WBGene00000027	abu-4	353458	protein_coding
WBGene00000028	abu-5	190870	protein_coding
WBGene00000029	abu-6	178903	protein_coding
WBGene00000030	abu-7	182139	protein_coding
WBGene00000031	abu-8	178904	protein_coding
WBGene00000032	abu-9	187749	protein_coding
WBGene00000033	abu-10	185248	protein_coding
WBGene00000034	abu-11	173404	protein_coding
WBGene00000035	ace-1	181706	protein_coding
WBGene00000036	ace-2	171905	protein_coding
WBGene00000037	ace-3	175076	protein_coding
WBGene00000038	ace-4	175074	protein_coding
WBGene00000039	acn-1	180780	protein_coding
WBGene00000040	aco-1	181324	protein_coding
WBGene00000041	aco-2	176121	protein_coding
WBGene00000042	acr-2	180936	protein_coding
WBGene00000043	acr-3	180937	protein_coding
WBGene00000044	acr-5	191596	protein_coding
WBGene00000045	acr-6	191479	protein_coding
WBGene00000046	acr-7	174262	protein_coding
WBGene00000047	acr-8	181246	protein_coding
WBGene00000048	acr-9	191597	protein_coding
WBGene00000049	acr-10	191598	protein_coding
WBGene00000050	acr-11	191599	protein_coding
WBGene00000051	acr-12	181475	protein_coding
WBGene00000053	acr-14	191601	protein_coding
WBGene00000054	acr-15	191602	protein_coding
WBGene00000055	acr-16	179235	protein_coding
WBGene00000056	acr-17	191603	protein_coding
WBGene00000057	acr-18	191604	protein_coding
WBGene00000058	acr-19	191605	protein_coding
WBGene00000059	acr-20	187632	protein_coding
WBGene00000060	acr-21	185004	protein_coding
WBGene00000061	lgc-11	181009	protein_coding
WBGene00000062	acr-23	191606	protein_coding
WBGene00000063	act-1	179535	protein_coding
WBGene00000064	act-2	179534	protein_coding
WBGene00000065	act-3	179533	protein_coding
WBGene00000066	act-4	180767	protein_coding
WBGene00000067	act-5	176793	protein_coding
WBGene00000068	acy-1	175622	protein_coding
WBGene00000069	acy-2	191607	protein_coding
WBGene00000070	acy-3	175489	protein_coding
WBGene00000071	acy-4	178949	protein_coding
WBGene00000072	add-1	180760	protein_coding
WBGene00000073	add-2	179647	protein_coding
WBGene00000074	adm-2	181489	protein_coding
WBGene00000075	adm-4	181041	protein_coding
WBGene00000079	adr-1	172542	protein_coding
WBGene00000080	adr-2	176022	protein_coding
WBGene00000081	ads-1	175192	protein_coding
WBGene00000082	adt-1	181412	protein_coding
WBGene00000083	adt-2	181022	protein_coding
WBGene00000084	aex-1	172519	protein_coding
WBGene00000085	aex-2	188491	protein_coding
WBGene00000086	aex-3	180420	protein_coding
WBGene00000088	aex-5	173358	protein_coding
WBGene00000089	aex-6	173223	protein_coding
WBGene00000090	age-1	174762	protein_coding
WBGene00000092	ags-3	180801	protein_coding
WBGene00000093	agt-1	190454	protein_coding
WBGene00000094	agt-2	184244	protein_coding
WBGene00000095	aha-1	172889	protein_coding
WBGene00000096	ahr-1	172788	protein_coding
WBGene00000097	aip-1	179898	protein_coding
WBGene00000098	air-1	179202	protein_coding
WBGene00000099	air-2	172268	protein_coding
WBGene00000100	ajm-1	181148	protein_coding
WBGene00000101	aka-1	174216	protein_coding
WBGene00000102	akt-1	179424	protein_coding
WBGene00000103	akt-2	181524	protein_coding
WBGene00000105	alg-1	181504	protein_coding
WBGene00000106	alg-2	173468	protein_coding
WBGene00000107	alh-1	175691	protein_coding
WBGene00000108	alh-2	187001	protein_coding
WBGene00000109	alh-3	177999	protein_coding
WBGene00000110	alh-4	179026	protein_coding
WBGene00000111	alh-5	178680	protein_coding
WBGene00000112	alh-6	173510	protein_coding
WBGene00000113	alh-7	174991	protein_coding
WBGene00000114	alh-8	174800	protein_coding
WBGene00000115	alh-9	175820	protein_coding
WBGene00000116	alh-10	180979	protein_coding
WBGene00000117	alh-11	185679	protein_coding
WBGene00000118	alh-12	176056	protein_coding
WBGene00000120	aly-1	177735	protein_coding
WBGene00000121	aly-2	177738	protein_coding
WBGene00000122	aly-3	178157	protein_coding
WBGene00000123	ama-1	177190	protein_coding
WBGene00000133	amt-1	180729	protein_coding
WBGene00000134	amt-2	186047	protein_coding
WBGene00000135	amt-3	174338	protein_coding
WBGene00000136	amt-4	180728	protein_coding
WBGene00000137	amx-1	175493	protein_coding
WBGene00000138	amx-2	173146	protein_coding
WBGene00000139	amx-3	184919	protein_coding
WBGene00000140	anc-1	172034	protein_coding
WBGene00000142	aos-1	179409	protein_coding
WBGene00000143	apc-2	176139	protein_coding
WBGene00000144	apc-10	179454	protein_coding
WBGene00000145	apc-11	175604	protein_coding
WBGene00000146	ape-1	179601	protein_coding
WBGene00000147	aph-1	172747	protein_coding
WBGene00000148	aph-2	172905	protein_coding
WBGene00000149	apl-1	180783	protein_coding
WBGene00000150	apm-1	172180	protein_coding
WBGene00000151	apn-1	174291	protein_coding
WBGene00000155	app-1	172118	protein_coding
WBGene00000156	apr-1	172591	protein_coding
WBGene00000157	aps-2	184091	protein_coding
WBGene00000158	apg-1	173304	protein_coding
WBGene00000159	aps-1	178989	protein_coding
WBGene00000160	apb-1	175376	protein_coding
WBGene00000161	apa-2	181163	protein_coding
WBGene00000162	apd-3	173701	protein_coding
WBGene00000163	apb-3	172553	protein_coding
WBGene00000164	apm-3	186194	protein_coding
WBGene00000165	aps-3	171691	protein_coding
WBGene00000166	apt-9	189194	protein_coding
WBGene00000168	apx-1	178759	protein_coding
WBGene00000169	aqp-1	174190	protein_coding
WBGene00000170	aqp-2	174467	protein_coding
WBGene00000171	aqp-3	190553	protein_coding
WBGene00000172	aqp-4	179366	protein_coding
WBGene00000173	aqp-5	183221	protein_coding
WBGene00000174	aqp-6	183121	protein_coding
WBGene00000175	aqp-7	180589	protein_coding
WBGene00000176	aqp-8	180744	protein_coding
WBGene00000177	aqp-9	3565336	protein_coding
WBGene00000178	aqp-10	174537	protein_coding
WBGene00000179	aqp-11	191343	protein_coding
WBGene00000180	arc-1	174525	protein_coding
WBGene00000181	ard-1	178016	protein_coding
WBGene00000182	arf-1	175801	protein_coding
WBGene00000183	arf-5	177595	protein_coding
WBGene00000184	arf-6	191608	protein_coding
WBGene00000185	arg-1	180501	protein_coding
WBGene00000186	ark-1	178218	protein_coding
WBGene00000187	arl-1	174375	protein_coding
WBGene00000188	arl-3	175121	protein_coding
WBGene00000189	arl-5	176392	protein_coding
WBGene00000190	warf-1	191609	protein_coding
WBGene00000191	WBGene00000191		pseudogene
WBGene00000192	arl-8	178405	protein_coding
WBGene00000193	arl-6	183311	protein_coding
WBGene00000195	arr-1	180446	protein_coding
WBGene00000196	aars-1	174749	protein_coding
WBGene00000197	aars-2	171985	protein_coding
WBGene00000198	art-1	174140	protein_coding
WBGene00000199	arx-1	171857	protein_coding
WBGene00000200	arx-2	179440	protein_coding
WBGene00000201	arx-3	3565442	protein_coding
WBGene00000202	exos-4.2	259488	protein_coding
WBGene00000203	arx-5	176697	protein_coding
WBGene00000204	arx-6	175650	protein_coding
WBGene00000205	arx-7	171882	protein_coding
WBGene00000206	asb-1	175605	protein_coding
WBGene00000207	asb-2	180718	protein_coding
WBGene00000208	trip-4	175159	protein_coding
WBGene00000209	asg-1	172673	protein_coding
WBGene00000210	asg-2	180956	protein_coding
WBGene00000211	asm-1	174131	protein_coding
WBGene00000212	asm-2	181323	protein_coding
WBGene00000213	asm-3	176879	protein_coding
WBGene00000214	asp-1	180251	protein_coding
WBGene00000215	asp-2	34700645	protein_coding
WBGene00000216	asp-3	180947	protein_coding
WBGene00000217	asp-4	181444	protein_coding
WBGene00000218	asp-5	179211	protein_coding
WBGene00000219	asp-6	179209	protein_coding
WBGene00000220	atf-2	174399	protein_coding
WBGene00000221	atf-4	181576	protein_coding
WBGene00000222	atf-6	181405	protein_coding
WBGene00000223	atf-7	175587	protein_coding
WBGene00000224	atgp-1	178504	protein_coding
WBGene00000225	atgp-2	175125	protein_coding
WBGene00000226	atl-1	179352	protein_coding
WBGene00000227	atm-1	3565793	protein_coding
WBGene00000228	atn-1	179709	protein_coding
WBGene00000229	atp-2	175716	protein_coding
WBGene00000230	atp-3	172195	protein_coding
WBGene00000231	atx-2	176465	protein_coding
WBGene00000232	avr-14	172270	protein_coding
WBGene00000233	avr-15	179834	protein_coding
WBGene00000235	baf-1	176330	protein_coding
WBGene00000236	bag-1	172373	protein_coding
WBGene00000237	bam-2	171868	protein_coding
WBGene00000238	bar-1	180982	protein_coding
WBGene00000239	bas-1	175778	protein_coding
WBGene00000240	pah-1	174401	protein_coding
WBGene00000241	bbs-1	260219	protein_coding
WBGene00000242	bbs-2	259580	protein_coding
WBGene00000244	bbs-8	188904	protein_coding
WBGene00000245	bca-1	180890	protein_coding
WBGene00000246	bcc-1	178008	protein_coding
WBGene00000247	bec-1	177345	protein_coding
WBGene00000248	ben-1	175461	protein_coding
WBGene00000249	bir-1	179597	protein_coding
WBGene00000250	bir-2	179841	protein_coding
WBGene00000251	bli-1	174653	protein_coding
WBGene00000252	bli-2	191611	protein_coding
WBGene00000253	bli-3	171608	protein_coding
WBGene00000254	bli-4	172333	protein_coding
WBGene00000255	bli-5	185812	protein_coding
WBGene00000256	bli-6	177399	protein_coding
WBGene00000257	bmk-1	179948	protein_coding
WBGene00000259	bpl-1	174039	protein_coding
WBGene00000262	bra-1	181481	protein_coding
WBGene00000263	F23H11.5	175254	protein_coding
WBGene00000264	brc-1	175499	protein_coding
WBGene00000265	brd-1	175959	protein_coding
WBGene00000266	bre-1	177717	protein_coding
WBGene00000267	bre-2	189753	protein_coding
WBGene00000268	bre-3	176332	protein_coding
WBGene00000269	bre-4	190668	protein_coding
WBGene00000270	bre-5	178142	protein_coding
WBGene00000271	brf-1	174199	protein_coding
WBGene00000272	bro-1	172158	protein_coding
WBGene00000273	brp-1	176637	protein_coding
WBGene00000274	btf-1	174965	protein_coding
WBGene00000275	bub-1	172468	protein_coding
WBGene00000276	byn-1	175968	protein_coding
WBGene00000277	cab-1	181382	protein_coding
WBGene00000279	cah-1	186231	protein_coding
WBGene00000280	cah-2	174218	protein_coding
WBGene00000281	cah-3	181713	protein_coding
WBGene00000282	cah-4	181478	protein_coding
WBGene00000283	cah-5	180972	protein_coding
WBGene00000284	cah-6	189049	protein_coding
WBGene00000285	cal-1	179715	protein_coding
WBGene00000286	cal-2	182789	protein_coding
WBGene00000287	cal-3	177143	protein_coding
WBGene00000288	cal-4	177945	protein_coding
WBGene00000289	cam-1	174473	protein_coding
WBGene00000292	cap-1	177497	protein_coding
WBGene00000293	cap-2	174673	protein_coding
WBGene00000294	cas-1	181729	protein_coding
WBGene00000295	cat-1	180837	protein_coding
WBGene00000296	cat-2	173411	protein_coding
WBGene00000298	cat-4	179472	protein_coding
WBGene00000301	cav-1	177815	protein_coding
WBGene00000302	cav-2	179838	protein_coding
WBGene00000366	cbp-1	176380	protein_coding
WBGene00000367	cca-1	181045	protein_coding
WBGene00000368	ccb-1	171933	protein_coding
WBGene00000369	ccf-1	176625	protein_coding
WBGene00000370	ccg-1	178426	protein_coding
WBGene00000371	cox-5B	172832	protein_coding
WBGene00000372	cyp-13A7	188362	protein_coding
WBGene00000373	cyp-14A5	178926	protein_coding
WBGene00000374	WBGene00000374		pseudogene
WBGene00000375	cyp-44A1	173936	protein_coding
WBGene00000376	ccr-4	178184	protein_coding
WBGene00000377	cct-1	174318	protein_coding
WBGene00000378	cct-2	174421	protein_coding
WBGene00000379	cct-4	174330	protein_coding
WBGene00000380	cct-5	175588	protein_coding
WBGene00000381	cct-6	175819	protein_coding
WBGene00000382	cdc-6	172029	protein_coding
WBGene00000383	cdc-14	173945	protein_coding
WBGene00000386	cdc-25.1	172353	protein_coding
WBGene00000387	cdc-25.2	178645	protein_coding
WBGene00000388	cdc-25.3	176260	protein_coding
WBGene00000389	cdc-25.4	191612	protein_coding
WBGene00000390	cdc-42	174233	protein_coding
WBGene00000391	cdd-1	183546	protein_coding
WBGene00000392	cdd-2	186044	protein_coding
WBGene00000393	cdf-1	180923	protein_coding
WBGene00000395	cdh-3	176085	protein_coding
WBGene00000396	cdh-4	175590	protein_coding
WBGene00000397	cdh-5	177671	protein_coding
WBGene00000399	cdh-7	175143	protein_coding
WBGene00000401	cdh-9	186608	protein_coding
WBGene00000402	cdh-10	183476	protein_coding
WBGene00000403	casy-1	174006	protein_coding
WBGene00000405	cdk-1	176374	protein_coding
WBGene00000406	cdk-4	181472	protein_coding
WBGene00000407	cdk-5	176774	protein_coding
WBGene00000408	cdk-7	171784	protein_coding
WBGene00000409	cdk-8	172677	protein_coding
WBGene00000410	cdk-9	173023	protein_coding
WBGene00000411	cdl-1	174659	protein_coding
WBGene00000412	cdr-1	180064	protein_coding
WBGene00000413	cdt-1	171896	protein_coding
WBGene00000414	cec-1	176190	protein_coding
WBGene00000415	ced-1	173064	protein_coding
WBGene00000416	ced-2	176968	protein_coding
WBGene00000417	ced-3	178272	protein_coding
WBGene00000418	ced-4	175643	protein_coding
WBGene00000419	ced-5	177942	protein_coding
WBGene00000420	ced-6	175773	protein_coding
WBGene00000421	ced-7	176352	protein_coding
WBGene00000422	ced-8	184190	protein_coding
WBGene00000423	ced-9	3565776	protein_coding
WBGene00000424	ced-10	177111	protein_coding
WBGene00000425	ced-11	176288	protein_coding
WBGene00000426	ced-12	172890	protein_coding
WBGene00000427	ced-13	191625	protein_coding
WBGene00000428	ceh-1	191614	protein_coding
WBGene00000429	ceh-2	191615	protein_coding
WBGene00000430	ceh-5	191616	protein_coding
WBGene00000431	ceh-6	172640	protein_coding
WBGene00000432	ceh-7	174391	protein_coding
WBGene00000433	ceh-8	191617	protein_coding
WBGene00000434	ceh-9	267057	protein_coding
WBGene00000435	ceh-10	175811	protein_coding
WBGene00000436	ceh-12	172255	protein_coding
WBGene00000437	ceh-13	176069	protein_coding
WBGene00000438	ceh-14	181012	protein_coding
WBGene00000439	ceh-16	191618	protein_coding
WBGene00000440	ceh-17	172059	protein_coding
WBGene00000441	ceh-18	180671	protein_coding
WBGene00000442	ceh-19	177590	protein_coding
WBGene00000443	ceh-20	3565545	protein_coding
WBGene00000444	ceh-21	180504	protein_coding
WBGene00000445	ceh-22	179485	protein_coding
WBGene00000446	ceh-23	176096	protein_coding
WBGene00000447	ceh-24	179877	protein_coding
WBGene00000448	pros-1	176137	protein_coding
WBGene00000449	ceh-27	185853	protein_coding
WBGene00000450	ceh-28	191619	protein_coding
WBGene00000451	ceh-30	191620	protein_coding
WBGene00000452	ceh-31	191621	protein_coding
WBGene00000453	ceh-32	179603	protein_coding
WBGene00000454	ceh-33	191622	protein_coding
WBGene00000455	ceh-34	178919	protein_coding
WBGene00000457	ceh-36	181529	protein_coding
WBGene00000458	ceh-37	181530	protein_coding
WBGene00000459	ceh-38	174136	protein_coding
WBGene00000460	ceh-39	180505	protein_coding
WBGene00000461	ceh-40	191624	protein_coding
WBGene00000462	ceh-41	180503	protein_coding
WBGene00000463	ceh-43	175581	protein_coding
WBGene00000464	ceh-44	175372	protein_coding
WBGene00000465	cpg-1	175586	protein_coding
WBGene00000466	cel-1	172814	protein_coding
WBGene00000467	cep-1	172616	protein_coding
WBGene00000468	ces-1	185718	protein_coding
WBGene00000469	ces-2	173365	protein_coding
WBGene00000472	cey-1	174690	protein_coding
WBGene00000473	cey-2	172219	protein_coding
WBGene00000474	cey-3	172211	protein_coding
WBGene00000475	cey-4	176516	protein_coding
WBGene00000476	cfi-1	188793	protein_coding
WBGene00000477	cft-1	178939	protein_coding
WBGene00000478	cfz-2	178768	protein_coding
WBGene00000479	cgh-1	176061	protein_coding
WBGene00000480	cgp-1	178540	protein_coding
WBGene00000481	cha-1	24105307	protein_coding
WBGene00000482	chd-3	181421	protein_coding
WBGene00000483	che-1	183847	protein_coding
WBGene00000484	che-2	180401	protein_coding
WBGene00000485	che-3	172593	protein_coding
WBGene00000487	che-6	182823	protein_coding
WBGene00000488	che-7	184979	protein_coding
WBGene00000490	che-11	179666	protein_coding
WBGene00000491	che-12	179433	protein_coding
WBGene00000492	che-13	186607	protein_coding
WBGene00000493	che-14	172240	protein_coding
WBGene00000496	chs-1	172508	protein_coding
WBGene00000497	chs-2	173405	protein_coding
WBGene00000498	chk-1	3565921	protein_coding
WBGene00000499	chk-2	180304	protein_coding
WBGene00000500	chn-1	172303	protein_coding
WBGene00000501	cho-1	178274	protein_coding
WBGene00000502	chp-1	172138	protein_coding
WBGene00000503	cht-1	180628	protein_coding
WBGene00000506	cic-1	175357	protein_coding
WBGene00000507	cit-1.1	176125	protein_coding
WBGene00000508	cit-1.2	176126	protein_coding
WBGene00000509	cka-1	177807	protein_coding
WBGene00000510	cka-2	180703	protein_coding
WBGene00000511	ckb-1	181904	protein_coding
WBGene00000512	ckb-2	175565	protein_coding
WBGene00000513	ckb-3	181905	protein_coding
WBGene00000514	ckb-4	184864	protein_coding
WBGene00000515	ckc-1	188971	protein_coding
WBGene00000516	cki-1	174260	protein_coding
WBGene00000517	cki-2	174261	protein_coding
WBGene00000518	ckk-1	182278	protein_coding
WBGene00000519	cku-70	176546	protein_coding
WBGene00000520	cku-80	175578	protein_coding
WBGene00000521	cky-1	179743	protein_coding
WBGene00000522	clc-1	181293	protein_coding
WBGene00000523	clc-2	180999	protein_coding
WBGene00000524	clc-3	180625	protein_coding
WBGene00000525	clc-4	188095	protein_coding
WBGene00000526	clc-5	181000	protein_coding
WBGene00000527	cle-1	172678	protein_coding
WBGene00000528	clh-1	174821	protein_coding
WBGene00000529	clh-2	174738	protein_coding
WBGene00000530	clh-3	174187	protein_coding
WBGene00000531	clh-4	180687	protein_coding
WBGene00000532	clh-5	174449	protein_coding
WBGene00000533	clh-6	179655	protein_coding
WBGene00000534	cpi-2	178992	protein_coding
WBGene00000535	cpi-1	177372	protein_coding
WBGene00000536	clk-1	175729	protein_coding
WBGene00000537	clk-2	176065	protein_coding
WBGene00000539	cln-3.1	179559	protein_coding
WBGene00000540	cln-3.2	172171	protein_coding
WBGene00000541	cln-3.3	179249	protein_coding
WBGene00000542	clp-1	176122	protein_coding
WBGene00000543	clp-2	175618	protein_coding
WBGene00000544	clp-3	173089	protein_coding
WBGene00000545	clp-4	175326	protein_coding
WBGene00000546	clp-6	190738	protein_coding
WBGene00000547	clp-7	176953	protein_coding
WBGene00000548	clr-1	3565419	protein_coding
WBGene00000549	cls-2	176280	protein_coding
WBGene00000550	clu-1	176341	protein_coding
WBGene00000551	clx-1	177556	protein_coding
WBGene00000552	cmd-1	178614	protein_coding
WBGene00000553	cmk-1	176989	protein_coding
WBGene00000554	cnb-1	179572	protein_coding
WBGene00000555	cnc-1	187726	protein_coding
WBGene00000556	cnc-2	178637	protein_coding
WBGene00000557	cnc-3	178636	protein_coding
WBGene00000558	cnc-4	178635	protein_coding
WBGene00000559	cnc-5	187729	protein_coding
WBGene00000560	cnc-6	175324	protein_coding
WBGene00000561	cnd-1	183212	protein_coding
WBGene00000562	cng-1	180004	protein_coding
WBGene00000563	cng-3	3565463	protein_coding
WBGene00000564	cnk-1	187518	protein_coding
WBGene00000565	cnt-1	174848	protein_coding
WBGene00000566	cnt-2	176490	protein_coding
WBGene00000567	cnx-1	176390	protein_coding
WBGene00000583	cof-2	183582	protein_coding
WBGene00000584	cog-1	175149	protein_coding
WBGene00000585	cogc-2	177473	protein_coding
WBGene00000591	coh-1	181003	protein_coding
WBGene00000592	coh-3	179949	protein_coding
WBGene00000593	col-2	177872	protein_coding
WBGene00000594	col-3	177695	protein_coding
WBGene00000596	col-7	172494	protein_coding
WBGene00000597	col-8	175981	protein_coding
WBGene00000598	col-9	186210	protein_coding
WBGene00000599	col-10	179298	protein_coding
WBGene00000601	col-12	179453	protein_coding
WBGene00000602	col-13	179452	protein_coding
WBGene00000603	col-14	177559	protein_coding
WBGene00000606	col-17	173839	protein_coding
WBGene00000608	col-19	180397	protein_coding
WBGene00000609	col-20	173840	protein_coding
WBGene00000610	col-33	177191	protein_coding
WBGene00000611	col-34	177188	protein_coding
WBGene00000612	col-35	172492	protein_coding
WBGene00000613	col-36	174178	protein_coding
WBGene00000614	col-37	179668	protein_coding
WBGene00000615	col-38	174370	protein_coding
WBGene00000616	col-39	174651	protein_coding
WBGene00000617	col-40	173495	protein_coding
WBGene00000618	col-41	181610	protein_coding
WBGene00000620	col-43	179187	protein_coding
WBGene00000621	col-44	186211	protein_coding
WBGene00000622	col-45	171605	protein_coding
WBGene00000623	col-46	4363005	protein_coding
WBGene00000624	col-47	4363004	protein_coding
WBGene00000625	col-48	171873	protein_coding
WBGene00000626	col-49	187239	protein_coding
WBGene00000627	col-50	189050	protein_coding
WBGene00000628	col-51	189052	protein_coding
WBGene00000629	col-52	183885	protein_coding
WBGene00000630	col-53	172222	protein_coding
WBGene00000631	col-54	185226	protein_coding
WBGene00000632	col-55	188127	protein_coding
WBGene00000633	col-56	188271	protein_coding
WBGene00000634	col-58	184957	protein_coding
WBGene00000636	col-60	172445	protein_coding
WBGene00000637	col-61	182090	protein_coding
WBGene00000638	col-62	172495	protein_coding
WBGene00000639	col-63	172607	protein_coding
WBGene00000640	col-64	186127	protein_coding
WBGene00000641	col-65	187138	protein_coding
WBGene00000642	WBGene00000642		pseudogene
WBGene00000644	col-68	173395	protein_coding
WBGene00000645	col-69	186819	protein_coding
WBGene00000646	H17B01.2	186749	protein_coding
WBGene00000647	col-71	173695	protein_coding
WBGene00000648	col-72	173698	protein_coding
WBGene00000649	col-73	184366	protein_coding
WBGene00000650	col-74	173989	protein_coding
WBGene00000651	col-75	186968	protein_coding
WBGene00000652	col-76	174320	protein_coding
WBGene00000653	col-77	174336	protein_coding
WBGene00000654	col-78	189274	protein_coding
WBGene00000655	col-79	174650	protein_coding
WBGene00000656	col-80	174652	protein_coding
WBGene00000657	col-81	174686	protein_coding
WBGene00000658	col-83	185221	protein_coding
WBGene00000659	col-84	174824	protein_coding
WBGene00000660	col-85	188672	protein_coding
WBGene00000661	col-86	190749	protein_coding
WBGene00000662	col-87	3565880	protein_coding
WBGene00000663	col-88	175170	protein_coding
WBGene00000664	col-89	175627	protein_coding
WBGene00000665	col-90	176117	protein_coding
WBGene00000666	col-91	184269	protein_coding
WBGene00000667	col-92	176528	protein_coding
WBGene00000668	col-93	259335	protein_coding
WBGene00000669	col-94	259336	protein_coding
WBGene00000670	col-95	176602	protein_coding
WBGene00000671	col-96	353461	protein_coding
WBGene00000672	col-97	176721	protein_coding
WBGene00000673	col-98	176724	protein_coding
WBGene00000674	col-99	185112	protein_coding
WBGene00000675	col-101	176854	protein_coding
WBGene00000676	col-102	182802	protein_coding
WBGene00000677	col-103	176901	protein_coding
WBGene00000678	col-104	176947	protein_coding
WBGene00000679	col-105	186529	protein_coding
WBGene00000680	col-106	176955	protein_coding
WBGene00000681	col-107	176961	protein_coding
WBGene00000682	col-108	176985	protein_coding
WBGene00000683	col-109	176988	protein_coding
WBGene00000684	col-110	177225	protein_coding
WBGene00000685	col-111	177230	protein_coding
WBGene00000687	col-113	177487	protein_coding
WBGene00000688	col-114	177500	protein_coding
WBGene00000689	col-115	189843	protein_coding
WBGene00000690	col-116	184617	protein_coding
WBGene00000691	col-117	177694	protein_coding
WBGene00000692	col-118	177699	protein_coding
WBGene00000693	col-119	177715	protein_coding
WBGene00000694	col-120	177748	protein_coding
WBGene00000695	col-121	177771	protein_coding
WBGene00000696	col-122	177789	protein_coding
WBGene00000697	col-123	177823	protein_coding
WBGene00000698	col-124	177901	protein_coding
WBGene00000699	col-125	178029	protein_coding
WBGene00000700	col-126	178034	protein_coding
WBGene00000701	col-127	186228	protein_coding
WBGene00000702	col-128	178076	protein_coding
WBGene00000703	col-129	178155	protein_coding
WBGene00000704	col-130	178193	protein_coding
WBGene00000705	col-131	178254	protein_coding
WBGene00000706	col-132	183347	protein_coding
WBGene00000707	col-133	186083	protein_coding
WBGene00000708	col-135	3565413	protein_coding
WBGene00000709	WBGene00000709		pseudogene
WBGene00000710	col-137	190149	protein_coding
WBGene00000711	col-138	183722	protein_coding
WBGene00000712	col-139	178857	protein_coding
WBGene00000713	col-140	178971	protein_coding
WBGene00000714	col-141	188515	protein_coding
WBGene00000715	col-142	188514	protein_coding
WBGene00000716	col-143	179073	protein_coding
WBGene00000717	col-144	179296	protein_coding
WBGene00000718	col-145	179297	protein_coding
WBGene00000719	col-146	188178	protein_coding
WBGene00000720	col-147	179351	protein_coding
WBGene00000721	col-148	182542	protein_coding
WBGene00000722	col-149	179431	protein_coding
WBGene00000723	col-150	181814	protein_coding
WBGene00000724	col-151	179448	protein_coding
WBGene00000725	col-152	185212	protein_coding
WBGene00000726	col-153	179517	protein_coding
WBGene00000727	col-154	186300	protein_coding
WBGene00000728	col-155	186301	protein_coding
WBGene00000729	col-156	186439	protein_coding
WBGene00000730	col-157	188426	protein_coding
WBGene00000731	col-158	179619	protein_coding
WBGene00000732	col-159	179803	protein_coding
WBGene00000733	col-160	179804	protein_coding
WBGene00000734	col-161	179812	protein_coding
WBGene00000735	col-162	179825	protein_coding
WBGene00000736	col-163	3564794	protein_coding
WBGene00000737	col-164	180523	protein_coding
WBGene00000738	col-165	180710	protein_coding
WBGene00000739	col-166	180902	protein_coding
WBGene00000740	col-167	180907	protein_coding
WBGene00000741	col-168	180908	protein_coding
WBGene00000742	col-169	180909	protein_coding
WBGene00000743	col-170	353462	protein_coding
WBGene00000744	col-171	353463	protein_coding
WBGene00000745	col-172	180934	protein_coding
WBGene00000746	col-173	180960	protein_coding
WBGene00000747	col-174	181014	protein_coding
WBGene00000748	col-175	24104282	protein_coding
WBGene00000749	col-176	181219	protein_coding
WBGene00000750	col-177	181290	protein_coding
WBGene00000751	col-178	181307	protein_coding
WBGene00000752	col-179	181308	protein_coding
WBGene00000753	col-180	181356	protein_coding
WBGene00000754	col-181	181378	protein_coding
WBGene00000755	WBGene00000755		pseudogene
WBGene00000756	col-183	184081	protein_coding
WBGene00000757	col-184	181470	protein_coding
WBGene00000758	col-185	3565052	protein_coding
WBGene00000759	col-186	184015	protein_coding
WBGene00000760	col-187	181685	protein_coding
WBGene00000761	coq-1	172190	protein_coding
WBGene00000762	coq-2	175969	protein_coding
WBGene00000763	coq-3	178403	protein_coding
WBGene00000764	coq-4	171966	protein_coding
WBGene00000765	coq-5	176099	protein_coding
WBGene00000766	coq-6	179316	protein_coding
WBGene00000767	coq-8	175647	protein_coding
WBGene00000768	cor-1	176440	protein_coding
WBGene00000770	cpb-1	176310	protein_coding
WBGene00000771	cpb-2	174027	protein_coding
WBGene00000772	cpb-3	172244	protein_coding
WBGene00000773	cpf-1	174378	protein_coding
WBGene00000774	cpf-2	176742	protein_coding
WBGene00000775	cpin-1	185473	protein_coding
WBGene00000776	cpl-1	180111	protein_coding
WBGene00000777	cpn-1	172660	protein_coding
WBGene00000778	cpn-2	173424	protein_coding
