Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00012215	W02D9.9	189123	protein_coding
WBGene00012216	W02D9.10	173125	protein_coding
WBGene00012217	W02H3.1	189130	protein_coding
WBGene00012218	WBGene00012218		pseudogene
WBGene00012219	W03C9.1	174832	protein_coding
WBGene00012220	W03C9.2	174833	protein_coding
WBGene00012221	W03C9.5	174835	protein_coding
WBGene00012222	W03C9.6	189149	protein_coding
WBGene00012223	W03C9.8	174831	protein_coding
WBGene00012224	W03G11.2	189172	protein_coding
WBGene00012225	W03G11.3	189173	protein_coding
WBGene00012226	W03G11.4	181377	protein_coding
WBGene00012227	W03H9.1	189177	protein_coding
WBGene00012228	W03H9.2	175068	protein_coding
WBGene00012230	cacn-1	175066	protein_coding
WBGene00012231	W04A4.2	189178	protein_coding
WBGene00012232	W04A4.3	189179	protein_coding
WBGene00012233	clpr-1	189180	protein_coding
WBGene00012234	ints-4	173238	protein_coding
WBGene00012235	W04A4.6	3565636	protein_coding
WBGene00012236	W04A8.1	173252	protein_coding
WBGene00012237	W04A8.2	189181	protein_coding
WBGene00012238	W04A8.3	173254	protein_coding
WBGene00012239	W04A8.4	173253	protein_coding
WBGene00012240	W04A8.5	173255	protein_coding
WBGene00012241	W04A8.6	173256	protein_coding
WBGene00012242	srt-39	189186	protein_coding
WBGene00012243	W04D2.4	179712	protein_coding
WBGene00012244	mrps-11	179711	protein_coding
WBGene00012245	rbm-25	259655	protein_coding
WBGene00012246	fbxa-131	189188	protein_coding
WBGene00012247	W04E12.2	189189	protein_coding
WBGene00012248	W04E12.3	189190	protein_coding
WBGene00012249	W04E12.4	189191	protein_coding
WBGene00012250	W04E12.5	189192	protein_coding
WBGene00012251	clec-49	180298	protein_coding
WBGene00012252	W04E12.7	189193	protein_coding
WBGene00012253	clec-50	180299	protein_coding
WBGene00012254	W04E12.9	3564901	protein_coding
WBGene00012255	lpr-6	181296	protein_coding
WBGene00012256	lpr-5	181297	protein_coding
WBGene00012257	lpr-4	181298	protein_coding
WBGene00012258	W04G3.5	181299	protein_coding
WBGene00012259	sulp-7	189195	protein_coding
WBGene00012260	W04G3.7	189196	protein_coding
WBGene00012261	lpr-3	181295	protein_coding
WBGene00012264	W04G5.3	189199	protein_coding
WBGene00012265	W04G5.4	189200	protein_coding
WBGene00012266	W04G5.5	189201	protein_coding
WBGene00012267	W04G5.7	189202	protein_coding
