Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0034833	CG13539	BF505390	37680	37680	protein_coding
FBgn0031248	CG11912	AX154763	33205	33205	protein_coding
FBgn0264738	CG43996		32689	32689	protein_coding
FBgn0023542	Nmd3	AA439239	31195	31195	protein_coding
FBgn0036488	CG6878	BI623764	39656	39656	protein_coding
FBgn0035730	CG17744	AY089222	38768	38768	protein_coding
FBgn0035546	CG11345		38548	38548	protein_coding
FBgn0265674	lncRNA:CR44481		19835396	19835396	lncRNA
FBgn0031471	CG3117		33484	33484	protein_coding
FBgn0267475	lncRNA:CR45825		26067153	26067153	lncRNA
FBgn0085250	CG34221		5740574	5740574	protein_coding
FBgn0031254	CG13692		33216	33216	protein_coding
FBgn0053060	CG33060	BE662052	39807	39807	protein_coding
FBgn0037449	CG15185		40798	40798	protein_coding
FBgn0015618	Cdk8	BI171541	39157	39157	protein_coding
FBgn0037356	CG12170	BT001769	40692	40692	protein_coding
FBgn0037447	Neurochondrin	AW943621	40796	40796	protein_coding
FBgn0032987	RpL21	BT001760	35453	35453	protein_coding
FBgn0031580	CG15423		33616	33616	protein_coding
FBgn0038796	eIF3g2		42422	42422	protein_coding
FBgn0033101	CG9436	AI455522	35586	35586	protein_coding
FBgn0034643	CG10321	AW943786	37464	37464	protein_coding
FBgn0033100	CG3420	BI242904	35585	35585	protein_coding
FBgn0259789	zld	AJ427017	32994	32994	protein_coding
FBgn0038738	CG4572	CZ487872	42360	42360	protein_coding
FBgn0085414	dpr12		50320	50320	protein_coding
FBgn0035233	Pex10	AY069290	38182	38182	protein_coding
FBgn0038655	CG14297	AI946655	42260	42260	protein_coding
FBgn0032609	CG13280	CL705932	35015	35015	protein_coding
FBgn0038816	Lrrk	CZ481435	42447	42447	protein_coding
FBgn0260856	Membrin	CZ471323	38614	38614	protein_coding
FBgn0038458	VhaM9.7-d		42041	42041	protein_coding
FBgn0030869	Socs16D	BG640143	32760	32760	protein_coding
FBgn0004908	Arl2	AA694792	40993	40993	protein_coding
FBgn0042112	mRpL36	BG633552	59151	59151	protein_coding
FBgn0262986	CG43294		12798218	12798218	protein_coding
FBgn0031831	COX5BL	BE662156	33919	33919	protein_coding
FBgn0085311	CG34282		42248	42248	protein_coding
FBgn0033834	CG4744	BF493932	36485	36485	protein_coding
FBgn0263740	eIF2gamma		41843	41843	protein_coding
FBgn0286741	CG46383		39877387	39877387	protein_coding
FBgn0259711	CG42365	BI353781	37469	37469	protein_coding
FBgn0038474	mRpS11	AY095194	42061	42061	protein_coding
FBgn0040899	CG17776		50373	50373	protein_coding
FBgn0052451	SPoCk	CZ472383	40495	40495	protein_coding
FBgn0051778	CG31778	AA697741	261616	261616	protein_coding
FBgn0032131	CG3841	BT003641	34278	34278	protein_coding
FBgn0259704	Nsun5	BI618671	7354421	7354421	protein_coding
FBgn0040715	CG15386		50188	50188	protein_coding
FBgn0263563	mir-4956		12797944	12797944	sncRNA
FBgn0005659	Ets98B	CZ469317	43334	43334	protein_coding
FBgn0035989	Tat	AY061003	39086	39086	protein_coding
FBgn0036740	Vps60	BI231871	39964	39964	protein_coding
FBgn0267307	lncRNA:CR45743		19836252	19836252	lncRNA
FBgn0050281	CG30281	AY060696	246525	246525	protein_coding
FBgn0028342	ATPsyndelta	AX777255	31950	31950	protein_coding
FBgn0052183	Ccn	CZ486099	39972	39972	protein_coding
FBgn0015019	CCT3	AY089543	42029	42029	protein_coding
FBgn0014411	Vps26	AA695102	31144	31144	protein_coding
FBgn0030739	SWIP		32594	32594	protein_coding
FBgn0250826	CG34160	AI947024	5740175	5740175	protein_coding
FBgn0034700	CG11269		37527	37527	protein_coding
FBgn0023527	CG3071	AJ569809	31213	31213	protein_coding
FBgn0265067	lncRNA:CR44178		19835357	19835357	lncRNA
FBgn0036343	CG14115		39487	39487	protein_coding
FBgn0033690	EndoG	AY094821	36309	36309	protein_coding
FBgn0027795	CG14785	AY058336	31094	31094	protein_coding
FBgn0025827	CG6421	AY071760	46813	46813	protein_coding
FBgn0263351	AP-2mu	AI533540	42642	42642	protein_coding
FBgn0051374	sals	AI256973	41377	41377	protein_coding
FBgn0032242	CG5355	AI238002	34421	34421	protein_coding
FBgn0036667	kud	AI295722	39882	39882	protein_coding
FBgn0034278	CG14488	AI946673	37030	37030	protein_coding
FBgn0261397	didum	BG632162	35680	35680	protein_coding
FBgn0286875	CG46397				protein_coding
FBgn0035360	CG1246	AY070918	38330	38330	protein_coding
FBgn0027280	l(1)G0193	CZ482326	31712	31712	protein_coding
FBgn0029827	CG6048		31528	31528	protein_coding
FBgn0267757	lncRNA:CR46088		26067405	26067405	lncRNA
FBgn0267576	lncRNA:CR45916		26067244	26067244	lncRNA
FBgn0037146	CG7470	AW941763	40443	40443	protein_coding
FBgn0036603	CG13062		39799	39799	protein_coding
FBgn0052568	CG32568	AI944521	32659	32659	protein_coding
FBgn0050472	CG30472		246634	246634	protein_coding
FBgn0267769	lncRNA:CR46100		26067417	26067417	lncRNA
FBgn0004655	wapl	AA950032	31187	31187	protein_coding
FBgn0032388	CG6686	AW942668	34608	34608	protein_coding
FBgn0032595	CG17996	BI352738	34998	34998	protein_coding
FBgn0042132	CG18809		59170	59170	protein_coding
FBgn0015797	Rab6	AY060261	34636	34636	protein_coding
FBgn0267494	Mst77Y-8Psi	GQ868250			pseudogene
FBgn0034933	CG3735	AW943306	37803	37803	protein_coding
FBgn0032521	CG7110	AI533592	34757	34757	protein_coding
FBgn0031692	TpnC25D	AY283601	33752	33752	protein_coding
FBgn0003447	sn	X17548	31717	31717	protein_coding
FBgn0000083	AnxB9	AW942105	42492	42492	protein_coding
FBgn0262144	CG42870		10178911	10178911	protein_coding
