Gene stable ID	Gene Name	Xenbase ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSXETG00000048563	ENSXETG00000048563				protein_coding
ENSXETG00000021764	st7	XB-GENE-1011816	st7	549753	protein_coding
ENSXETG00000041419	h3c14		h3c14	549390	protein_coding
ENSXETG00000011104	cyp2a13l		cyp2a13l	448207	protein_coding
ENSXETG00000048738	ENSXETG00000048738				protein_coding
ENSXETG00000041056	ENSXETG00000041056		LOC100495870	100495870	protein_coding
ENSXETG00000022315	cplx2	XB-GENE-945623	cplx2	493222	protein_coding
ENSXETG00000045128	dctn3	XB-GENE-6456297	dctn3	100125086	protein_coding
ENSXETG00000016012	lgals2	XB-GENE-1032899	lgals2	100144680	protein_coding
ENSXETG00000024438	slc66a3	XB-GENE-5946334	slc66a3	548684	protein_coding
ENSXETG00000016104	pde8a	XB-GENE-6051349	pde8a	100497070	protein_coding
ENSXETG00000008410	faxdc2	XB-GENE-855484	faxdc2	100496051	protein_coding
ENSXETG00000022131	chst2	XB-GENE-991540	chst2	549916	protein_coding
ENSXETG00000035895	slc6a20	XB-GENE-970112	slc6a20	100497079	protein_coding
ENSXETG00000022644	fbxo11	XB-GENE-952929	fbxo11	100036658	protein_coding
ENSXETG00000041172	ENSXETG00000041172				protein_coding
ENSXETG00000047431	ENSXETG00000047431				protein_coding
ENSXETG00000002725	bpnt1	XB-GENE-987855	bpnt1	100488833	protein_coding
ENSXETG00000013737	atl2	XB-GENE-947235	atl2	100379898	protein_coding
ENSXETG00000035092	cdc42ep1	XB-GENE-940002	cdc42ep1	100379669	protein_coding
ENSXETG00000021284	armc2	XB-GENE-958644	armc2	100496180	protein_coding
ENSXETG00000044203	ENSXETG00000044203				protein_coding
ENSXETG00000042118	ENSXETG00000042118		LOC108647925	108647925	protein_coding
ENSXETG00000032509	nmur1	XB-GENE-940641	nmur1	100498264	protein_coding
ENSXETG00000046797	ENSXETG00000046797		LOC116408255	116408255	protein_coding
ENSXETG00000001625	slc9a9	XB-GENE-6045417	slc9a9	100489978	protein_coding
ENSXETG00000008409	cnot8	XB-GENE-960216	cnot8	549332	protein_coding
ENSXETG00000042534	ENSXETG00000042534		LOC116410824	116410824	protein_coding
ENSXETG00000016016	elfn2	XB-GENE-1001551	elfn2	100170580	protein_coding
ENSXETG00000022316	thoc3	XB-GENE-991069	kiaa1191	100145417	protein_coding
ENSXETG00000025853	cox7a2	XB-GENE-1003868	cox7a2	100125145	protein_coding
ENSXETG00000046054	ENSXETG00000046054				protein_coding
ENSXETG00000006706	pkp3	XB-GENE-489317	pkp3	100498319	protein_coding
ENSXETG00000029983	tcaf1	XB-GENE-5730808	tcaf1	100145172	protein_coding
