Gene stable ID	Gene Name	Xenbase ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSXETG00000034361	nd1	XB-GENE-6466716	ND1	3283492	protein_coding
ENSXETG00000034365	nd2	XB-GENE-6454984	ND2	3283493	protein_coding
ENSXETG00000034371	COX1		COX1	3283494	protein_coding
ENSXETG00000034374	cox2	XB-GENE-22250304	COX2	3283495	protein_coding
ENSXETG00000034376	ATP8		ATP8	3283496	protein_coding
ENSXETG00000034377	ATP6		ATP6	3283497	protein_coding
ENSXETG00000034378	cox3	XB-GENE-6485458	COX3	3283498	protein_coding
ENSXETG00000034380	nd3	XB-GENE-6485496	ND3	3283499	protein_coding
ENSXETG00000034382	nd4l	XB-GENE-6454958	ND4L	3283500	protein_coding
ENSXETG00000034383	nd4	XB-GENE-6454957	ND4	3283501	protein_coding
ENSXETG00000034387	nd5	XB-GENE-6454956	ND5	3283502	protein_coding
ENSXETG00000034388	nd6	XB-GENE-6454955	ND6	3283503	protein_coding
ENSXETG00000034390	cytb	XB-GENE-6454954	CYTB	3283504	protein_coding
ENSXETG00000047232	ENSXETG00000047232				protein_coding
ENSXETG00000047867	ENSXETG00000047867		LOC100493914	100493914	protein_coding
ENSXETG00000046667	ENSXETG00000046667				protein_coding
ENSXETG00000036341	fat4	XB-GENE-981052	fat4	100145590	protein_coding
ENSXETG00000044936	npffr2	XB-GENE-994428	npffr2	100498122	protein_coding
ENSXETG00000047955	ENSXETG00000047955				protein_coding
ENSXETG00000042071	ENSXETG00000042071				protein_coding
ENSXETG00000048632	ENSXETG00000048632				protein_coding
ENSXETG00000043217	ENSXETG00000043217				protein_coding
ENSXETG00000044905	ENSXETG00000044905				protein_coding
ENSXETG00000041504	ENSXETG00000041504				protein_coding
ENSXETG00000048207	ENSXETG00000048207				protein_coding
ENSXETG00000048837	ENSXETG00000048837				protein_coding
ENSXETG00000046504	ENSXETG00000046504				protein_coding
ENSXETG00000042580	ENSXETG00000042580				protein_coding
ENSXETG00000044746	ENSXETG00000044746				protein_coding
ENSXETG00000013654	lingo3	XB-GENE-6051175	lingo3	100497438	protein_coding
ENSXETG00000026093	fga	XB-GENE-478771	fga	100038060	protein_coding
ENSXETG00000022431	fgb	XB-GENE-483216	fgb	594921	protein_coding
ENSXETG00000022434	plrg1	XB-GENE-964754	plrg1	394977	protein_coding
ENSXETG00000039430	ENSXETG00000039430		LOC105945457	105945457	protein_coding
ENSXETG00000027610	naaa	XB-GENE-1006650	naaa	448239	protein_coding
ENSXETG00000031849	ppef2	XB-GENE-956418	ppef2	100496073	protein_coding
ENSXETG00000001810	etv2	XB-GENE-5799180	dchs2	100485624	protein_coding
ENSXETG00000026087	sfrp2	XB-GENE-485147	sfrp2	394659	protein_coding
ENSXETG00000021533	prdm8	XB-GENE-984391	prdm8	733976	protein_coding
ENSXETG00000034866	cplx1	XB-GENE-5815523	cplx1	100124828	protein_coding
ENSXETG00000018866	ercc8	XB-GENE-1000476	ercc8	549933	protein_coding
ENSXETG00000014102	ppa1	XB-GENE-985712	ppa1	549884	protein_coding
ENSXETG00000004045	fabp2	XB-GENE-485137	fabp2	100101805	protein_coding
ENSXETG00000021098	etnppl	XB-GENE-968831	etnppl	100124921	protein_coding
ENSXETG00000009427	aga	XB-GENE-1001622	aga	100485379	protein_coding
ENSXETG00000030606	neil3	XB-GENE-1001611	neil3	549955	protein_coding
ENSXETG00000047496	fgf5	XB-GENE-482346	fgf5	100486176	protein_coding
ENSXETG00000001003	trpc3	XB-GENE-1014039	trpc3	100490905	protein_coding
ENSXETG00000003663	pcdh10	XB-GENE-5866461	pcdh10	779938	protein_coding
ENSXETG00000044588	jund.2	XB-GENE-1021801	jund.2	100485288	protein_coding
ENSXETG00000044682	tlr2	XB-GENE-481145	tlr2	100485771	protein_coding
ENSXETG00000001817	ENSXETG00000001817				protein_coding
ENSXETG00000015285	dmrt3	XB-GENE-995121	dmrt3	100495546	protein_coding
ENSXETG00000002277	dmrt1	XB-GENE-852569	dmrt1	100488257	protein_coding
ENSXETG00000030005	tmem132b	XB-GENE-6037549	tmem132b	100489844	protein_coding
ENSXETG00000002234	slc46a2	XB-GENE-988711	slc46a2	100487507	protein_coding
ENSXETG00000000805	auh	XB-GENE-963000	auh	548406	protein_coding
ENSXETG00000000804	nfil3	XB-GENE-479624	nfil3	548427	protein_coding
ENSXETG00000008148	rorb.2	XB-GENE-922434	rorb.2	100491456	protein_coding
ENSXETG00000008147	abhd17a	XB-GENE-5820301	abhd17a	496639	protein_coding
ENSXETG00000008146	rexo1	XB-GENE-961786	rexo1	100145565	protein_coding
ENSXETG00000008135	atp8b3	XB-GENE-992174	atp8b3	100490666	protein_coding
ENSXETG00000033061	ctxn3	XB-GENE-5811089	ctxn3	100216131	protein_coding
ENSXETG00000040565	onecut3	XB-GENE-484505	onecut3	100491290	protein_coding
ENSXETG00000045030	ENSXETG00000045030				protein_coding
ENSXETG00000044906	ENSXETG00000044906				protein_coding
ENSXETG00000042190	ENSXETG00000042190				protein_coding
ENSXETG00000003622	cep78	XB-GENE-5884411	cep78	100037836	protein_coding
ENSXETG00000003623	psat1	XB-GENE-1016013	psat1	549336	protein_coding
ENSXETG00000002931	fzd10		fzd10	448162	protein_coding
ENSXETG00000021616	ENSXETG00000021616				protein_coding
ENSXETG00000021658	dgcr6	XB-GENE-998943	dgcr6	100125791	protein_coding
ENSXETG00000021256	slc25a46	XB-GENE-5803974	slc25a46	548884	protein_coding
ENSXETG00000009177	tdgf1.3	XB-GENE-482448	tdgf1.3	779849	protein_coding
ENSXETG00000021258	tmem232	XB-GENE-953024	tmem232	100492950	protein_coding
ENSXETG00000023155	nek1	XB-GENE-983162	nek1	100036653	protein_coding
ENSXETG00000013061	yjefn3	XB-GENE-6044539	yjefn3	100491448	protein_coding
ENSXETG00000017824	ENSXETG00000017824		LOC100493912	100493912	protein_coding
ENSXETG00000034886	tlx2	XB-GENE-5995963	tlx2	100493739	protein_coding
ENSXETG00000038812	mfsd14bl	XB-GENE-22168215	mfsd14bl	100216076	protein_coding
ENSXETG00000009350	sfswap	XB-GENE-489668	sfswap	100127199	protein_coding
ENSXETG00000026198	ENSXETG00000026198				protein_coding
ENSXETG00000002278	kank1	XB-GENE-876859	kank1	733504	protein_coding
ENSXETG00000010267	XB5909790 [provisional]	XB-GENE-5909791	XB5909790	100170420	protein_coding
ENSXETG00000017583	dtwd2	XB-GENE-5735070	dtwd2	549361	protein_coding
ENSXETG00000023109	adamtsl1	XB-GENE-987230	adamtsl1	100494603	protein_coding
ENSXETG00000018597	aldh3b1	XB-GENE-5749635	aldh3b1	548883	protein_coding
ENSXETG00000040875	mmab	XB-GENE-998883	mmab	100496049	protein_coding
ENSXETG00000041813	ENSXETG00000041813				protein_coding
ENSXETG00000018603	mvk	XB-GENE-998892	mvk	100492928	protein_coding
ENSXETG00000017078	s100z	XB-GENE-5897993	s100z	100489987	protein_coding
ENSXETG00000035873	st8sia4	XB-GENE-950930	st8sia4	100036733	protein_coding
ENSXETG00000021114	anxa5	XB-GENE-1007295	anxa5	493545	protein_coding
ENSXETG00000000592	rcl1	XB-GENE-962711	rcl1	100497943	protein_coding
ENSXETG00000016412	rasal1	XB-GENE-942936	rasal1	493411	protein_coding
ENSXETG00000048112	ENSXETG00000048112				protein_coding
ENSXETG00000049298	ENSXETG00000049298				protein_coding
ENSXETG00000042319	hint2	XB-GENE-5944157	hint2	496618	protein_coding
ENSXETG00000010183	anp32b	XB-GENE-988727	anp32b	594955	protein_coding
ENSXETG00000021106	cyp2u1	XB-GENE-1007290	cyp2u1	100127656	protein_coding
ENSXETG00000017645	SART3				protein_coding
ENSXETG00000012179	rtn4r	XB-GENE-6065292	rtn4r	100485966	protein_coding
ENSXETG00000002259	pitpnb.2	XB-GENE-949250	pitpnb.2	780070	protein_coding
ENSXETG00000049308	ENSXETG00000049308				protein_coding
ENSXETG00000016155	smtn	XB-GENE-951898	smtn	100216161	protein_coding
ENSXETG00000045548	tmem233	XB-GENE-13579854	tmem233	101731370	protein_coding
ENSXETG00000000588	ak3	XB-GENE-977028	ak3	100170447	protein_coding
ENSXETG00000039548	st8sia5	XB-GENE-988459	st8sia5	100036735	protein_coding
ENSXETG00000002245	frmpd1	XB-GENE-954374	frmpd1	101732285	protein_coding
ENSXETG00000030275	mif	XB-GENE-487448	mif	100134996	protein_coding
ENSXETG00000021105	hadh	XB-GENE-1007278	hadh	496484	protein_coding
ENSXETG00000048987	ENSXETG00000048987				protein_coding
ENSXETG00000037570	chsy3	XB-GENE-980444	chsy3	100494038	protein_coding
ENSXETG00000027428	iscu	XB-GENE-946406	iscu	394688	protein_coding
ENSXETG00000014338	armc6	XB-GENE-953885	armc6	448573	protein_coding
ENSXETG00000026945	prkab1	XB-GENE-970882	prkab1	100380160	protein_coding
ENSXETG00000024487	acer2	XB-GENE-1015552	acer2	549870	protein_coding
ENSXETG00000042204	ENSXETG00000042204				protein_coding
ENSXETG00000000595	cdc37l1	XB-GENE-984706	cdc37l1	733511	protein_coding
ENSXETG00000021102	lef1	XB-GENE-485517	lef1	100493178	protein_coding
ENSXETG00000000759	rfk	XB-GENE-1010122	rfk	549713	protein_coding
ENSXETG00000036153	ENSXETG00000036153				protein_coding
ENSXETG00000009377	mob3b	XB-GENE-1011429	mob3b	549370	protein_coding
ENSXETG00000034895	C4orf46				protein_coding
ENSXETG00000022939	ENSXETG00000022939		LOC100486206	100486206	protein_coding
ENSXETG00000049441	ENSXETG00000049441		LOC101731470	101731470	protein_coding
ENSXETG00000031297	SIGLEC15				protein_coding
ENSXETG00000030450	sugp2	XB-GENE-490827	sugp2	100038112	protein_coding
ENSXETG00000007119	slc10a7	XB-GENE-489389	slc10a7	448418	protein_coding
ENSXETG00000042242	tmem119	XB-GENE-5796050	tmem119	100379832	protein_coding
ENSXETG00000047568	slc14a2	XB-GENE-977910	slc14a2	100487788	protein_coding
ENSXETG00000036088	tomm5	XB-GENE-1003661	tomm5	100380083	protein_coding
ENSXETG00000031305	minar2	XB-GENE-980432	minar2	101733786	protein_coding
ENSXETG00000000760	gcnt1	XB-GENE-996858	gcnt1	100490337	protein_coding
ENSXETG00000030157	smc5	XB-GENE-953072	smc5	100485531	protein_coding
ENSXETG00000023661	fam13a	XB-GENE-991906	fam13a	100488957	protein_coding
ENSXETG00000032054	tmem17	XB-GENE-5865173	tmem17	100124937	protein_coding
ENSXETG00000002592	txn	XB-GENE-5895392	txn	496541	protein_coding
ENSXETG00000004044	usp53	XB-GENE-960675	usp53	100158512	protein_coding
ENSXETG00000032613	adamts19	XB-GENE-980450	adamts19	100494209	protein_coding
ENSXETG00000039864	micos13	XB-GENE-1004044	micos13	100489521	protein_coding
ENSXETG00000040617	REELD1		reeld1	100485235	protein_coding
ENSXETG00000006532	fbxo10	XB-GENE-987647	fbxo10	100493653	protein_coding
ENSXETG00000010186	coro2a	XB-GENE-492690	coro2a	100485579	protein_coding
ENSXETG00000016154	ENSXETG00000016154		inpp5j	779554	protein_coding
ENSXETG00000016413	dtx1	XB-GENE-481116	dtx1	100127181	protein_coding
ENSXETG00000023099	slc24a2	XB-GENE-483618	slc24a2	100494112	protein_coding
ENSXETG00000014342	hsd11b1l	XB-GENE-5851849	hsd11b1l	100037875	protein_coding
ENSXETG00000023683	lsm6	XB-GENE-1007008	lsm6	779701	protein_coding
ENSXETG00000026537	gadd45g		gadd45g	448442	protein_coding
ENSXETG00000046020	ENSXETG00000046020				protein_coding
ENSXETG00000003335	slc7a11	XB-GENE-960114	slc7a11	100496726	protein_coding
ENSXETG00000014344	celf5	XB-GENE-494002	celf5	100036604	protein_coding
ENSXETG00000006533	polr1e	XB-GENE-1003651	polr1e	100145368	protein_coding
ENSXETG00000023395	alb	XB-GENE-480330	alb	448227	protein_coding
ENSXETG00000033124	mrpl52	XB-GENE-995673	mrpl52	100124974	protein_coding
ENSXETG00000030483	spata6l	XB-GENE-984718	spata6l	779679	protein_coding
ENSXETG00000010200	ecpas	XB-GENE-967168	ecpas	733889	protein_coding
ENSXETG00000039318	inip	XB-GENE-988714	inip	100380060	protein_coding
ENSXETG00000042223	XB5771954 [provisional:nnmt]	XB-GENE-5771955	XB5771954	100493148	protein_coding
ENSXETG00000043501	ENSXETG00000043501				protein_coding
ENSXETG00000037401	ENSXETG00000037401				protein_coding
ENSXETG00000022669	mmp14	XB-GENE-485643	mmp14	594950	protein_coding
ENSXETG00000041921	ENSXETG00000041921				protein_coding
ENSXETG00000048368	ENSXETG00000048368		LOC101732943	101732943	protein_coding
ENSXETG00000046913	ENSXETG00000046913				protein_coding
ENSXETG00000023684	znf827	XB-GENE-1033048	znf827	100485396	protein_coding
ENSXETG00000030784	lyrm7	XB-GENE-963575	lyrm7	100124785	protein_coding
ENSXETG00000022900	grpel1	XB-GENE-973857	grpel1	548933	protein_coding
ENSXETG00000011719	tmem161b	XB-GENE-1001045	tmem161b	100488717	protein_coding
ENSXETG00000043975	ENSXETG00000043975				pseudogene
ENSXETG00000035871	ENSXETG00000035871				protein_coding
ENSXETG00000040941	ENSXETG00000040941				protein_coding
ENSXETG00000048155	U4		LOC116409274	116409274	sncRNA
ENSXETG00000047854	ENSXETG00000047854		LOC100495989	100495989	protein_coding
ENSXETG00000034071	ENSXETG00000034071		LOC100489379	100489379	protein_coding
ENSXETG00000048819	ENSXETG00000048819				protein_coding
ENSXETG00000011692	glis3	XB-GENE-984727	glis3	100496527	protein_coding
ENSXETG00000040688	ENSXETG00000040688				protein_coding
ENSXETG00000046402	ENSXETG00000046402				protein_coding
ENSXETG00000003614	taok2	XB-GENE-989623	prune2	780047	protein_coding
ENSXETG00000048269	ENSXETG00000048269				pseudogene
ENSXETG00000045908	ENSXETG00000045908				protein_coding
ENSXETG00000012803	chrna9	XB-GENE-983401	chrna9	100493319	protein_coding
ENSXETG00000048502	U4		LOC116409152	116409152	sncRNA
ENSXETG00000049380	ENSXETG00000049380				protein_coding
ENSXETG00000044297	ENSXETG00000044297				protein_coding
ENSXETG00000046547	ENSXETG00000046547				protein_coding
ENSXETG00000049213	ENSXETG00000049213				protein_coding
ENSXETG00000033078	XB5765006 [provisional:trim25]	XB-GENE-5765007	XB5765006	100489074	protein_coding
ENSXETG00000044783	mis18a	XB-GENE-1006498	mis18a	100486195	protein_coding
ENSXETG00000013757	rem2	XB-GENE-491229	rem2	100488324	protein_coding
ENSXETG00000043168	ENSXETG00000043168				protein_coding
ENSXETG00000008278	hint1	XB-GENE-1014427	hint1	548919	protein_coding
ENSXETG00000046996	ENSXETG00000046996				pseudogene
ENSXETG00000019628	ADGRV1				protein_coding
ENSXETG00000046792	U4		LOC116409154	116409154	sncRNA
ENSXETG00000025161	dazap2	XB-GENE-856567	dazap2	394961	protein_coding
ENSXETG00000038285	ENSXETG00000038285				protein_coding
ENSXETG00000041652	ENSXETG00000041652				protein_coding
ENSXETG00000035814	ENSXETG00000035814		LOC116409370	116409370	sncRNA
ENSXETG00000036218	ENSXETG00000036218		LOC101732780	101732780	protein_coding
ENSXETG00000047497	ENSXETG00000047497				protein_coding
ENSXETG00000045127	ENSXETG00000045127				protein_coding
ENSXETG00000012183	cit	XB-GENE-981097	cit	100145758	protein_coding
ENSXETG00000023685	mmaa	XB-GENE-978985	mmaa	100485077	protein_coding
ENSXETG00000046919	rflna	XB-GENE-986501	rflna	496417	protein_coding
ENSXETG00000048558	ENSXETG00000048558				protein_coding
ENSXETG00000044265	ENSXETG00000044265				pseudogene
ENSXETG00000038476	U4		LOC116409324	116409324	sncRNA
ENSXETG00000042980	ENSXETG00000042980				protein_coding
ENSXETG00000004761	rtbdn	XB-GENE-5817486	rtbdn	100496170	protein_coding
ENSXETG00000041564	ENSXETG00000041564				protein_coding
ENSXETG00000046577	clcnkb	XB-GENE-6049695	clcnkb	100487225	protein_coding
ENSXETG00000039395	SNORD59A		LOC116409369	116409369	sncRNA
ENSXETG00000044238	s1pr4	XB-GENE-988208	s1pr4	100490772	protein_coding
ENSXETG00000001048	trpm6	XB-GENE-958179	trpm6	100487366	protein_coding
ENSXETG00000023652	herc3	XB-GENE-968537	herc3	100488790	protein_coding
ENSXETG00000043254	U4		LOC116409138	116409138	sncRNA
ENSXETG00000041639	ENSXETG00000041639				pseudogene
ENSXETG00000049248	ENSXETG00000049248				protein_coding
ENSXETG00000042540	ENSXETG00000042540				protein_coding
ENSXETG00000044483	ENSXETG00000044483				protein_coding
ENSXETG00000035648	ENSXETG00000035648		or5f1l1.2	100488040	protein_coding
ENSXETG00000047254	ENSXETG00000047254				protein_coding
ENSXETG00000035205	ENSXETG00000035205		LOC101732409	101732409	protein_coding
ENSXETG00000039219	ENSXETG00000039219		LOC116409371	116409371	sncRNA
ENSXETG00000042801	U4		LOC116409218	116409218	sncRNA
ENSXETG00000033963	brpf3	XB-GENE-6092087	brpf3	779492	protein_coding
ENSXETG00000000909	fsd1l	XB-GENE-984316	fsd1l	100493108	protein_coding
ENSXETG00000038808	ENSXETG00000038808		LOC100496553	100496553	protein_coding
ENSXETG00000047219	ENSXETG00000047219				pseudogene
ENSXETG00000048239	ENSXETG00000048239				protein_coding
ENSXETG00000046640	ENSXETG00000046640				protein_coding
ENSXETG00000044529	ENSXETG00000044529				protein_coding
ENSXETG00000044312	ENSXETG00000044312		LOC116409359	116409359	sncRNA
ENSXETG00000004762	rnaseh2a	XB-GENE-945840	rnaseh2a	394751	protein_coding
ENSXETG00000045051	ENSXETG00000045051				protein_coding
ENSXETG00000044462	U4		LOC116409314	116409314	sncRNA
ENSXETG00000022346	nr2f2	XB-GENE-482566	nr2f2	100038039	protein_coding
ENSXETG00000046835	ENSXETG00000046835				pseudogene
ENSXETG00000048462	U4		LOC116409187	116409187	sncRNA
ENSXETG00000022623	rbm23	XB-GENE-494491	rbm23	100144745	protein_coding
ENSXETG00000044655	ENSXETG00000044655		LOC116409361	116409361	sncRNA
ENSXETG00000022306	uhrf1	XB-GENE-5821474	uhrf1	100491405	protein_coding
ENSXETG00000043890	ENSXETG00000043890				protein_coding
ENSXETG00000010209	smc2	XB-GENE-5826169	smc2	100486893	protein_coding
ENSXETG00000043664	ENSXETG00000043664				protein_coding
ENSXETG00000042039	U4		LOC116409257	116409257	sncRNA
ENSXETG00000040265	tmprss2.2	XB-GENE-22065949	tmprss2.2	100493729	protein_coding
ENSXETG00000043329	ENSXETG00000043329				pseudogene
ENSXETG00000036225	ENSXETG00000036225		LOC116409365	116409365	sncRNA
ENSXETG00000048655	ENSXETG00000048655				protein_coding
ENSXETG00000047763	U4		LOC116409166	116409166	sncRNA
ENSXETG00000006534	zbtb5	XB-GENE-1015618	zbtb5	550088	protein_coding
ENSXETG00000042999	ENSXETG00000042999		LOC116409364	116409364	sncRNA
ENSXETG00000046737	ENSXETG00000046737				protein_coding
ENSXETG00000045023	ENSXETG00000045023				pseudogene
ENSXETG00000004763	prdx2	XB-GENE-945852	prdx2	394597	protein_coding
ENSXETG00000014348	ncln	XB-GENE-1004030	ncln	595051	protein_coding
ENSXETG00000046700	U4		LOC116409315	116409315	sncRNA
ENSXETG00000015365	tbc1d22b	XB-GENE-961200	tbc1d22b	100380202	protein_coding
ENSXETG00000045468	ENSXETG00000045468				protein_coding
ENSXETG00000039037	fam227b	XB-GENE-6467558	fam227b	101733874	protein_coding
ENSXETG00000019051	klf9	XB-GENE-483889	klf9	100134994	protein_coding
ENSXETG00000048248	ENSXETG00000048248		LOC116409357	116409357	sncRNA
ENSXETG00000042347	ENSXETG00000042347				pseudogene
ENSXETG00000032076	mphosph8	XB-GENE-968247	mphosph8	100145122	protein_coding
ENSXETG00000041708	U4		LOC116409269	116409269	sncRNA
ENSXETG00000005081	gcnt4	XB-GENE-1011770	gcnt4	100492495	protein_coding
ENSXETG00000047040	ENSXETG00000047040				protein_coding
ENSXETG00000044122	ENSXETG00000044122		LOC116409358	116409358	sncRNA
ENSXETG00000013600	ap1m1	XB-GENE-1006856	ap1m1	394630	protein_coding
ENSXETG00000003807	neu3.1	XB-GENE-996645	neu3.1	100496715	protein_coding
ENSXETG00000030150	tph2	XB-GENE-958329	tph2	100486097	protein_coding
ENSXETG00000046029	ENSXETG00000046029				pseudogene
ENSXETG00000017037	cops6	XB-GENE-947827	cpe	100127580	protein_coding
ENSXETG00000011400	casr	XB-GENE-6065247	casr	100496505	protein_coding
ENSXETG00000044697	U4		LOC116409167	116409167	sncRNA
ENSXETG00000042248	ENSXETG00000042248		LOC116409362	116409362	sncRNA
ENSXETG00000047587	U4		LOC116409299	116409299	sncRNA
ENSXETG00000046179	ENSXETG00000046179				protein_coding
ENSXETG00000045322	ENSXETG00000045322				protein_coding
ENSXETG00000046891	ENSXETG00000046891				pseudogene
ENSXETG00000007352	hunk	XB-GENE-968418	hunk	100145703	protein_coding
ENSXETG00000005206	pkm	XB-GENE-485873	pkm	549224	protein_coding
ENSXETG00000048090	ENSXETG00000048090				protein_coding
ENSXETG00000046717	ENSXETG00000046717		LOC116409363	116409363	sncRNA
ENSXETG00000043425	U4		LOC116409259	116409259	sncRNA
ENSXETG00000026047	smad1	XB-GENE-1018193	smad1	493211	protein_coding
ENSXETG00000022049	nmrk2	XB-GENE-5806910	nmrk2	493441	protein_coding
ENSXETG00000040494	neu3.2	XB-GENE-22061928	neu3.2	100496083	protein_coding
ENSXETG00000047697	ENSXETG00000047697				pseudogene
ENSXETG00000041747	ENSXETG00000041747				protein_coding
ENSXETG00000010217	dnajc25		dnajc25	496999	protein_coding
ENSXETG00000047075	ENSXETG00000047075				protein_coding
ENSXETG00000042945	SNORD15		LOC116409353	116409353	sncRNA
ENSXETG00000048075	U4		LOC116409216	116409216	sncRNA
ENSXETG00000043834	ENSXETG00000043834				protein_coding
ENSXETG00000045581	ENSXETG00000045581				pseudogene
ENSXETG00000008132	ankrd17	XB-GENE-994421	ankrd17	100127573	protein_coding
ENSXETG00000026886	plpp2	XB-GENE-5816438	plpp2	394722	protein_coding
ENSXETG00000015370	mybph	XB-GENE-1018430	mybph	734124	protein_coding
ENSXETG00000039639	pspc1	XB-GENE-492866	pspc1	100489975	protein_coding
ENSXETG00000042908	ENSXETG00000042908				protein_coding
ENSXETG00000037798	ENSXETG00000037798				protein_coding
ENSXETG00000047244	ENSXETG00000047244				protein_coding
ENSXETG00000042352	ENSXETG00000042352				protein_coding
ENSXETG00000033668	neu3.3	XB-GENE-6049935	neu3.3	100496869	protein_coding
ENSXETG00000028188	SNORD15		LOC116409351	116409351	sncRNA
ENSXETG00000042104	ENSXETG00000042104				pseudogene
ENSXETG00000048006	U4		LOC116409311	116409311	sncRNA
ENSXETG00000047831	ENSXETG00000047831				protein_coding
ENSXETG00000027064	ENSXETG00000027064				protein_coding
ENSXETG00000030016	aff3	XB-GENE-1005828	aff3	100493499	protein_coding
ENSXETG00000035661	gng10	XB-GENE-5804909	gng10	100485891	protein_coding
ENSXETG00000037937	fgf7	XB-GENE-488183	fgf7	496833	protein_coding
ENSXETG00000044887	ENSXETG00000044887				protein_coding
ENSXETG00000043034	U4		LOC116409248	116409248	sncRNA
ENSXETG00000041421	ENSXETG00000041421				pseudogene
ENSXETG00000007969	ENSXETG00000007969		cyb5r1	100488016	protein_coding
ENSXETG00000040848	ENSXETG00000040848		LOC100497024	100497024	protein_coding
ENSXETG00000046533	ENSXETG00000046533				protein_coding
ENSXETG00000049461	fzd9	XB-GENE-478317	fzd9	100487936	protein_coding
ENSXETG00000043477	ENSXETG00000043477				protein_coding
ENSXETG00000003854	klhl34	XB-GENE-6030621	klhl34	100496316	protein_coding
ENSXETG00000015108	rdh7	XB-GENE-1194363	rdh7	549943	protein_coding
ENSXETG00000038707	ENSXETG00000038707				protein_coding
ENSXETG00000028273	SNORD15		LOC116409354	116409354	sncRNA
ENSXETG00000048517	ENSXETG00000048517				protein_coding
ENSXETG00000048088	ENSXETG00000048088				protein_coding
ENSXETG00000018162	fam151b	XB-GENE-5954319	fam151b	100487835	protein_coding
ENSXETG00000033344	ENSXETG00000033344				protein_coding
ENSXETG00000021269	b3galt9	XB-GENE-966471	pja2	100379719	protein_coding
ENSXETG00000006536	XB5814630 [provisional:inmt]	XB-GENE-953408	grhpr.2	493279	protein_coding
ENSXETG00000001690	suclg1	XB-GENE-478220	suclg1	594977	protein_coding
ENSXETG00000034852	ENSXETG00000034852				protein_coding
ENSXETG00000034138	ENSXETG00000034138		LOC100496130	100496130	protein_coding
ENSXETG00000043492	ENSXETG00000043492				protein_coding
ENSXETG00000042664	U4		LOC116409212	116409212	sncRNA
ENSXETG00000047034	ENSXETG00000047034				pseudogene
ENSXETG00000009635	letmd1	XB-GENE-962658	letmd1	548776	protein_coding
ENSXETG00000020233	wdr73	XB-GENE-5809223	wdr73	496983	protein_coding
ENSXETG00000046387	SNORD15		LOC116409352	116409352	sncRNA
ENSXETG00000046471	ENSXETG00000046471				protein_coding
ENSXETG00000044577	ENSXETG00000044577				protein_coding
ENSXETG00000007968	cenpo	XB-GENE-963144	LOC100487852	100487852	protein_coding
ENSXETG00000047314	ENSXETG00000047314				protein_coding
ENSXETG00000010042	gusb	XB-GENE-921780	gusb	100101670	protein_coding
ENSXETG00000008787	dtwd1	XB-GENE-944642	dtwd1	549942	protein_coding
ENSXETG00000031546	trpm3	XB-GENE-6037554	trpm3	100486999	protein_coding
ENSXETG00000007571	ENSXETG00000007571				protein_coding
ENSXETG00000044877	hoxc9	XB-GENE-482330	hoxc9	550010	protein_coding
ENSXETG00000036286	ENSXETG00000036286				protein_coding
ENSXETG00000041850	ENSXETG00000041850				pseudogene
ENSXETG00000020707	vps36	XB-GENE-954399	vps36	549223	protein_coding
ENSXETG00000045702	U4		LOC116409320	116409320	sncRNA
ENSXETG00000022626	prmt5	XB-GENE-975034	prmt5	100145788	protein_coding
ENSXETG00000004765	hook2	XB-GENE-991660	hook2	100497596	protein_coding
ENSXETG00000048772	ENSXETG00000048772				protein_coding
ENSXETG00000031319	or2t27	XB-GENE-6033195	or2t27	100485125	protein_coding
ENSXETG00000012802	rbm47	XB-GENE-976707	rbm47	100216039	protein_coding
ENSXETG00000036627	U2				sncRNA
ENSXETG00000034524	ENSXETG00000034524				protein_coding
ENSXETG00000043475	ENSXETG00000043475				protein_coding
ENSXETG00000002643	zmym2	XB-GENE-961591	zmym2	100144668	protein_coding
ENSXETG00000038338	BAK1		bak1	108645783	protein_coding
ENSXETG00000036289	ENSXETG00000036289				protein_coding
ENSXETG00000048354	ENSXETG00000048354				protein_coding
ENSXETG00000005963	ENSXETG00000005963				protein_coding
ENSXETG00000041602	ENSXETG00000041602		tmem200b	100497282	protein_coding
ENSXETG00000046707	ENSXETG00000046707		LOC100498066	100498066	protein_coding
ENSXETG00000014869	efna5	XB-GENE-488596	efna5	549176	protein_coding
ENSXETG00000039437	ENSXETG00000039437				protein_coding
ENSXETG00000049105	ENSXETG00000049105				pseudogene
ENSXETG00000044316	U4		LOC116409240	116409240	sncRNA
ENSXETG00000022051	cdc42se2	XB-GENE-5744421	cdc42se2	594923	protein_coding
ENSXETG00000013602	upf1	XB-GENE-6258022	upf1	100135270	protein_coding
ENSXETG00000022892	sorcs2	XB-GENE-956152	sorcs2	100489424	protein_coding
ENSXETG00000032810	ENSXETG00000032810				protein_coding
ENSXETG00000035409	ENSXETG00000035409				protein_coding
ENSXETG00000043390	ENSXETG00000043390				protein_coding
ENSXETG00000045368	U3		LOC116409074	116409074	sncRNA
ENSXETG00000025552	trarg1	XB-GENE-5890856	trarg1	448489	protein_coding
ENSXETG00000049137	ENSXETG00000049137				pseudogene
ENSXETG00000036227	ENSXETG00000036227				protein_coding
ENSXETG00000040700	piwil3	XB-GENE-6469412	piwil3	100496286	protein_coding
ENSXETG00000034983	ENSXETG00000034983				protein_coding
