Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT3G27260	GTE8	GTE8	822345	protein_coding
AT5G39910	AT5G39910	AT5G39910	833988	protein_coding
AT5G25120	CYP71B11	CYP71B11	832583	protein_coding
AT1G65160	AT1G65160	AT1G65160	842823	protein_coding
AT1G76780	AT1G76780	AT1G76780	844012	protein_coding
AT2G47510	FUM1	FUM1	819364	protein_coding
AT1G14000	VIK	VIK	837960	protein_coding
AT3G26135	AT3G26135	AT3G26135	28719320	protein_coding
AT5G59305	AT5G59305	AT5G59305	836049	protein_coding
AT5G65930	ZWI	ZWI	836723	protein_coding
AT3G21080	AT3G21080	AT3G21080	821660	protein_coding
AT2G40810	ATG18C	ATG18C	818678	protein_coding
AT1G68460	IPT1	IPT1	843175	protein_coding
AT2G19380	AT2G19380	AT2G19380	816456	protein_coding
AT3G28510	AT3G28510	AT3G28510	822481	protein_coding
AT4G24200	AT4G24200	AT4G24200	828521	protein_coding
AT1G79150	AT1G79150	AT1G79150	844256	protein_coding
AT4G03280	PETC	PETC	827996	protein_coding
AT3G20935	CYP705A28	CYP705A28	3768880	protein_coding
AT5G03780	TRFL10	TRFL10	831726	protein_coding
AT3G63390	AT3G63390	AT3G63390	825514	protein_coding
AT1G27350	AT1G27350	AT1G27350	839624	protein_coding
AT5G11670	NADP-ME2	NADP-ME2	831039	protein_coding
AT4G27180	ATK2	ATK2	828826	protein_coding
AT2G24470	AT2G24470	AT2G24470	816983	protein_coding
AT2G43840	UGT74F1	UGT74F1	818988	protein_coding
AT4G28440	AT4G28440	AT4G28440	828961	protein_coding
AT3G22360	AOX1B	AOX1B	821805	protein_coding
AT2G44530	AT2G44530	AT2G44530	819061	protein_coding
AT4G34180	AT4G34180	AT4G34180	829566	protein_coding
AT2G29840	AT2G29840	AT2G29840	817534	protein_coding
AT3G59800	AT3G59800	AT3G59800	825149	protein_coding
AT1G22060	AT1G22060	AT1G22060	838811	protein_coding
AT5G53170	FTSH11	FTSH11	835398	protein_coding
AT1G76410	ATL8	ATL8	843974	protein_coding
AT1G02030	AT1G02030	AT1G02030	839285	protein_coding
AT3G14690	CYP72A15	CYP72A15	820697	protein_coding
AT5G46360	KCO3	KCO3	834679	protein_coding
AT2G35430	AT2G35430	AT2G35430	818109	protein_coding
AT5G17280	AT5G17280	AT5G17280	831593	protein_coding
AT1G17580	MYA1	MYA1	838333	protein_coding
AT3G49050	AT3G49050	AT3G49050	824066	protein_coding
AT2G33796	AT2G33796	AT2G33796	2745579	protein_coding
AT4G22475	AT4G22475	AT4G22475	28720169	protein_coding
AT4G12730	FLA2	FLA2	826885	protein_coding
AT5G01220	SQD2	SQD2	831888	protein_coding
AT1G36030	AT1G36030	AT1G36030	840506	protein_coding
AT1G64800	AT1G64800	AT1G64800	28717398	protein_coding
AT4G30550	GGP3	GGP3	829178	protein_coding
AT4G14220	RHF1A	RHF1A	827062	protein_coding
AT1G02960	AT1G02960	AT1G02960	839363	protein_coding
AT1G28100	AT1G28100	AT1G28100	839703	protein_coding
AT5G61340	AT5G61340	AT5G61340	836255	protein_coding
AT2G01350	QPT	QPT	814663	protein_coding
AT1G79280	NUA	NUA	844268	protein_coding
AT5G17150	AT5G17150	AT5G17150	831579	protein_coding
AT1G59680	EDA1	EDA1	842259	protein_coding
AT1G78660	GGH1	GGH1	844202	protein_coding
AT5G48500	AT5G48500	AT5G48500	834906	protein_coding
AT5G11700	AT5G11700	AT5G11700	831042	protein_coding
AT1G53680	GSTU28	GSTU28	841805	protein_coding
AT2G14440	AT2G14440	AT2G14440	815932	protein_coding
AT1G30860	AT1G30860	AT1G30860	839970	protein_coding
AT2G29925	AT2G29925	AT2G29925	28718317	protein_coding
AT3G61820	AT3G61820	AT3G61820	825355	protein_coding
AT3G28340	GATL10	GATL10	822462	protein_coding
AT4G33060	AT4G33060	AT4G33060	829443	protein_coding
AT5G24352	AT5G24352	AT5G24352	5008223	protein_coding
AT3G21830	SK8	SK8	821737	protein_coding
AT5G07225	AT5G07225	AT5G07225	2745979	protein_coding
AT4G01610	AT4G01610	AT4G01610	826792	protein_coding
AT2G14070	AT2G14070	AT2G14070	815892	protein_coding
AT4G21260	AT4G21260	AT4G21260	827875	protein_coding
AT2G39430	AT2G39430	AT2G39430	818528	protein_coding
AT1G66360	AT1G66360	AT1G66360	842954	protein_coding
AT1G66900	AT1G66900	AT1G66900	843008	protein_coding
AT1G11660	AT1G11660	AT1G11660	837710	protein_coding
AT4G20570	AT4G20530	AT4G20530	827801	protein_coding
AT3G62528	AT3G62528	AT3G62528	6240539	protein_coding
AT1G62070	AT1G62070	AT1G62070	842503	protein_coding
AT2G35940	BLH1	BLH1	818167	protein_coding
