,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
TCF24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9126587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0717163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30914143,0.0,0.0,0.0,0.0,1.163338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2249736,1.5338248,0.72958183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEO1,0.0,0.0,0.0,0.0,0.0,0.21189007,0.0,0.0,0.060838245,0.72943956,0.0,0.0,0.48080385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05272337,0.0,0.0,0.0,1.497689,0.0,0.0,0.6388583,0.0,0.0,0.0,0.0,0.0,0.29815975,0.0,0.26682585,2.117882,0.0,1.3333138,0.0,0.0,2.4344811,0.39155617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22677137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASDURF,2.6412263,0.0,0.0,2.2914956,0.0,1.006349,0.0,0.0,0.0,1.5405623,0.0,0.0,0.0,2.0462642,2.2866073,0.0,2.8101954,2.6518018,0.0,2.3299751,0.0,2.2882683,3.307896,0.0,2.2276897,0.0,2.566588,1.3887593,2.531141,0.0,0.0,2.2491488,2.1028352,2.9825733,0.0,2.2257497,0.0,2.3436916,1.831756,0.6911347,2.3920088,0.0,0.0,2.537587,2.6340134,2.447585,1.0246729,1.7512027,0.0,0.0,0.0,0.76790816,0.0,0.0,2.7189193,1.0912516,2.3866243,0.0,0.0,1.1072344,0.0,0.0,0.0,0.0,0.0,1.2282588,0.0,0.0,0.0
SSX2,3.7024124,0.0,0.0,2.164365,2.849776,3.5843992,3.3544545,0.0,0.0,0.0,3.2979925,2.907181,0.0,3.008096,3.326282,0.0,3.227422,3.7198992,2.306601,3.2754734,2.9180214,0.62371135,3.3809228,2.4614265,0.0,0.0,1.6192565,3.4989676,2.7400239,2.919946,0.0,0.0,2.967078,0.0,3.3940716,3.1613803,3.2926686,3.1149411,0.0,1.4840395,3.066765,0.0,3.0284553,3.6861105,0.0,3.1976357,0.0,0.39993787,0.0,3.479446,0.0,3.3635166,3.032187,3.162372,2.8948843,0.0,3.0923166,3.0154657,2.9100554,0.0,0.0,2.9309034,3.6489213,1.7604015,2.9378607,0.0,0.43354386,0.0,0.0
SPRY4-AS1,0.68832356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2555821,0.0,0.0,0.0,0.22430047,0.0,0.0,2.5603886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6225198,0.0,1.1679987,0.0,0.0,0.0,0.0,0.0,1.1045817,0.0,0.24877465,0.0,0.0,0.0,0.0,1.080189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20918822,0.0,0.0,0.0,0.0,0.0,1.9392153,0.0,0.49265698,0.0,0.3629027,1.016426,0.0,0.0
MIR100HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20707595,1.7581531,2.2357585,0.0,0.0,0.0,0.0,0.0,3.4275095,1.1338372,1.9989231,0.0,0.0,0.0,0.3716925,0.0,0.0,0.0,0.0,0.5697681,0.42334825,0.7981268,0.17226702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10562138,0.0,0.0,0.0,0.0,0.0,0.44825128,1.19123,0.37134492,0.0,0.357594,0.66744673,0.4317915,0.0,0.0,0.0,1.8468269,0.6252371,0.0,0.0,0.0,0.0,0.11608649,0.0,0.18034294,0.4592245,1.8829219,0.5025894,0.0,0.0,0.5005583,0.0
H2BC11,3.738731,4.1657233,3.8826344,3.2739553,5.6629167,3.7549033,3.7981644,3.9612353,5.1503406,5.295358,2.3796213,2.8975496,4.3433847,2.9593432,5.3219385,3.6652234,3.3958476,6.2214084,5.065022,4.915904,5.013988,3.3727338,5.895976,4.971583,3.6313915,4.5915112,5.6994267,3.4638753,3.1969604,4.586611,4.117958,3.1553202,5.8712955,3.9960592,5.1908755,4.770638,5.305048,5.3190613,4.498157,5.830297,4.8251023,4.8869553,5.798431,4.8749957,3.2884793,5.5064564,2.4978464,4.782251,3.5865872,5.5692873,4.9183655,5.3037353,4.900811,4.842554,4.9190044,4.603958,5.337745,3.5272396,5.139968,4.5433416,5.026545,2.677324,3.1001341,3.9650357,4.9878397,4.51788,5.1559663,4.195992,3.7405381
U2AF2,3.513693,3.0580695,3.0103736,2.5431464,2.6567357,2.2732468,2.265855,2.7392707,3.0879164,2.5770528,2.4160962,3.1172857,2.8089006,2.6916556,2.8499928,3.0676067,2.3272424,3.4971673,2.511345,3.146268,3.005988,3.3344078,3.0817606,3.3744884,1.9028598,3.3442965,2.9191592,2.32737,3.0708575,2.3658314,2.948924,3.4233088,2.982817,2.2868035,3.1822052,2.7281098,2.7409348,2.550258,2.6962426,3.0665011,3.2828386,2.9359713,2.9491727,2.695866,2.616351,2.4200218,1.8924387,3.3280635,2.9161608,3.1918068,3.0706432,3.028997,3.211582,2.7057242,2.5943003,2.4576495,2.922117,2.5891204,2.3659084,3.2575462,3.8128965,2.2881417,2.14303,2.702012,2.492489,2.022775,3.4547617,2.5835307,2.7561133
ARL14EP,2.7695282,1.2923421,1.072335,1.4160408,0.6849315,0.8956136,2.6385188,1.7486706,1.4705139,1.0084571,0.97156346,1.6757954,1.434571,0.94188166,0.6197826,1.356232,1.703736,0.654635,0.0,2.5907562,0.73270583,1.7775877,0.8800159,0.8325143,0.48765567,1.653702,0.6944788,3.4444647,2.51727,1.2348236,1.1523651,1.8544937,1.9416026,1.1624187,0.20879714,1.276244,1.744429,1.3682076,0.98919135,0.0,1.5187175,2.6098773,1.4285055,1.772815,1.1008168,1.97016,1.4555193,1.8919681,1.1965461,1.1077507,0.8692511,1.1764572,1.2602146,0.6606359,1.594024,0.78713375,1.018056,1.600338,2.6312664,2.7439127,2.5357203,0.68289125,1.670872,1.782242,0.6928051,0.0,0.7211091,2.153405,2.8925128
H4C11,0.0,4.9211183,0.0,0.0,0.0,3.0831063,0.0,0.0,5.682581,4.5479383,0.0,3.4905415,0.0,0.0,0.0,0.0,0.0,5.345636,4.96464,0.0,5.497418,3.137984,4.8243012,3.1569824,0.0,5.055319,5.2180815,0.0,0.0,4.734708,3.966119,0.0,4.6050735,5.6320124,0.0,0.0,4.1838837,0.0,0.0,4.5793786,2.7269926,5.325311,0.0,0.0,0.0,4.1543965,0.0,0.0,0.0,0.0,4.5369153,0.0,5.5536466,4.8326817,0.0,3.9258976,5.530599,0.0,3.2054465,4.907386,2.8505566,0.0,0.0,0.0,0.0,2.8103964,4.515304,0.0,0.0
